P4 Module,TFIDF,W2V,SpaCy,FastText
acl,0.6733535741189702,0.947038471698761,0.9743929914982403,0.9880498051643372
broker,0.8226957821306329,0.9800059199333191,0.9887070464393648,0.993850827217102
client,0.7552491632000555,0.9605516195297241,0.9811569543546603,0.991579299223603
common,0.5603938663262787,0.9608699679374695,0.9778731684007674,0.9926259382144562
filter,0.5398687644475803,0.913330078125,0.9289382395383288,0.9513614177703857
logappender,0.038362386905727616,0.6932913661003113,0.819566714232407,0.9048066139221191
logging,0.5210459133150657,0.8532792925834656,0.9085121633567179,0.9495882987976074
namesrv,0.6742929156654048,0.9656767249107361,0.9711225029624923,0.9872614145278931
openmessaging,0.5294797837224147,0.9150919318199158,0.9680572830945744,0.9780285358428955
remoting,0.5190575053572298,0.9115007519721985,0.9618311636387185,0.9826918244361877
srvutil,0.13673964957612078,0.6255444884300232,0.8557185201478134,0.899458646774292
store,0.7618544258265344,0.9682636260986328,0.9780863783661093,0.9863230586051941
tools,0.34291323117499417,0.779609203338623,0.9203681564477916,0.9499772787094116
