project_name,module,domain,sim_score
01_dubbo,dubbo-common,reactive programming,0.5600882577777777
01_dubbo,dubbo-common,static program analysis,0.5585960866666667
01_dubbo,dubbo-common,dependency injection,0.5584856611111112
01_dubbo,dubbo-common,static program analysis tool,0.5557475633333333
01_dubbo,dubbo-common,data binding,0.5534210455555555
01_dubbo,dubbo-common,application performance management,0.5533625655555556
01_dubbo,dubbo-common,HTTP client,0.5525594722222221
01_dubbo,dubbo-common,stream processing,0.551007668888889
01_dubbo,dubbo-common,functional programming,0.5451539411111112
01_dubbo,dubbo-common,middleware,0.5448277022222222
01_dubbo,dubbo-common,object–relational mapping,0.540824081111111
01_dubbo,dubbo-common,serialization,0.5400626333333334
01_dubbo,dubbo-common,web service,0.5391527966666667
01_dubbo,dubbo-common,smart contract,0.5361777166666666
01_dubbo,dubbo-common,scheduler,0.5341939144444445
01_dubbo,dubbo-common,Containerization,0.5306842244444444
01_dubbo,dubbo-common,game server,0.5285418566666666
01_dubbo,dubbo-common,command-line interface,0.5277974411111112
01_dubbo,dubbo-common,"extract, transform, load",0.52746151
01_dubbo,dubbo-common,Web Components,0.5254762522222223
01_dubbo,dubbo-common,pattern matching,0.5247983133333333
01_dubbo,dubbo-common,web application,0.5243701544444446
01_dubbo,dubbo-common,data,0.5240064866666665
01_dubbo,dubbo-common,server,0.5238971800000001
01_dubbo,dubbo-common,web browser engine,0.5234266488888889
01_dubbo,dubbo-common,HTTP server,0.5230088333333334
01_dubbo,dubbo-common,Parser combinator,0.5221413988888889
01_dubbo,dubbo-common,File Transfer Protocol,0.5210038866666666
01_dubbo,dubbo-common,static site generator,0.518622071111111
01_dubbo,dubbo-common,code generation,0.5179449888888888
01_dubbo,dubbo-common,microservices,0.5166002700000001
01_dubbo,dubbo-common,distributed computing,0.5165386177777778
01_dubbo,dubbo-common,Semantic Web,0.5155107633333332
01_dubbo,dubbo-common,language model,0.5153222211111111
01_dubbo,dubbo-common,geographic information system,0.5153016677777779
01_dubbo,dubbo-common,embedded system,0.513372811111111
01_dubbo,dubbo-common,graphical user interface,0.5133241866666667
01_dubbo,dubbo-common,unit testing,0.5115162244444446
01_dubbo,dubbo-common,web server,0.5100703788888888
01_dubbo,dubbo-common,internet bot,0.5095925288888888
01_dubbo,dubbo-common,compiler,0.5081770022222222
01_dubbo,dubbo-common,instant messaging,0.5079796122222222
01_dubbo,dubbo-common,back end,0.50720897
01_dubbo,dubbo-common,distributed multimedia communications platform,0.5049552077777778
01_dubbo,dubbo-common,client,0.5043990188888888
