project_name,module,domain,sim_score
03_flink,flink-libraries,stream processing,0.5938473233333332
03_flink,flink-libraries,pattern matching,0.5693216377777778
03_flink,flink-libraries,functional programming,0.5653318222222222
03_flink,flink-libraries,data compression,0.56197272
03_flink,flink-libraries,text processing,0.5594001344444445
03_flink,flink-libraries,Parser combinator,0.5577032844444444
03_flink,flink-libraries,automation,0.5576893211111111
03_flink,flink-libraries,data binding,0.5559317344444445
03_flink,flink-libraries,information processing,0.5555969088888889
03_flink,flink-libraries,graphical user interface,0.5537852533333333
03_flink,flink-libraries,user interface,0.5525063322222221
03_flink,flink-libraries,static program analysis tool,0.5522160133333334
03_flink,flink-libraries,code generation,0.550653118888889
03_flink,flink-libraries,static program analysis,0.54806092
03_flink,flink-libraries,test automation,0.5466144733333334
03_flink,flink-libraries,application performance management,0.54602605
03_flink,flink-libraries,synchronization,0.5459187977777779
03_flink,flink-libraries,data,0.5402992844444445
03_flink,flink-libraries,scheduler,0.5379150488888889
03_flink,flink-libraries,serialization,0.5344162966666667
03_flink,flink-libraries,benchmark,0.5326062622222222
03_flink,flink-libraries,language model,0.5299758011111111
03_flink,flink-libraries,continuous integration,0.5295656033333334
03_flink,flink-libraries,embedded system,0.5275457
03_flink,flink-libraries,validator,0.5267352744444443
03_flink,flink-libraries,distributed computing,0.5266842877777778
03_flink,flink-libraries,computer data storage,0.5266626377777778
03_flink,flink-libraries,Kalman filter,0.5263697988888889
03_flink,flink-libraries,algorithm,0.5259480066666667
03_flink,flink-libraries,software design pattern,0.5258941244444445
03_flink,flink-libraries,object–relational mapping,0.5257932455555555
03_flink,flink-libraries,front end,0.5254001488888889
03_flink,flink-libraries,optical character recognition,0.5246041577777779
03_flink,flink-libraries,compiler,0.5244731144444444
03_flink,flink-libraries,command-line interface,0.52283203
03_flink,flink-libraries,software architecture,0.5203464033333334
03_flink,flink-libraries,back end,0.5201133244444445
03_flink,flink-libraries,backup,0.5158189177777778
03_flink,flink-libraries,computer science,0.5143310388888889
03_flink,flink-libraries,long short-term memory,0.5133875555555556
03_flink,flink-libraries,database,0.5119232188888889
03_flink,flink-libraries,smart contract,0.5118854177777777
03_flink,flink-libraries,instant messaging,0.5110465633333333
03_flink,flink-libraries,integrated development environment,0.5104373577777777
03_flink,flink-libraries,continuous deployment,0.5100693399999999
03_flink,flink-libraries,signal processing,0.5099779288888889
03_flink,flink-libraries,encryption,0.5089474722222223
03_flink,flink-libraries,distributed system,0.5087818122222223
03_flink,flink-libraries,time series,0.5086762755555555
03_flink,flink-libraries,software development,0.5085741166666667
