project_name,module,domain,sim_score
04_rocketmq,srvutil,command-line interface,0.5491065342857143
04_rocketmq,srvutil,shell tool,0.5476312257142857
04_rocketmq,srvutil,static program analysis,0.54745705
04_rocketmq,srvutil,scheduler,0.5449377214285714
04_rocketmq,srvutil,embedded system,0.5249291157142857
04_rocketmq,srvutil,stream processing,0.5240094142857142
04_rocketmq,srvutil,server,0.5237741257142857
04_rocketmq,srvutil,smart contract,0.5143381728571428
04_rocketmq,srvutil,benchmark,0.5130680642857143
04_rocketmq,srvutil,logging,0.5095380828571429
04_rocketmq,srvutil,back end,0.5081601671428572
04_rocketmq,srvutil,automation,0.5065663128571428
04_rocketmq,srvutil,web server,0.5056819142857142
04_rocketmq,srvutil,graphical user interface,0.5021210028571429
04_rocketmq,srvutil,microservices,0.4992652985714286
04_rocketmq,srvutil,HTTP server,0.4990413542857143
04_rocketmq,srvutil,client,0.49833005571428574
04_rocketmq,srvutil,package management system,0.4972439942857143
04_rocketmq,srvutil,user interface,0.4969220642857143
04_rocketmq,srvutil,virtual machine,0.49580444142857144
04_rocketmq,srvutil,password manager,0.49501383
04_rocketmq,srvutil,web service,0.4938414828571428
04_rocketmq,srvutil,pattern matching,0.4932394114285715
04_rocketmq,srvutil,distributed computing,0.49294059142857144
04_rocketmq,srvutil,computer data storage,0.4919858128571429
04_rocketmq,srvutil,data,0.49066055714285717
04_rocketmq,srvutil,instant messaging,0.4900704757142857
04_rocketmq,srvutil,streaming media,0.48791732857142855
04_rocketmq,srvutil,security,0.48688524999999994
04_rocketmq,srvutil,data binding,0.4866027985714286
04_rocketmq,srvutil,Parser combinator,0.48650602857142855
04_rocketmq,srvutil,distributed system,0.4861126442857143
04_rocketmq,srvutil,test automation,0.4855411357142857
04_rocketmq,srvutil,algorithm,0.48378463428571433
04_rocketmq,srvutil,operating system,0.4826844614285714
04_rocketmq,srvutil,software testing,0.4822351171428572
04_rocketmq,srvutil,Web Components,0.48016278142857144
04_rocketmq,srvutil,information processing,0.47807096000000004
04_rocketmq,srvutil,website,0.4763488042857143
04_rocketmq,srvutil,analytics,0.47538834571428573
04_rocketmq,srvutil,search,0.4753586442857142
04_rocketmq,srvutil,data compression,0.47441975000000003
04_rocketmq,srvutil,content management system,0.47089468428571424
04_rocketmq,srvutil,file system,0.47029789
04_rocketmq,srvutil,game engine,0.46998351857142856
04_rocketmq,srvutil,computer configuration,0.4675132728571429
04_rocketmq,srvutil,File Transfer Protocol,0.46713704
04_rocketmq,srvutil,geographic information system,0.46275543714285716
04_rocketmq,srvutil,long short-term memory,0.46220586142857145
04_rocketmq,srvutil,object–relational mapping,0.4603582757142858
04_rocketmq,srvutil,text processing,0.4595633499999999
04_rocketmq,srvutil,World Wide Web,0.4568008514285714
04_rocketmq,srvutil,signal processing,0.45254880428571426
04_rocketmq,srvutil,database,0.45155213857142856
04_rocketmq,srvutil,time series,0.45019463
04_rocketmq,srvutil,penetration test,0.4481527857142857
04_rocketmq,srvutil,data structure,0.44642266428571425
04_rocketmq,srvutil,recommender system,0.4462644242857143
04_rocketmq,srvutil,support vector machine,0.44236534285714285
04_rocketmq,srvutil,telecommunications network,0.4423080442857143
04_rocketmq,srvutil,Semantic Web,0.4410677457142857
04_rocketmq,srvutil,knowledge graph,0.4369343914285714
04_rocketmq,srvutil,big data,0.43163257714285713
04_rocketmq,srvutil,information extraction,0.42964362857142857
04_rocketmq,srvutil,object detection,0.42281559142857145
04_rocketmq,srvutil,regular expression,0.39764188000000006
