project_name,module,domain,sim_score
05_shardingsphere,dialect-exception,database,0.597828134
05_shardingsphere,dialect-exception,database management,0.57725778
05_shardingsphere,dialect-exception,schema migration,0.54556027
05_shardingsphere,dialect-exception,distributed database,0.536508472
05_shardingsphere,dialect-exception,object–relational mapping,0.534762994
05_shardingsphere,dialect-exception,server,0.527739548
05_shardingsphere,dialect-exception,data,0.525970568
05_shardingsphere,dialect-exception,authentication,0.5243022199999999
05_shardingsphere,dialect-exception,validator,0.522132834
05_shardingsphere,dialect-exception,data binding,0.5217839200000001
05_shardingsphere,dialect-exception,password manager,0.51860686
05_shardingsphere,dialect-exception,user interface,0.516517886
05_shardingsphere,dialect-exception,smart contract,0.50872216
05_shardingsphere,dialect-exception,compiler,0.498711668
05_shardingsphere,dialect-exception,dependency injection,0.498392414
05_shardingsphere,dialect-exception,client,0.4978386
05_shardingsphere,dialect-exception,serialization,0.49774581400000006
05_shardingsphere,dialect-exception,unit testing,0.495610886
05_shardingsphere,dialect-exception,language model,0.493370232
05_shardingsphere,dialect-exception,graphical user interface,0.489300786
05_shardingsphere,dialect-exception,static site generator,0.4877087499999999
05_shardingsphere,dialect-exception,search,0.48325055399999994
05_shardingsphere,dialect-exception,embedded system,0.47939865400000004
05_shardingsphere,dialect-exception,instant messaging,0.478075166
05_shardingsphere,dialect-exception,test automation,0.477230288
05_shardingsphere,dialect-exception,security,0.475143328
05_shardingsphere,dialect-exception,website,0.473766806
05_shardingsphere,dialect-exception,debugging,0.47237772399999994
05_shardingsphere,dialect-exception,software development,0.471582776
05_shardingsphere,dialect-exception,back end,0.47104728400000007
05_shardingsphere,dialect-exception,static program analysis tool,0.47101938600000004
05_shardingsphere,dialect-exception,data analysis,0.470976836
05_shardingsphere,dialect-exception,continuous integration,0.468998576
05_shardingsphere,dialect-exception,logging,0.46699158
05_shardingsphere,dialect-exception,web service,0.46583375799999993
05_shardingsphere,dialect-exception,data compression,0.465493768
05_shardingsphere,dialect-exception,information processing,0.46446036399999996
05_shardingsphere,dialect-exception,HTTP server,0.46400410599999997
05_shardingsphere,dialect-exception,software testing,0.46397512
05_shardingsphere,dialect-exception,blockchain,0.463499904
05_shardingsphere,dialect-exception,penetration test,0.460517642
05_shardingsphere,dialect-exception,web server,0.46009439399999996
05_shardingsphere,dialect-exception,command-line interface,0.460060704
05_shardingsphere,dialect-exception,analytics,0.45975433
05_shardingsphere,dialect-exception,translation,0.45848676800000004
05_shardingsphere,dialect-exception,computer configuration,0.455722554
05_shardingsphere,dialect-exception,data structure,0.45560617800000003
05_shardingsphere,dialect-exception,web application security,0.4555132380000001
05_shardingsphere,dialect-exception,optical character recognition,0.45476148
05_shardingsphere,dialect-exception,file system,0.454179608
05_shardingsphere,dialect-exception,File Transfer Protocol,0.45311607
05_shardingsphere,dialect-exception,Parser combinator,0.452401898
05_shardingsphere,dialect-exception,design,0.45055137399999995
05_shardingsphere,dialect-exception,big data,0.450216306
05_shardingsphere,dialect-exception,backup,0.45002531999999995
05_shardingsphere,dialect-exception,synchronization,0.450001286
05_shardingsphere,dialect-exception,package management system,0.443407652
05_shardingsphere,dialect-exception,distributed computing,0.43662872999999996
05_shardingsphere,dialect-exception,cryptocurrency,0.43233921799999997
05_shardingsphere,dialect-exception,World Wide Web,0.432071176
05_shardingsphere,dialect-exception,regular expression,0.430507902
05_shardingsphere,dialect-exception,operating system,0.424487506
05_shardingsphere,dialect-exception,artificial neural network,0.42110357
05_shardingsphere,dialect-exception,digital audio,0.419020466
05_shardingsphere,dialect-exception,digital security,0.413228052
05_shardingsphere,dialect-exception,digital image processing,0.41272262600000004
05_shardingsphere,dialect-exception,convolutional neural network,0.4082716540000001
05_shardingsphere,dialect-exception,word embedding,0.408183264
05_shardingsphere,dialect-exception,object detection,0.389528476
05_shardingsphere,dialect-exception,network monitoring,0.38120639
