project_name,module,domain,sim_score
06_hadoop,hadoop-mapreduce-project,application performance management,0.5814056771428572
06_hadoop,hadoop-mapreduce-project,real-time computing,0.5741599128571427
06_hadoop,hadoop-mapreduce-project,scheduler,0.5718959642857142
06_hadoop,hadoop-mapreduce-project,reactive programming,0.5714452271428572
06_hadoop,hadoop-mapreduce-project,stream processing,0.5650940614285715
06_hadoop,hadoop-mapreduce-project,static program analysis tool,0.5530771128571429
06_hadoop,hadoop-mapreduce-project,distributed computing,0.5511299014285714
06_hadoop,hadoop-mapreduce-project,continuous deployment,0.5453013585714286
06_hadoop,hadoop-mapreduce-project,static program analysis,0.5442493057142858
06_hadoop,hadoop-mapreduce-project,command-line interface,0.5426663814285715
06_hadoop,hadoop-mapreduce-project,information processing,0.5405899814285714
06_hadoop,hadoop-mapreduce-project,software engineering,0.5378025642857142
06_hadoop,hadoop-mapreduce-project,distributed system,0.5377389814285715
06_hadoop,hadoop-mapreduce-project,documentation,0.5374227857142857
06_hadoop,hadoop-mapreduce-project,shell tool,0.5361791
06_hadoop,hadoop-mapreduce-project,middleware,0.5357519657142857
06_hadoop,hadoop-mapreduce-project,productivity,0.5354368528571428
06_hadoop,hadoop-mapreduce-project,serverless computing,0.5350873485714286
06_hadoop,hadoop-mapreduce-project,DevOps,0.5334600828571429
06_hadoop,hadoop-mapreduce-project,continuous integration,0.5306775671428572
06_hadoop,hadoop-mapreduce-project,automation,0.5303609928571429
06_hadoop,hadoop-mapreduce-project,test automation,0.5276336085714286
06_hadoop,hadoop-mapreduce-project,graphical user interface,0.5275757928571428
06_hadoop,hadoop-mapreduce-project,synchronization,0.5274679942857142
06_hadoop,hadoop-mapreduce-project,Parser combinator,0.5247101185714286
06_hadoop,hadoop-mapreduce-project,back end,0.5236162757142857
06_hadoop,hadoop-mapreduce-project,server,0.52265647
06_hadoop,hadoop-mapreduce-project,game server,0.5212981814285714
06_hadoop,hadoop-mapreduce-project,code generation,0.52011376
06_hadoop,hadoop-mapreduce-project,Containerization,0.51916831
06_hadoop,hadoop-mapreduce-project,client,0.5184112328571429
06_hadoop,hadoop-mapreduce-project,smart contract,0.5183876557142857
06_hadoop,hadoop-mapreduce-project,pattern matching,0.5181450414285714
06_hadoop,hadoop-mapreduce-project,text processing,0.5180538128571428
06_hadoop,hadoop-mapreduce-project,computer programming,0.5166753171428571
06_hadoop,hadoop-mapreduce-project,serialization,0.516440747142857
06_hadoop,hadoop-mapreduce-project,benchmark,0.5154689357142858
06_hadoop,hadoop-mapreduce-project,routing,0.513804902857143
06_hadoop,hadoop-mapreduce-project,software development,0.5131130471428571
06_hadoop,hadoop-mapreduce-project,logging,0.51263621
06_hadoop,hadoop-mapreduce-project,computer data storage,0.5122052814285715
06_hadoop,hadoop-mapreduce-project,integrated development environment,0.5117069785714286
06_hadoop,hadoop-mapreduce-project,continuous delivery,0.5106409714285715
06_hadoop,hadoop-mapreduce-project,password manager,0.5103238614285714
06_hadoop,hadoop-mapreduce-project,rendering,0.5096123485714286
06_hadoop,hadoop-mapreduce-project,data,0.5084568
06_hadoop,hadoop-mapreduce-project,user interface,0.5080288342857143
06_hadoop,hadoop-mapreduce-project,data compression,0.5066827314285715
06_hadoop,hadoop-mapreduce-project,static site generator,0.5066276371428571
06_hadoop,hadoop-mapreduce-project,content management system,0.5057977342857143
06_hadoop,hadoop-mapreduce-project,knowledge graph,0.5056963285714285
06_hadoop,hadoop-mapreduce-project,network monitoring,0.50382936
06_hadoop,hadoop-mapreduce-project,microservices,0.5030133557142857
06_hadoop,hadoop-mapreduce-project,web browser engine,0.5024964485714286
06_hadoop,hadoop-mapreduce-project,front end,0.5024831642857143
06_hadoop,hadoop-mapreduce-project,HTTP client,0.5024545328571428
06_hadoop,hadoop-mapreduce-project,"extract, transform, load",0.5009375785714286
06_hadoop,hadoop-mapreduce-project,debugger,0.50089211
06_hadoop,hadoop-mapreduce-project,embedded system,0.49953436714285715
06_hadoop,hadoop-mapreduce-project,computer science,0.4994663757142857
06_hadoop,hadoop-mapreduce-project,data binding,0.4985030185714286
06_hadoop,hadoop-mapreduce-project,software testing,0.49845875714285715
06_hadoop,hadoop-mapreduce-project,compiler,0.4984055328571429
06_hadoop,hadoop-mapreduce-project,text editor,0.49771674285714285
06_hadoop,hadoop-mapreduce-project,web service,0.4976440857142857
06_hadoop,hadoop-mapreduce-project,dependency injection,0.4966860357142857
06_hadoop,hadoop-mapreduce-project,web server,0.4958913428571429
06_hadoop,hadoop-mapreduce-project,game,0.4956072585714285
06_hadoop,hadoop-mapreduce-project,web application,0.49515695714285707
06_hadoop,hadoop-mapreduce-project,package management system,0.49498204571428567
06_hadoop,hadoop-mapreduce-project,File Transfer Protocol,0.4949808571428571
06_hadoop,hadoop-mapreduce-project,graph,0.4946363714285714
06_hadoop,hadoop-mapreduce-project,simulation,0.49427493285714286
06_hadoop,hadoop-mapreduce-project,HTTP server,0.4939820914285714
06_hadoop,hadoop-mapreduce-project,instant messaging,0.4930784242857143
06_hadoop,hadoop-mapreduce-project,computer configuration,0.4920833271428572
06_hadoop,hadoop-mapreduce-project,interpreter,0.4899159271428571
06_hadoop,hadoop-mapreduce-project,analytics,0.4895891571428571
06_hadoop,hadoop-mapreduce-project,unit testing,0.48924844999999995
06_hadoop,hadoop-mapreduce-project,file system,0.48886186428571426
06_hadoop,hadoop-mapreduce-project,Q-learning,0.48796909285714285
06_hadoop,hadoop-mapreduce-project,parsing,0.4870701071428572
06_hadoop,hadoop-mapreduce-project,kernel,0.4868107014285715
06_hadoop,hadoop-mapreduce-project,business dashboard,0.4859857014285714
06_hadoop,hadoop-mapreduce-project,computational science,0.4859339942857143
06_hadoop,hadoop-mapreduce-project,distributed database,0.4853987928571429
06_hadoop,hadoop-mapreduce-project,algorithm,0.48460744571428577
06_hadoop,hadoop-mapreduce-project,Web Components,0.4841534857142857
06_hadoop,hadoop-mapreduce-project,visualization,0.48296575999999997
06_hadoop,hadoop-mapreduce-project,language model,0.4827934128571429
06_hadoop,hadoop-mapreduce-project,cloud computing,0.48207308857142855
06_hadoop,hadoop-mapreduce-project,network analysis,0.48206848
06_hadoop,hadoop-mapreduce-project,RNA sequencing,0.48096451714285715
06_hadoop,hadoop-mapreduce-project,backup,0.48074028999999996
06_hadoop,hadoop-mapreduce-project,search,0.4804010471428572
06_hadoop,hadoop-mapreduce-project,blockchain,0.4801549971428572
06_hadoop,hadoop-mapreduce-project,authentication,0.47995126571428576
06_hadoop,hadoop-mapreduce-project,data visualization,0.4791967585714286
06_hadoop,hadoop-mapreduce-project,distributed multimedia communications platform,0.4791603171428571
06_hadoop,hadoop-mapreduce-project,question answering,0.4791139642857143
06_hadoop,hadoop-mapreduce-project,data structure,0.4788408528571429
06_hadoop,hadoop-mapreduce-project,anomaly detection,0.4788113514285714
06_hadoop,hadoop-mapreduce-project,virtual machine,0.4781483285714286
06_hadoop,hadoop-mapreduce-project,cryptography,0.4773371914285714
06_hadoop,hadoop-mapreduce-project,artificial intelligence,0.47691559
06_hadoop,hadoop-mapreduce-project,cluster analysis,0.47671724428571427
06_hadoop,hadoop-mapreduce-project,WebSocket,0.4764103985714286
06_hadoop,hadoop-mapreduce-project,penetration test,0.47592011142857144
06_hadoop,hadoop-mapreduce-project,reinforcement learning,0.47513966571428573
06_hadoop,hadoop-mapreduce-project,graph database,0.4750616171428571
06_hadoop,hadoop-mapreduce-project,web browser,0.47423746714285714
06_hadoop,hadoop-mapreduce-project,image captioning,0.4741258357142857
06_hadoop,hadoop-mapreduce-project,data analysis,0.4734822571428571
06_hadoop,hadoop-mapreduce-project,mathematical optimization,0.47313246571428574
06_hadoop,hadoop-mapreduce-project,encryption,0.4730118428571428
06_hadoop,hadoop-mapreduce-project,text mining,0.47295093571428565
06_hadoop,hadoop-mapreduce-project,signal processing,0.47223957000000005
06_hadoop,hadoop-mapreduce-project,validator,0.4720817328571429
06_hadoop,hadoop-mapreduce-project,World Wide Web,0.47207480142857144
06_hadoop,hadoop-mapreduce-project,natural language processing,0.4718840285714286
06_hadoop,hadoop-mapreduce-project,object–relational mapping,0.4716228471428571
06_hadoop,hadoop-mapreduce-project,long short-term memory,0.4714967557142857
06_hadoop,hadoop-mapreduce-project,information extraction,0.47078018142857136
06_hadoop,hadoop-mapreduce-project,database,0.4707650857142857
06_hadoop,hadoop-mapreduce-project,schema migration,0.4698731414285714
06_hadoop,hadoop-mapreduce-project,streaming media,0.4697830757142857
06_hadoop,hadoop-mapreduce-project,database management,0.46959556
06_hadoop,hadoop-mapreduce-project,syntax highlighting,0.4687347399999999
06_hadoop,hadoop-mapreduce-project,Kalman filter,0.46830420571428577
06_hadoop,hadoop-mapreduce-project,router,0.4682127057142857
06_hadoop,hadoop-mapreduce-project,plot,0.46800895000000003
06_hadoop,hadoop-mapreduce-project,security,0.46761833428571425
06_hadoop,hadoop-mapreduce-project,web crawler,0.4671137442857143
06_hadoop,hadoop-mapreduce-project,classification,0.46690653
06_hadoop,hadoop-mapreduce-project,named-entity recognition,0.46690114000000005
06_hadoop,hadoop-mapreduce-project,random forest,0.4667936142857143
06_hadoop,hadoop-mapreduce-project,operating system,0.4667202157142857
06_hadoop,hadoop-mapreduce-project,geographic information system,0.4659204828571429
06_hadoop,hadoop-mapreduce-project,game engine,0.4649133214285714
