project_name,module,domain,sim_score
08_pulsar,pulsar-websocket,WebSocket,0.6256902950000001
08_pulsar,pulsar-websocket,HTTP client,0.617331525
08_pulsar,pulsar-websocket,web service,0.6093359625
08_pulsar,pulsar-websocket,web server,0.6032698212500001
08_pulsar,pulsar-websocket,HTTP server,0.6001163725
08_pulsar,pulsar-websocket,server,0.57359552875
08_pulsar,pulsar-websocket,instant messaging,0.56911876375
08_pulsar,pulsar-websocket,File Transfer Protocol,0.5660547425
08_pulsar,pulsar-websocket,game server,0.56197106625
08_pulsar,pulsar-websocket,stream processing,0.55855002625
08_pulsar,pulsar-websocket,web browser engine,0.5524157024999999
08_pulsar,pulsar-websocket,web application,0.5507892375
08_pulsar,pulsar-websocket,smart contract,0.5495716262499999
08_pulsar,pulsar-websocket,back end,0.54632564125
08_pulsar,pulsar-websocket,distributed multimedia communications platform,0.54248814625
08_pulsar,pulsar-websocket,World Wide Web,0.5410553375
08_pulsar,pulsar-websocket,middleware,0.5408874724999999
08_pulsar,pulsar-websocket,web browser,0.5401494287499999
08_pulsar,pulsar-websocket,microservices,0.53954939625
08_pulsar,pulsar-websocket,Web Components,0.5383427275
08_pulsar,pulsar-websocket,distributed computing,0.538193685
08_pulsar,pulsar-websocket,application performance management,0.53656892125
08_pulsar,pulsar-websocket,web application security,0.5356994749999999
08_pulsar,pulsar-websocket,client,0.53323614625
08_pulsar,pulsar-websocket,streaming media,0.52900182125
08_pulsar,pulsar-websocket,web crawler,0.525984725
08_pulsar,pulsar-websocket,serialization,0.523887745
08_pulsar,pulsar-websocket,internet of things,0.52161141125
08_pulsar,pulsar-websocket,content management system,0.5139238225
08_pulsar,pulsar-websocket,data,0.51360327375
08_pulsar,pulsar-websocket,static program analysis,0.51287208875
08_pulsar,pulsar-websocket,Semantic Web,0.5123526475
08_pulsar,pulsar-websocket,Containerization,0.50861849875
08_pulsar,pulsar-websocket,website,0.50803408625
08_pulsar,pulsar-websocket,command-line interface,0.506636185
08_pulsar,pulsar-websocket,web scraping,0.5054906937500001
08_pulsar,pulsar-websocket,information processing,0.5050637775
08_pulsar,pulsar-websocket,security,0.5048743250000001
08_pulsar,pulsar-websocket,package management system,0.50191762375
08_pulsar,pulsar-websocket,telecommunications network,0.50039003
08_pulsar,pulsar-websocket,authentication,0.5002912725
08_pulsar,pulsar-websocket,data compression,0.49562889875000005
08_pulsar,pulsar-websocket,distributed database,0.49555407
08_pulsar,pulsar-websocket,pattern matching,0.49517394375
08_pulsar,pulsar-websocket,dependency injection,0.49416104875
08_pulsar,pulsar-websocket,logging,0.493633795
08_pulsar,pulsar-websocket,cloud computing,0.49292949250000007
08_pulsar,pulsar-websocket,graphical user interface,0.49273155625000004
08_pulsar,pulsar-websocket,data binding,0.49115629875
08_pulsar,pulsar-websocket,web development,0.48534265375
08_pulsar,pulsar-websocket,language model,0.48464773375000003
08_pulsar,pulsar-websocket,text processing,0.4840526125
08_pulsar,pulsar-websocket,documentation,0.48177534499999997
08_pulsar,pulsar-websocket,user interface,0.48158937375
08_pulsar,pulsar-websocket,code generation,0.4805585025
08_pulsar,pulsar-websocket,penetration test,0.479668435
08_pulsar,pulsar-websocket,automation,0.47907412124999993
08_pulsar,pulsar-websocket,computer data storage,0.47834469625
08_pulsar,pulsar-websocket,data analysis,0.47683232875
08_pulsar,pulsar-websocket,analytics,0.47601973875000003
08_pulsar,pulsar-websocket,time series,0.4745760625
08_pulsar,pulsar-websocket,text classification,0.471171655
08_pulsar,pulsar-websocket,algorithm,0.46739790000000003
08_pulsar,pulsar-websocket,software testing,0.4667239475
08_pulsar,pulsar-websocket,data science,0.46613863
08_pulsar,pulsar-websocket,validator,0.4641415375
08_pulsar,pulsar-websocket,test automation,0.46178577249999997
08_pulsar,pulsar-websocket,unit testing,0.46162955875
08_pulsar,pulsar-websocket,big data,0.46126014249999997
08_pulsar,pulsar-websocket,knowledge graph,0.45951338375000006
08_pulsar,pulsar-websocket,design,0.4578727925
08_pulsar,pulsar-websocket,digital security,0.45730284875
08_pulsar,pulsar-websocket,database,0.4565959275
08_pulsar,pulsar-websocket,machine learning,0.4562631425
08_pulsar,pulsar-websocket,information extraction,0.45454010875
08_pulsar,pulsar-websocket,data mining,0.45303502
08_pulsar,pulsar-websocket,object–relational mapping,0.44799735625
08_pulsar,pulsar-websocket,recommender system,0.4470443275
08_pulsar,pulsar-websocket,data structure,0.44592612625
08_pulsar,pulsar-websocket,text editor,0.44437137250000003
08_pulsar,pulsar-websocket,operating system,0.44294079249999996
08_pulsar,pulsar-websocket,file system,0.44141893125
08_pulsar,pulsar-websocket,computer configuration,0.44117734625
08_pulsar,pulsar-websocket,word embedding,0.43422828874999997
08_pulsar,pulsar-websocket,sorting algorithm,0.43019436125
08_pulsar,pulsar-websocket,data visualization,0.42859246124999995
08_pulsar,pulsar-websocket,syntax highlighting,0.4194910625
08_pulsar,pulsar-websocket,digital audio,0.41595413375
08_pulsar,pulsar-websocket,regular expression,0.41329403124999997
08_pulsar,pulsar-websocket,digital image processing,0.4063938525
08_pulsar,pulsar-websocket,object detection,0.39188629750000004
