project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-aop,web application,0.6037277828571429
10_dolphinscheduler,dolphinscheduler-aop,Web Components,0.5742661399999999
10_dolphinscheduler,dolphinscheduler-aop,content management system,0.5710963257142857
10_dolphinscheduler,dolphinscheduler-aop,user interface,0.5635614428571428
10_dolphinscheduler,dolphinscheduler-aop,web application security,0.5562191014285714
10_dolphinscheduler,dolphinscheduler-aop,dependency injection,0.5531618542857143
10_dolphinscheduler,dolphinscheduler-aop,website,0.5225683514285715
10_dolphinscheduler,dolphinscheduler-aop,back end,0.5207460357142858
10_dolphinscheduler,dolphinscheduler-aop,web service,0.5103297185714286
10_dolphinscheduler,dolphinscheduler-aop,instant messaging,0.51010274
10_dolphinscheduler,dolphinscheduler-aop,command-line interface,0.5097731557142857
10_dolphinscheduler,dolphinscheduler-aop,package management system,0.5078759871428571
10_dolphinscheduler,dolphinscheduler-aop,logging,0.5068496528571428
10_dolphinscheduler,dolphinscheduler-aop,World Wide Web,0.5029235571428572
10_dolphinscheduler,dolphinscheduler-aop,smart contract,0.49946370285714287
10_dolphinscheduler,dolphinscheduler-aop,kernel,0.4939567614285714
10_dolphinscheduler,dolphinscheduler-aop,software testing,0.4923620457142857
10_dolphinscheduler,dolphinscheduler-aop,microservices,0.4922745857142857
10_dolphinscheduler,dolphinscheduler-aop,server,0.48467303
10_dolphinscheduler,dolphinscheduler-aop,search,0.48172977857142857
10_dolphinscheduler,dolphinscheduler-aop,automation,0.48171871285714285
10_dolphinscheduler,dolphinscheduler-aop,distributed system,0.4814881257142857
10_dolphinscheduler,dolphinscheduler-aop,File Transfer Protocol,0.47865407
10_dolphinscheduler,dolphinscheduler-aop,web server,0.47604405714285714
10_dolphinscheduler,dolphinscheduler-aop,database,0.47543881
10_dolphinscheduler,dolphinscheduler-aop,penetration test,0.47299155571428575
10_dolphinscheduler,dolphinscheduler-aop,benchmark,0.47161471999999993
10_dolphinscheduler,dolphinscheduler-aop,linear regression,0.47160697142857144
10_dolphinscheduler,dolphinscheduler-aop,embedded system,0.4695697885714286
10_dolphinscheduler,dolphinscheduler-aop,file system,0.46508517428571433
10_dolphinscheduler,dolphinscheduler-aop,cloud computing,0.4612215271428571
10_dolphinscheduler,dolphinscheduler-aop,big data,0.45797041000000005
10_dolphinscheduler,dolphinscheduler-aop,recommender system,0.4552903742857143
10_dolphinscheduler,dolphinscheduler-aop,telecommunications network,0.44934541714285714
10_dolphinscheduler,dolphinscheduler-aop,algorithm,0.4292525385714286
10_dolphinscheduler,dolphinscheduler-aop,deep learning,0.42368537999999994
