project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-service,scheduler,0.5774109224999999
10_dolphinscheduler,dolphinscheduler-service,server,0.56916944875
10_dolphinscheduler,dolphinscheduler-service,application performance management,0.5600538687500001
10_dolphinscheduler,dolphinscheduler-service,game server,0.558345905
10_dolphinscheduler,dolphinscheduler-service,distributed computing,0.5566974499999999
10_dolphinscheduler,dolphinscheduler-service,automation,0.5530981475000001
10_dolphinscheduler,dolphinscheduler-service,stream processing,0.5447524175
10_dolphinscheduler,dolphinscheduler-service,distributed system,0.54469741625
10_dolphinscheduler,dolphinscheduler-service,middleware,0.5368729175
10_dolphinscheduler,dolphinscheduler-service,continuous deployment,0.5358518624999999
10_dolphinscheduler,dolphinscheduler-service,shell tool,0.5351950012500001
10_dolphinscheduler,dolphinscheduler-service,static program analysis tool,0.533448405
10_dolphinscheduler,dolphinscheduler-service,command-line interface,0.53337793625
10_dolphinscheduler,dolphinscheduler-service,static program analysis,0.53295064625
10_dolphinscheduler,dolphinscheduler-service,web server,0.52302773625
10_dolphinscheduler,dolphinscheduler-service,test automation,0.52195165375
10_dolphinscheduler,dolphinscheduler-service,microservices,0.51729663875
10_dolphinscheduler,dolphinscheduler-service,embedded system,0.51631892125
10_dolphinscheduler,dolphinscheduler-service,continuous integration,0.5162830337500001
10_dolphinscheduler,dolphinscheduler-service,DevOps,0.5150055175
10_dolphinscheduler,dolphinscheduler-service,"extract, transform, load",0.5143522150000001
10_dolphinscheduler,dolphinscheduler-service,static site generator,0.51429778875
10_dolphinscheduler,dolphinscheduler-service,back end,0.5138355075000001
10_dolphinscheduler,dolphinscheduler-service,smart contract,0.51365828125
10_dolphinscheduler,dolphinscheduler-service,instant messaging,0.51218121125
10_dolphinscheduler,dolphinscheduler-service,HTTP server,0.50950927875
10_dolphinscheduler,dolphinscheduler-service,dependency injection,0.5081183425
10_dolphinscheduler,dolphinscheduler-service,package management system,0.50631264875
10_dolphinscheduler,dolphinscheduler-service,web service,0.5054852974999999
10_dolphinscheduler,dolphinscheduler-service,client,0.5048173775
10_dolphinscheduler,dolphinscheduler-service,benchmark,0.50389619625
10_dolphinscheduler,dolphinscheduler-service,internet bot,0.5035617299999999
10_dolphinscheduler,dolphinscheduler-service,graphical user interface,0.50155544125
10_dolphinscheduler,dolphinscheduler-service,compiler,0.5003775775
10_dolphinscheduler,dolphinscheduler-service,data,0.49899024375
10_dolphinscheduler,dolphinscheduler-service,pattern matching,0.49849820625
10_dolphinscheduler,dolphinscheduler-service,algorithm,0.49715698500000005
10_dolphinscheduler,dolphinscheduler-service,user interface,0.49680569249999995
10_dolphinscheduler,dolphinscheduler-service,logging,0.49628928875
10_dolphinscheduler,dolphinscheduler-service,distributed database,0.49454672624999996
10_dolphinscheduler,dolphinscheduler-service,content management system,0.49001672875
10_dolphinscheduler,dolphinscheduler-service,backup,0.48924518125000005
10_dolphinscheduler,dolphinscheduler-service,cloud computing,0.489076135
10_dolphinscheduler,dolphinscheduler-service,mathematical optimization,0.48892671249999997
