project_name,module,domain,sim_score
12_shenyu,shenyu-common,scheduler,0.5552029475
12_shenyu,shenyu-common,static program analysis,0.5378557975
12_shenyu,shenyu-common,smart contract,0.5368339025
12_shenyu,shenyu-common,application performance management,0.534472055
12_shenyu,shenyu-common,stream processing,0.53345351625
12_shenyu,shenyu-common,static program analysis tool,0.5333068350000001
12_shenyu,shenyu-common,game server,0.528036495
12_shenyu,shenyu-common,middleware,0.52630878
12_shenyu,shenyu-common,automation,0.5228617987499999
12_shenyu,shenyu-common,back end,0.52015215125
12_shenyu,shenyu-common,static site generator,0.51999259375
12_shenyu,shenyu-common,server,0.5199682649999999
12_shenyu,shenyu-common,benchmark,0.51657075125
12_shenyu,shenyu-common,dependency injection,0.51428198
12_shenyu,shenyu-common,functional programming,0.5139739575
12_shenyu,shenyu-common,compiler,0.5120818475
12_shenyu,shenyu-common,code generation,0.5079364075
12_shenyu,shenyu-common,web browser engine,0.50686172125
12_shenyu,shenyu-common,synchronization,0.50663351125
12_shenyu,shenyu-common,HTTP client,0.50611885
12_shenyu,shenyu-common,Containerization,0.5056540575
12_shenyu,shenyu-common,test automation,0.5049133812500001
12_shenyu,shenyu-common,shell tool,0.5034614875
12_shenyu,shenyu-common,embedded system,0.5023117525
12_shenyu,shenyu-common,Parser combinator,0.50202184875
12_shenyu,shenyu-common,algorithm,0.5018241975
12_shenyu,shenyu-common,internet bot,0.5017857175
12_shenyu,shenyu-common,microservices,0.50019823
12_shenyu,shenyu-common,continuous integration,0.50000421375
12_shenyu,shenyu-common,"extract, transform, load",0.4999547075
12_shenyu,shenyu-common,software design pattern,0.49982612375
12_shenyu,shenyu-common,HTTP server,0.49923853374999994
12_shenyu,shenyu-common,pattern matching,0.4964305875
12_shenyu,shenyu-common,distributed computing,0.49609832625
12_shenyu,shenyu-common,front end,0.49588408
12_shenyu,shenyu-common,client,0.49502179375
12_shenyu,shenyu-common,password manager,0.49501636
12_shenyu,shenyu-common,validator,0.49490449999999997
12_shenyu,shenyu-common,command-line interface,0.49305710125
12_shenyu,shenyu-common,instant messaging,0.49305114375
12_shenyu,shenyu-common,web server,0.4927814175
12_shenyu,shenyu-common,mathematical optimization,0.49205559249999997
12_shenyu,shenyu-common,graphical user interface,0.491154215
12_shenyu,shenyu-common,computer benchmarking,0.4895530775
12_shenyu,shenyu-common,web service,0.48942834625000003
12_shenyu,shenyu-common,File Transfer Protocol,0.485702475
12_shenyu,shenyu-common,blockchain,0.48564851750000004
12_shenyu,shenyu-common,authentication,0.4854677475
12_shenyu,shenyu-common,data,0.48482452625
12_shenyu,shenyu-common,user interface,0.484747355
12_shenyu,shenyu-common,cryptography,0.48436355
12_shenyu,shenyu-common,web application,0.48405647749999997
12_shenyu,shenyu-common,game engine,0.48282216375
12_shenyu,shenyu-common,logging,0.48239791750000005
12_shenyu,shenyu-common,distributed system,0.48209679124999993
12_shenyu,shenyu-common,Web Components,0.48012128374999996
12_shenyu,shenyu-common,data binding,0.47957156874999995
12_shenyu,shenyu-common,web crawler,0.47937755625
12_shenyu,shenyu-common,serialization,0.47935137875
12_shenyu,shenyu-common,information processing,0.47839199125000004
12_shenyu,shenyu-common,unit testing,0.478379915
12_shenyu,shenyu-common,search,0.47694203874999996
12_shenyu,shenyu-common,kernel,0.47640507875
12_shenyu,shenyu-common,website,0.47594023124999996
12_shenyu,shenyu-common,data compression,0.474531395
12_shenyu,shenyu-common,database,0.4724251225
12_shenyu,shenyu-common,schema migration,0.47204401125
12_shenyu,shenyu-common,web browser,0.47183069749999995
12_shenyu,shenyu-common,package management system,0.46956452249999997
12_shenyu,shenyu-common,streaming media,0.46893174125000003
12_shenyu,shenyu-common,interpreter,0.46887724999999997
12_shenyu,shenyu-common,malware,0.46872455875
12_shenyu,shenyu-common,WebSocket,0.46859060375
12_shenyu,shenyu-common,software testing,0.46854079875
12_shenyu,shenyu-common,artificial intelligence,0.46788582375
12_shenyu,shenyu-common,computer data storage,0.46761803125
12_shenyu,shenyu-common,evolutionary algorithm,0.46718885875
12_shenyu,shenyu-common,security,0.46710232250000006
12_shenyu,shenyu-common,object–relational mapping,0.46494641000000003
12_shenyu,shenyu-common,Semantic Web,0.46461352875
12_shenyu,shenyu-common,data structure,0.46433687749999997
12_shenyu,shenyu-common,language model,0.4641389925
12_shenyu,shenyu-common,analytics,0.46404948749999997
12_shenyu,shenyu-common,computational science,0.46278302375
12_shenyu,shenyu-common,cluster analysis,0.46238080125000003
12_shenyu,shenyu-common,backup,0.46206902125000004
12_shenyu,shenyu-common,encryption,0.46179233375
12_shenyu,shenyu-common,penetration test,0.461174735
12_shenyu,shenyu-common,Bayesian inference,0.46111194
12_shenyu,shenyu-common,content management system,0.4605674675
12_shenyu,shenyu-common,data analysis,0.46020309625
12_shenyu,shenyu-common,World Wide Web,0.45811494375
12_shenyu,shenyu-common,computer configuration,0.4573939175
12_shenyu,shenyu-common,linear regression,0.45737205125
12_shenyu,shenyu-common,web application security,0.457309635
12_shenyu,shenyu-common,distributed database,0.4570514875
12_shenyu,shenyu-common,reinforcement learning,0.45586887625
12_shenyu,shenyu-common,machine learning,0.45529944125
12_shenyu,shenyu-common,sorting algorithm,0.45430181625
12_shenyu,shenyu-common,database management,0.45411521624999995
12_shenyu,shenyu-common,geographic information system,0.45384696874999997
12_shenyu,shenyu-common,text processing,0.453829975
12_shenyu,shenyu-common,distributed multimedia communications platform,0.451295025
12_shenyu,shenyu-common,time series,0.45066523124999996
12_shenyu,shenyu-common,data mining,0.45053080125
12_shenyu,shenyu-common,web development,0.45045445250000005
12_shenyu,shenyu-common,cloud computing,0.45041726625
12_shenyu,shenyu-common,random forest,0.4493796
12_shenyu,shenyu-common,graph algorithm,0.44699037
12_shenyu,shenyu-common,quantum computer,0.44694244875
12_shenyu,shenyu-common,big data,0.4451835375
12_shenyu,shenyu-common,graph database,0.44471213249999997
12_shenyu,shenyu-common,long short-term memory,0.44462050625
12_shenyu,shenyu-common,video processing,0.44430733749999995
12_shenyu,shenyu-common,signal processing,0.4440430475
12_shenyu,shenyu-common,natural language,0.44287587125
12_shenyu,shenyu-common,support vector machine,0.44160487000000004
12_shenyu,shenyu-common,file system,0.44095781749999996
12_shenyu,shenyu-common,linear algebra,0.4407514225
12_shenyu,shenyu-common,artificial neural network,0.4406729425
12_shenyu,shenyu-common,data science,0.43914077125
12_shenyu,shenyu-common,email,0.43523275625
12_shenyu,shenyu-common,information retrieval,0.43488630875
12_shenyu,shenyu-common,Malware Analysis,0.43462082999999996
12_shenyu,shenyu-common,animation,0.434436335
12_shenyu,shenyu-common,web scraping,0.43439268
12_shenyu,shenyu-common,recommender system,0.43308356000000003
12_shenyu,shenyu-common,translation,0.43166014125
12_shenyu,shenyu-common,regular expression,0.4309535025
12_shenyu,shenyu-common,telecommunications network,0.43092448875
12_shenyu,shenyu-common,operating system,0.43043234124999996
12_shenyu,shenyu-common,data visualization,0.42830544125000003
12_shenyu,shenyu-common,information extraction,0.4280316275
12_shenyu,shenyu-common,3D modeling,0.4234970675
12_shenyu,shenyu-common,natural language processing,0.422248945
12_shenyu,shenyu-common,object detection,0.41695246249999995
12_shenyu,shenyu-common,optical character recognition,0.41391182249999997
12_shenyu,shenyu-common,text classification,0.41325781
12_shenyu,shenyu-common,audio signal processing,0.41125734875
12_shenyu,shenyu-common,word embedding,0.40184154875
