project_name,module,domain,sim_score
12_shenyu,shenyu-protocol,WebSocket,0.57926182875
12_shenyu,shenyu-protocol,instant messaging,0.576110055
12_shenyu,shenyu-protocol,middleware,0.5751417237500001
12_shenyu,shenyu-protocol,smart contract,0.568482775
12_shenyu,shenyu-protocol,server,0.5536993749999999
12_shenyu,shenyu-protocol,stream processing,0.5526087774999999
12_shenyu,shenyu-protocol,game server,0.549557625
12_shenyu,shenyu-protocol,File Transfer Protocol,0.5470959125
12_shenyu,shenyu-protocol,HTTP server,0.54694590375
12_shenyu,shenyu-protocol,HTTP client,0.54539160875
12_shenyu,shenyu-protocol,distributed computing,0.540668175
12_shenyu,shenyu-protocol,scheduler,0.5391850475
12_shenyu,shenyu-protocol,command-line interface,0.5356665762499999
12_shenyu,shenyu-protocol,web server,0.5352154725
12_shenyu,shenyu-protocol,embedded system,0.53355816375
12_shenyu,shenyu-protocol,internet bot,0.53206268875
12_shenyu,shenyu-protocol,back end,0.53044628
12_shenyu,shenyu-protocol,blockchain,0.5300688375
12_shenyu,shenyu-protocol,automation,0.5268305875
12_shenyu,shenyu-protocol,telecommunications network,0.5243215112499999
12_shenyu,shenyu-protocol,password manager,0.52430074875
12_shenyu,shenyu-protocol,microservices,0.52304915
12_shenyu,shenyu-protocol,web service,0.52201208375
12_shenyu,shenyu-protocol,internet of things,0.52020778375
12_shenyu,shenyu-protocol,application performance management,0.5198769875
12_shenyu,shenyu-protocol,streaming media,0.5169970162499999
12_shenyu,shenyu-protocol,user interface,0.5158516237499999
12_shenyu,shenyu-protocol,information processing,0.5135612175
12_shenyu,shenyu-protocol,serialization,0.51096067875
12_shenyu,shenyu-protocol,encryption,0.50955583875
12_shenyu,shenyu-protocol,client,0.50471314375
12_shenyu,shenyu-protocol,security,0.50165396375
12_shenyu,shenyu-protocol,front end,0.5015177725
12_shenyu,shenyu-protocol,language model,0.4999160725
12_shenyu,shenyu-protocol,email,0.49982780875
12_shenyu,shenyu-protocol,data binding,0.49962690625
12_shenyu,shenyu-protocol,data,0.4960385875
12_shenyu,shenyu-protocol,logging,0.49554310875
12_shenyu,shenyu-protocol,test automation,0.49550169125
12_shenyu,shenyu-protocol,graphical user interface,0.49457716500000004
12_shenyu,shenyu-protocol,package management system,0.49184891000000003
12_shenyu,shenyu-protocol,Semantic Web,0.4904635375
12_shenyu,shenyu-protocol,authentication,0.4891530225
12_shenyu,shenyu-protocol,data compression,0.48640178875
12_shenyu,shenyu-protocol,natural language,0.4857965975
12_shenyu,shenyu-protocol,web application,0.48578603875
12_shenyu,shenyu-protocol,unit testing,0.48470990375
12_shenyu,shenyu-protocol,pattern matching,0.48424583624999995
12_shenyu,shenyu-protocol,compiler,0.48187530749999996
12_shenyu,shenyu-protocol,backup,0.47786586375
12_shenyu,shenyu-protocol,signal processing,0.47608045
12_shenyu,shenyu-protocol,cloud computing,0.47414369
12_shenyu,shenyu-protocol,penetration test,0.46981922499999995
12_shenyu,shenyu-protocol,computer data storage,0.46923558875
12_shenyu,shenyu-protocol,algorithm,0.46691174125
12_shenyu,shenyu-protocol,knowledge graph,0.46314865375000003
12_shenyu,shenyu-protocol,time series,0.46310342250000003
12_shenyu,shenyu-protocol,big data,0.46279095375
12_shenyu,shenyu-protocol,search,0.46212799375
12_shenyu,shenyu-protocol,linear algebra,0.45554879625
12_shenyu,shenyu-protocol,object–relational mapping,0.45501747000000003
12_shenyu,shenyu-protocol,database,0.45315659625000004
12_shenyu,shenyu-protocol,analytics,0.4530749275
12_shenyu,shenyu-protocol,anomaly detection,0.4525245725
12_shenyu,shenyu-protocol,sentiment analysis,0.4504033175
12_shenyu,shenyu-protocol,web application security,0.449549635
12_shenyu,shenyu-protocol,evolutionary algorithm,0.447666485
12_shenyu,shenyu-protocol,audio signal processing,0.4475372025
12_shenyu,shenyu-protocol,information extraction,0.4460814025
12_shenyu,shenyu-protocol,bitcoin,0.44509511
12_shenyu,shenyu-protocol,graph algorithm,0.44259431
12_shenyu,shenyu-protocol,support vector machine,0.43802455375000005
12_shenyu,shenyu-protocol,file system,0.43645616875
12_shenyu,shenyu-protocol,linear regression,0.43054386375
12_shenyu,shenyu-protocol,data structure,0.42835981
12_shenyu,shenyu-protocol,deep learning,0.414948835
12_shenyu,shenyu-protocol,object detection,0.3981838
12_shenyu,shenyu-protocol,regular expression,0.37752039375
