project_name,module,domain,sim_score
14_storm,storm-core,command-line interface,0.5772473644444445
14_storm,storm-core,shell tool,0.5469704955555555
14_storm,storm-core,static program analysis,0.5366735833333335
14_storm,storm-core,game server,0.5298942244444443
14_storm,storm-core,application performance management,0.5237635322222222
14_storm,storm-core,graphical user interface,0.5233246422222222
14_storm,storm-core,stream processing,0.5231590288888889
14_storm,storm-core,logging,0.5197043433333334
14_storm,storm-core,data,0.5160495822222223
14_storm,storm-core,DevOps,0.51484743
14_storm,storm-core,static site generator,0.5136633033333333
14_storm,storm-core,server,0.5134843088888889
14_storm,storm-core,back end,0.5104989188888889
14_storm,storm-core,test automation,0.5065750555555556
14_storm,storm-core,distributed computing,0.502987111111111
14_storm,storm-core,client,0.5016124688888889
14_storm,storm-core,user interface,0.5009641611111111
14_storm,storm-core,HTTP client,0.4982628277777777
14_storm,storm-core,package management system,0.4980038233333333
14_storm,storm-core,continuous integration,0.49620150444444444
14_storm,storm-core,File Transfer Protocol,0.4960487255555555
14_storm,storm-core,automation,0.4956441188888889
14_storm,storm-core,Parser combinator,0.4953557311111112
14_storm,storm-core,distributed system,0.4943714377777778
14_storm,storm-core,serialization,0.4908478966666667
14_storm,storm-core,computer data storage,0.4898628888888889
14_storm,storm-core,data binding,0.489326468888889
14_storm,storm-core,file system,0.487711811111111
14_storm,storm-core,scheduler,0.4876616977777778
14_storm,storm-core,embedded system,0.48752793111111115
14_storm,storm-core,HTTP server,0.48683160111111107
14_storm,storm-core,data compression,0.48630895555555553
14_storm,storm-core,computational biology,0.4858989588888889
14_storm,storm-core,smart contract,0.4856274266666667
14_storm,storm-core,knowledge graph,0.48493053555555554
14_storm,storm-core,geographic information system,0.4836414088888889
14_storm,storm-core,pattern matching,0.48302136888888886
14_storm,storm-core,web server,0.4827464633333334
14_storm,storm-core,information processing,0.48242433999999995
14_storm,storm-core,password manager,0.4820853277777777
14_storm,storm-core,kernel,0.48165237555555557
14_storm,storm-core,backup,0.4813490311111111
14_storm,storm-core,search,0.4808501322222222
14_storm,storm-core,microservices,0.48079201111111114
14_storm,storm-core,software testing,0.48059409444444445
14_storm,storm-core,content management system,0.48002427
14_storm,storm-core,data analysis,0.47877253444444445
14_storm,storm-core,Web Components,0.47838781111111106
14_storm,storm-core,language model,0.47769517222222224
14_storm,storm-core,cluster analysis,0.47761825777777783
14_storm,storm-core,virtual machine,0.4768936
14_storm,storm-core,benchmark,0.4761433288888889
14_storm,storm-core,game engine,0.4746766711111111
14_storm,storm-core,data structure,0.47447642999999995
14_storm,storm-core,database,0.47435963111111107
14_storm,storm-core,website,0.4741263677777778
14_storm,storm-core,internet bot,0.47262229111111115
14_storm,storm-core,algorithm,0.4723284566666666
14_storm,storm-core,data visualization,0.47228712111111115
14_storm,storm-core,analytics,0.4718383233333333
14_storm,storm-core,artificial intelligence,0.47162475555555555
14_storm,storm-core,web application,0.47129472999999994
14_storm,storm-core,instant messaging,0.47119459888888887
14_storm,storm-core,unit testing,0.47090027222222225
14_storm,storm-core,object–relational mapping,0.47087257555555556
14_storm,storm-core,Kalman filter,0.46981419999999996
14_storm,storm-core,computer configuration,0.4695188144444445
14_storm,storm-core,virtualization,0.46823469111111105
14_storm,storm-core,text processing,0.46609741888888895
14_storm,storm-core,penetration test,0.46583170000000007
14_storm,storm-core,plot,0.46486520666666664
14_storm,storm-core,web service,0.4641418077777778
14_storm,storm-core,graph database,0.46305247555555556
14_storm,storm-core,streaming media,0.4615275466666666
14_storm,storm-core,World Wide Web,0.46134574222222224
14_storm,storm-core,anomaly detection,0.46085056555555554
14_storm,storm-core,operating system,0.4606173477777778
14_storm,storm-core,Q-learning,0.45960724666666664
14_storm,storm-core,machine learning,0.45815999333333335
14_storm,storm-core,linear regression,0.4577300455555555
14_storm,storm-core,reinforcement learning,0.4565108177777778
14_storm,storm-core,telecommunications network,0.4562195377777778
14_storm,storm-core,web crawler,0.45607203444444444
14_storm,storm-core,blockchain,0.4549240388888889
14_storm,storm-core,security,0.45388083555555553
14_storm,storm-core,cloud computing,0.45114488666666663
14_storm,storm-core,distributed database,0.4508336866666667
14_storm,storm-core,data mining,0.44955200444444443
14_storm,storm-core,signal processing,0.44881505222222223
14_storm,storm-core,mobile application development,0.44876939222222223
14_storm,storm-core,support vector machine,0.4465921088888889
14_storm,storm-core,web development,0.4456285366666667
14_storm,storm-core,big data,0.4443156266666667
14_storm,storm-core,time series,0.44355215333333337
14_storm,storm-core,sorting algorithm,0.43951245555555557
14_storm,storm-core,image recognition,0.43933518222222223
14_storm,storm-core,internet of things,0.43827984444444446
14_storm,storm-core,computer vision,0.43827853333333333
14_storm,storm-core,email,0.43722345444444444
14_storm,storm-core,artificial neural network,0.4360810355555556
14_storm,storm-core,semi-supervised learning,0.43427339777777774
14_storm,storm-core,web application security,0.4297019722222222
14_storm,storm-core,object detection,0.42165784222222225
14_storm,storm-core,deep learning,0.42092480444444447
14_storm,storm-core,recommender system,0.40709080222222216
14_storm,storm-core,regular expression,0.40170778444444444
14_storm,storm-core,face detection,0.3939024511111111
14_storm,storm-core,facial recognition system,0.37935389333333336
