project_name,module,domain,sim_score
01_dubbo,dubbo-metrics,microservices,0.59335665875
01_dubbo,dubbo-metrics,web service,0.5930472250000001
01_dubbo,dubbo-metrics,client,0.5762266362499999
01_dubbo,dubbo-metrics,back end,0.5680068
01_dubbo,dubbo-metrics,static site generator,0.559977035
01_dubbo,dubbo-metrics,static program analysis tool,0.5433535062500001
01_dubbo,dubbo-metrics,content management system,0.535669495
01_dubbo,dubbo-metrics,package management system,0.53140690125
01_dubbo,dubbo-metrics,code generation,0.529831295
01_dubbo,dubbo-metrics,static program analysis,0.5291951475000001
01_dubbo,dubbo-metrics,dependency injection,0.5289241124999999
01_dubbo,dubbo-metrics,software testing,0.5286338075
01_dubbo,dubbo-metrics,Web Components,0.528244425
01_dubbo,dubbo-metrics,HTTP client,0.5249750875
01_dubbo,dubbo-metrics,website,0.52252754
01_dubbo,dubbo-metrics,distributed system,0.52235650375
01_dubbo,dubbo-metrics,web application,0.51545234875
01_dubbo,dubbo-metrics,design,0.5115909274999999
01_dubbo,dubbo-metrics,World Wide Web,0.5110787125
01_dubbo,dubbo-metrics,recommender system,0.51030465875
01_dubbo,dubbo-metrics,web crawler,0.50934154375
01_dubbo,dubbo-metrics,unit testing,0.50723831375
01_dubbo,dubbo-metrics,smart contract,0.5067070425
01_dubbo,dubbo-metrics,distributed computing,0.50414979875
01_dubbo,dubbo-metrics,stream processing,0.503005565
01_dubbo,dubbo-metrics,data,0.5020539175000001
01_dubbo,dubbo-metrics,web server,0.5019073475
01_dubbo,dubbo-metrics,application performance management,0.50167722
01_dubbo,dubbo-metrics,command-line interface,0.5012116675
01_dubbo,dubbo-metrics,compiler,0.50031081125
01_dubbo,dubbo-metrics,web browser engine,0.49862382375000003
01_dubbo,dubbo-metrics,HTTP server,0.49581432625
01_dubbo,dubbo-metrics,server,0.4949351425
01_dubbo,dubbo-metrics,graphical user interface,0.4915012475
01_dubbo,dubbo-metrics,language model,0.48933991499999996
01_dubbo,dubbo-metrics,game server,0.48810373125
01_dubbo,dubbo-metrics,user interface,0.48794502624999997
01_dubbo,dubbo-metrics,logging,0.4869181375
01_dubbo,dubbo-metrics,test automation,0.4828074425
01_dubbo,dubbo-metrics,web browser,0.4812296875
01_dubbo,dubbo-metrics,automation,0.4809326725
01_dubbo,dubbo-metrics,cloud computing,0.47900921375
01_dubbo,dubbo-metrics,streaming media,0.4784348125
01_dubbo,dubbo-metrics,data analysis,0.47551450500000003
01_dubbo,dubbo-metrics,File Transfer Protocol,0.47463371875000004
01_dubbo,dubbo-metrics,data visualization,0.47362647
01_dubbo,dubbo-metrics,scheduler,0.4725830425
01_dubbo,dubbo-metrics,topic modeling,0.47147516125
01_dubbo,dubbo-metrics,anomaly detection,0.470546105
01_dubbo,dubbo-metrics,e-commerce,0.4700139825
01_dubbo,dubbo-metrics,data science,0.46941940125000003
01_dubbo,dubbo-metrics,electronic trading platform,0.46877744125
01_dubbo,dubbo-metrics,data compression,0.46818454
01_dubbo,dubbo-metrics,analytics,0.46775703125
01_dubbo,dubbo-metrics,text processing,0.46703553
01_dubbo,dubbo-metrics,router,0.46475703749999997
01_dubbo,dubbo-metrics,distributed multimedia communications platform,0.46473459375000004
01_dubbo,dubbo-metrics,file system,0.4639851725
01_dubbo,dubbo-metrics,WebSocket,0.462792615
01_dubbo,dubbo-metrics,game engine,0.46054965375
01_dubbo,dubbo-metrics,regression analysis,0.460143455
01_dubbo,dubbo-metrics,instant messaging,0.45873566874999994
01_dubbo,dubbo-metrics,information extraction,0.45853932625
01_dubbo,dubbo-metrics,logistic regression model,0.45772172375000003
01_dubbo,dubbo-metrics,security,0.45593871875
01_dubbo,dubbo-metrics,embedded system,0.4551107675
01_dubbo,dubbo-metrics,algorithm,0.45507509375
01_dubbo,dubbo-metrics,support vector machine,0.45438114
01_dubbo,dubbo-metrics,graph database,0.4540331775
01_dubbo,dubbo-metrics,geographic information system,0.45317799125
01_dubbo,dubbo-metrics,computer configuration,0.45303103749999996
01_dubbo,dubbo-metrics,machine learning,0.451359795
01_dubbo,dubbo-metrics,time series,0.451202235
01_dubbo,dubbo-metrics,big data,0.45032731374999996
01_dubbo,dubbo-metrics,cluster analysis,0.4488086275
01_dubbo,dubbo-metrics,operating system,0.44757364374999997
01_dubbo,dubbo-metrics,database,0.44752489
01_dubbo,dubbo-metrics,Kalman filter,0.44589160875
01_dubbo,dubbo-metrics,data binding,0.44412827625
01_dubbo,dubbo-metrics,video processing,0.44346823375
01_dubbo,dubbo-metrics,penetration test,0.442710535
01_dubbo,dubbo-metrics,pattern matching,0.44223960749999996
01_dubbo,dubbo-metrics,word embedding,0.44213938124999996
01_dubbo,dubbo-metrics,distributed database,0.4418355275
01_dubbo,dubbo-metrics,information processing,0.44113111125000004
