project_name,module,domain,sim_score
03_flink,flink-streaming-scala,stream processing,0.5740214655555556
03_flink,flink-streaming-scala,static program analysis,0.5526873722222222
03_flink,flink-streaming-scala,package management system,0.5286254555555555
03_flink,flink-streaming-scala,software testing,0.5252575644444444
03_flink,flink-streaming-scala,information processing,0.519267038888889
03_flink,flink-streaming-scala,benchmark,0.5186534233333333
03_flink,flink-streaming-scala,test automation,0.5165036033333333
03_flink,flink-streaming-scala,automation,0.5132634211111111
03_flink,flink-streaming-scala,Web Components,0.51247351
03_flink,flink-streaming-scala,language model,0.5100956766666667
03_flink,flink-streaming-scala,smart contract,0.5100695700000001
03_flink,flink-streaming-scala,microservices,0.5070725377777778
03_flink,flink-streaming-scala,client,0.49241648444444447
03_flink,flink-streaming-scala,server,0.48718401888888896
03_flink,flink-streaming-scala,web application,0.48455993444444445
03_flink,flink-streaming-scala,unit testing,0.4815049533333333
03_flink,flink-streaming-scala,data,0.48142559555555553
03_flink,flink-streaming-scala,artificial intelligence,0.4806337322222222
03_flink,flink-streaming-scala,user interface,0.48007606
03_flink,flink-streaming-scala,object–relational mapping,0.4719945022222222
03_flink,flink-streaming-scala,data binding,0.4673962811111111
03_flink,flink-streaming-scala,database,0.46638475777777777
03_flink,flink-streaming-scala,data analysis,0.4662589177777778
03_flink,flink-streaming-scala,web service,0.46549862777777773
03_flink,flink-streaming-scala,serialization,0.4622526733333333
03_flink,flink-streaming-scala,instant messaging,0.4593741222222223
03_flink,flink-streaming-scala,data structure,0.4551555888888889
03_flink,flink-streaming-scala,logging,0.45452200222222217
03_flink,flink-streaming-scala,streaming media,0.44712770333333335
03_flink,flink-streaming-scala,big data,0.44467726
03_flink,flink-streaming-scala,linear regression,0.44350643
03_flink,flink-streaming-scala,HTTP client,0.4426274611111112
03_flink,flink-streaming-scala,web server,0.43956307222222224
03_flink,flink-streaming-scala,support vector machine,0.43538286888888883
03_flink,flink-streaming-scala,web crawler,0.43315603444444445
03_flink,flink-streaming-scala,HTTP server,0.43095750888888884
03_flink,flink-streaming-scala,file system,0.4267608755555556
03_flink,flink-streaming-scala,World Wide Web,0.4202133444444444
03_flink,flink-streaming-scala,File Transfer Protocol,0.4196177144444444
03_flink,flink-streaming-scala,object detection,0.4079178733333333
03_flink,flink-streaming-scala,web application security,0.4078831633333333
03_flink,flink-streaming-scala,penetration test,0.3969212833333333
03_flink,flink-streaming-scala,regular expression,0.39283861666666664
