project_name,module,domain,sim_score
04_rocketmq,container,stream processing,0.6260956612499999
04_rocketmq,container,HTTP client,0.6074519125
04_rocketmq,container,client,0.597280365
04_rocketmq,container,streaming media,0.58929138625
04_rocketmq,container,distributed system,0.58923066625
04_rocketmq,container,server,0.57580668125
04_rocketmq,container,instant messaging,0.575293525
04_rocketmq,container,web server,0.57495821125
04_rocketmq,container,command-line interface,0.5717563187500001
04_rocketmq,container,microservices,0.56858124625
04_rocketmq,container,package management system,0.5667770675
04_rocketmq,container,application performance management,0.56663506875
04_rocketmq,container,File Transfer Protocol,0.5645132525000001
04_rocketmq,container,WebSocket,0.5606156800000001
04_rocketmq,container,middleware,0.555418345
04_rocketmq,container,HTTP server,0.5537847487499999
04_rocketmq,container,cloud computing,0.54746711625
04_rocketmq,container,web service,0.5469025574999999
04_rocketmq,container,content management system,0.5398866725
04_rocketmq,container,web application,0.5378897924999999
04_rocketmq,container,back end,0.53380998
04_rocketmq,container,logging,0.53252233375
04_rocketmq,container,embedded system,0.531837435
04_rocketmq,container,graphical user interface,0.5247988987500001
04_rocketmq,container,blockchain,0.51731438
04_rocketmq,container,computer data storage,0.5143404537499999
04_rocketmq,container,smart contract,0.5137244425
04_rocketmq,container,operating system,0.51172630375
04_rocketmq,container,user interface,0.5074851650000001
04_rocketmq,container,file system,0.5052132737499999
04_rocketmq,container,static program analysis,0.501453725
04_rocketmq,container,web application security,0.5009373925
04_rocketmq,container,information processing,0.4999931175
04_rocketmq,container,automation,0.49925664125
04_rocketmq,container,synchronization,0.49576889375
04_rocketmq,container,security,0.49269844374999994
04_rocketmq,container,Web Components,0.4898710425
04_rocketmq,container,World Wide Web,0.48530599875
04_rocketmq,container,software testing,0.48503696
04_rocketmq,container,signal processing,0.479131
04_rocketmq,container,benchmark,0.4789485575
04_rocketmq,container,website,0.47838425875
04_rocketmq,container,data,0.4777242825
04_rocketmq,container,telecommunications network,0.4740160175
04_rocketmq,container,audio signal processing,0.47039472875
04_rocketmq,container,machine learning,0.466234425
04_rocketmq,container,big data,0.46450288875
04_rocketmq,container,test automation,0.46290231125
04_rocketmq,container,geographic information system,0.45437329625
04_rocketmq,container,recommender system,0.4541819625
04_rocketmq,container,analytics,0.45285306625
04_rocketmq,container,penetration test,0.45237631624999997
04_rocketmq,container,database,0.43657657375000003
04_rocketmq,container,data binding,0.42478222499999996
04_rocketmq,container,artificial neural network,0.414117585
04_rocketmq,container,object detection,0.40820678499999996
04_rocketmq,container,object–relational mapping,0.40241285375
04_rocketmq,container,regular expression,0.37722927625
