project_name,module,domain,sim_score
05_shardingsphere,db-protocol,database,0.6717040642857144
05_shardingsphere,db-protocol,database management,0.6525304714285715
05_shardingsphere,db-protocol,distributed database,0.63262964
05_shardingsphere,db-protocol,graph database,0.5898678428571429
05_shardingsphere,db-protocol,back end,0.5857673400000001
05_shardingsphere,db-protocol,streaming media,0.5805127342857143
05_shardingsphere,db-protocol,user interface,0.5803466642857142
05_shardingsphere,db-protocol,server,0.5754550185714286
05_shardingsphere,db-protocol,computer data storage,0.57513392
05_shardingsphere,db-protocol,data,0.57410756
05_shardingsphere,db-protocol,digital audio,0.5703998371428571
05_shardingsphere,db-protocol,graphical user interface,0.56924204
05_shardingsphere,db-protocol,distributed system,0.5684959185714286
05_shardingsphere,db-protocol,content management system,0.56320184
05_shardingsphere,db-protocol,object–relational mapping,0.5627931285714285
05_shardingsphere,db-protocol,application performance management,0.55974253
05_shardingsphere,db-protocol,static site generator,0.55893973
05_shardingsphere,db-protocol,File Transfer Protocol,0.5563994142857144
05_shardingsphere,db-protocol,front end,0.5557613128571429
05_shardingsphere,db-protocol,embedded system,0.5538930057142857
05_shardingsphere,db-protocol,web server,0.5525462042857142
05_shardingsphere,db-protocol,schema migration,0.5507957685714286
05_shardingsphere,db-protocol,game server,0.5502719085714286
05_shardingsphere,db-protocol,data binding,0.55008172
05_shardingsphere,db-protocol,e-commerce,0.5496458742857143
05_shardingsphere,db-protocol,software development,0.5484153542857143
05_shardingsphere,db-protocol,instant messaging,0.5483328000000001
05_shardingsphere,db-protocol,World Wide Web,0.5468949314285714
05_shardingsphere,db-protocol,backup,0.5430846371428572
05_shardingsphere,db-protocol,WebSocket,0.5414860428571429
05_shardingsphere,db-protocol,network analysis,0.5401459757142856
05_shardingsphere,db-protocol,smart contract,0.5398796971428571
05_shardingsphere,db-protocol,geographic information system,0.5389372299999999
05_shardingsphere,db-protocol,package management system,0.5379756271428572
05_shardingsphere,db-protocol,file system,0.5369419700000001
05_shardingsphere,db-protocol,information retrieval,0.5363067942857144
05_shardingsphere,db-protocol,client,0.5357344714285716
05_shardingsphere,db-protocol,blockchain,0.53299208
05_shardingsphere,db-protocol,web service,0.5329842785714287
05_shardingsphere,db-protocol,command-line interface,0.531982647142857
05_shardingsphere,db-protocol,email,0.5310708871428572
05_shardingsphere,db-protocol,language model,0.5307408014285714
05_shardingsphere,db-protocol,distributed computing,0.5305079728571428
05_shardingsphere,db-protocol,data compression,0.5303095928571429
05_shardingsphere,db-protocol,design,0.5300647785714286
05_shardingsphere,db-protocol,stream processing,0.5283109371428572
05_shardingsphere,db-protocol,data visualization,0.5280046071428571
05_shardingsphere,db-protocol,search,0.5273849514285714
05_shardingsphere,db-protocol,HTTP server,0.5268125214285714
05_shardingsphere,db-protocol,data analysis,0.5249937071428572
05_shardingsphere,db-protocol,big data,0.5239611628571429
05_shardingsphere,db-protocol,static program analysis tool,0.5235652871428572
05_shardingsphere,db-protocol,synchronization,0.5220399928571429
05_shardingsphere,db-protocol,data structure,0.5210304757142857
05_shardingsphere,db-protocol,benchmark,0.52075593
05_shardingsphere,db-protocol,dependency injection,0.5198687771428572
05_shardingsphere,db-protocol,scheduler,0.5181352371428571
05_shardingsphere,db-protocol,authentication,0.5167186371428572
05_shardingsphere,db-protocol,question answering,0.5164447314285715
05_shardingsphere,db-protocol,test automation,0.5164077157142857
05_shardingsphere,db-protocol,algorithm,0.5155495514285715
05_shardingsphere,db-protocol,static program analysis,0.5143896814285714
05_shardingsphere,db-protocol,analytics,0.5111046985714286
05_shardingsphere,db-protocol,software testing,0.5101070357142856
