project_name,module,domain,sim_score
05_shardingsphere,proxy,database,0.6717040642857144
05_shardingsphere,proxy,database management,0.6525304714285715
05_shardingsphere,proxy,distributed database,0.63262964
05_shardingsphere,proxy,web application,0.6163943542857143
05_shardingsphere,proxy,graph database,0.5898678428571429
05_shardingsphere,proxy,back end,0.5857673400000001
05_shardingsphere,proxy,website,0.5832766871428571
05_shardingsphere,proxy,streaming media,0.5805127342857143
05_shardingsphere,proxy,user interface,0.5803466642857142
05_shardingsphere,proxy,server,0.5754550185714286
05_shardingsphere,proxy,computer data storage,0.57513392
05_shardingsphere,proxy,data,0.57410756
05_shardingsphere,proxy,recommender system,0.5724312542857143
05_shardingsphere,proxy,graphical user interface,0.56924204
05_shardingsphere,proxy,distributed system,0.5684959185714286
05_shardingsphere,proxy,business dashboard,0.5633879642857142
05_shardingsphere,proxy,content management system,0.56320184
05_shardingsphere,proxy,object–relational mapping,0.5627931285714285
05_shardingsphere,proxy,application performance management,0.55974253
05_shardingsphere,proxy,Web Components,0.5594930557142856
05_shardingsphere,proxy,static site generator,0.55893973
05_shardingsphere,proxy,File Transfer Protocol,0.5563994142857144
05_shardingsphere,proxy,front end,0.5557613128571429
05_shardingsphere,proxy,embedded system,0.5538930057142857
05_shardingsphere,proxy,web server,0.5525462042857142
05_shardingsphere,proxy,schema migration,0.5507957685714286
05_shardingsphere,proxy,game server,0.5502719085714286
05_shardingsphere,proxy,data binding,0.55008172
05_shardingsphere,proxy,e-commerce,0.5496458742857143
05_shardingsphere,proxy,software development,0.5484153542857143
05_shardingsphere,proxy,instant messaging,0.5483328000000001
05_shardingsphere,proxy,World Wide Web,0.5468949314285714
05_shardingsphere,proxy,backup,0.5430846371428572
05_shardingsphere,proxy,WebSocket,0.5414860428571429
05_shardingsphere,proxy,continuous integration,0.5412913314285714
05_shardingsphere,proxy,web browser,0.5407375628571429
05_shardingsphere,proxy,network analysis,0.5401459757142856
05_shardingsphere,proxy,smart contract,0.5398796971428571
05_shardingsphere,proxy,middleware,0.5393071242857143
05_shardingsphere,proxy,geographic information system,0.5389372299999999
05_shardingsphere,proxy,package management system,0.5379756271428572
05_shardingsphere,proxy,web browser engine,0.5374558985714285
05_shardingsphere,proxy,file system,0.5369419700000001
05_shardingsphere,proxy,client,0.5357344714285716
