project_name,module,domain,sim_score
08_pulsar,pulsar-proxy,client,0.659218862
08_pulsar,pulsar-proxy,HTTP client,0.623497314
08_pulsar,pulsar-proxy,software testing,0.582954804
08_pulsar,pulsar-proxy,package management system,0.578806376
08_pulsar,pulsar-proxy,graphical user interface,0.572725674
08_pulsar,pulsar-proxy,dependency injection,0.56656388
08_pulsar,pulsar-proxy,web application,0.560810878
08_pulsar,pulsar-proxy,Web Components,0.5575046499999999
08_pulsar,pulsar-proxy,web development,0.551999252
08_pulsar,pulsar-proxy,smart contract,0.5503667059999999
08_pulsar,pulsar-proxy,command-line interface,0.537986948
08_pulsar,pulsar-proxy,static program analysis,0.5376934999999999
08_pulsar,pulsar-proxy,user interface,0.5344694320000001
08_pulsar,pulsar-proxy,web browser engine,0.530972076
08_pulsar,pulsar-proxy,microservices,0.530045562
08_pulsar,pulsar-proxy,game server,0.525292398
08_pulsar,pulsar-proxy,operating system,0.524452798
08_pulsar,pulsar-proxy,web application security,0.518519478
08_pulsar,pulsar-proxy,server,0.5184528159999999
08_pulsar,pulsar-proxy,continuous integration,0.515276272
08_pulsar,pulsar-proxy,application performance management,0.512913016
08_pulsar,pulsar-proxy,File Transfer Protocol,0.510869744
08_pulsar,pulsar-proxy,website,0.51063818
08_pulsar,pulsar-proxy,web service,0.509329856
08_pulsar,pulsar-proxy,serialization,0.507806942
08_pulsar,pulsar-proxy,web server,0.505484584
08_pulsar,pulsar-proxy,design,0.5049263140000001
08_pulsar,pulsar-proxy,unit testing,0.503604838
08_pulsar,pulsar-proxy,static site generator,0.500728248
08_pulsar,pulsar-proxy,back end,0.49955475400000005
08_pulsar,pulsar-proxy,distributed computing,0.49818910799999994
08_pulsar,pulsar-proxy,content management system,0.49812496
08_pulsar,pulsar-proxy,distributed system,0.496690012
08_pulsar,pulsar-proxy,HTTP server,0.49591793199999995
08_pulsar,pulsar-proxy,validator,0.49589977999999996
08_pulsar,pulsar-proxy,encryption,0.495551896
08_pulsar,pulsar-proxy,authentication,0.48916028600000006
08_pulsar,pulsar-proxy,middleware,0.48814181999999995
08_pulsar,pulsar-proxy,data,0.487724594
08_pulsar,pulsar-proxy,language model,0.483893986
08_pulsar,pulsar-proxy,stream processing,0.481793098
08_pulsar,pulsar-proxy,embedded system,0.47926346000000003
08_pulsar,pulsar-proxy,data compression,0.478670826
08_pulsar,pulsar-proxy,Semantic Web,0.478605734
08_pulsar,pulsar-proxy,file system,0.478341318
08_pulsar,pulsar-proxy,benchmark,0.477986272
08_pulsar,pulsar-proxy,digital audio,0.477305998
08_pulsar,pulsar-proxy,World Wide Web,0.477239714
08_pulsar,pulsar-proxy,streaming media,0.477077536
08_pulsar,pulsar-proxy,distributed multimedia communications platform,0.47619379000000006
08_pulsar,pulsar-proxy,database,0.475946666
08_pulsar,pulsar-proxy,geographic information system,0.474181298
08_pulsar,pulsar-proxy,test automation,0.473941224
08_pulsar,pulsar-proxy,scheduler,0.47391815800000003
08_pulsar,pulsar-proxy,WebSocket,0.47273961
08_pulsar,pulsar-proxy,penetration test,0.47086752800000004
08_pulsar,pulsar-proxy,cloud computing,0.470021558
08_pulsar,pulsar-proxy,distributed database,0.46964892
08_pulsar,pulsar-proxy,data analysis,0.46943686399999995
08_pulsar,pulsar-proxy,object–relational mapping,0.46912327600000003
08_pulsar,pulsar-proxy,digital security,0.46837229599999997
08_pulsar,pulsar-proxy,web crawler,0.46754945000000003
08_pulsar,pulsar-proxy,computer data storage,0.466608566
08_pulsar,pulsar-proxy,support vector machine,0.46647497799999993
08_pulsar,pulsar-proxy,password manager,0.465789028
08_pulsar,pulsar-proxy,digital image processing,0.46502048399999996
08_pulsar,pulsar-proxy,security,0.46439384199999995
08_pulsar,pulsar-proxy,logging,0.46338229599999997
08_pulsar,pulsar-proxy,computer configuration,0.46287035000000004
08_pulsar,pulsar-proxy,backup,0.461620134
08_pulsar,pulsar-proxy,network analysis,0.45953915
08_pulsar,pulsar-proxy,analytics,0.45756345400000004
08_pulsar,pulsar-proxy,data binding,0.457460678
08_pulsar,pulsar-proxy,automation,0.452710626
08_pulsar,pulsar-proxy,internet bot,0.45232918
08_pulsar,pulsar-proxy,instant messaging,0.451750566
08_pulsar,pulsar-proxy,pattern matching,0.450932778
08_pulsar,pulsar-proxy,data visualization,0.45087022800000004
08_pulsar,pulsar-proxy,data mining,0.450133018
08_pulsar,pulsar-proxy,text processing,0.440101694
08_pulsar,pulsar-proxy,network monitoring,0.439958626
08_pulsar,pulsar-proxy,data science,0.439558948
08_pulsar,pulsar-proxy,signal processing,0.439037808
08_pulsar,pulsar-proxy,data structure,0.43608766800000004
08_pulsar,pulsar-proxy,telecommunications network,0.433471572
08_pulsar,pulsar-proxy,big data,0.430996924
08_pulsar,pulsar-proxy,statistics,0.42687732600000006
08_pulsar,pulsar-proxy,audio signal processing,0.4218723840000001
08_pulsar,pulsar-proxy,word embedding,0.421591292
08_pulsar,pulsar-proxy,information processing,0.42136055600000005
08_pulsar,pulsar-proxy,object detection,0.42008574000000004
08_pulsar,pulsar-proxy,anomaly detection,0.412879986
08_pulsar,pulsar-proxy,text classification,0.40929614000000003
08_pulsar,pulsar-proxy,regular expression,0.40858592399999993
08_pulsar,pulsar-proxy,information extraction,0.4029467459999999
