project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-dao,back end,0.5962316675
10_dolphinscheduler,dolphinscheduler-dao,DevOps,0.5944938
10_dolphinscheduler,dolphinscheduler-dao,package management system,0.58386773625
10_dolphinscheduler,dolphinscheduler-dao,integrated development environment,0.58286662
10_dolphinscheduler,dolphinscheduler-dao,microservices,0.57385202
10_dolphinscheduler,dolphinscheduler-dao,content management system,0.570120185
10_dolphinscheduler,dolphinscheduler-dao,client,0.5699028212499999
10_dolphinscheduler,dolphinscheduler-dao,shell tool,0.56725859
10_dolphinscheduler,dolphinscheduler-dao,continuous integration,0.56697086875
10_dolphinscheduler,dolphinscheduler-dao,compiler,0.5631219300000001
10_dolphinscheduler,dolphinscheduler-dao,scheduler,0.5569024549999999
10_dolphinscheduler,dolphinscheduler-dao,command-line interface,0.55606638875
10_dolphinscheduler,dolphinscheduler-dao,web service,0.5554422649999999
10_dolphinscheduler,dolphinscheduler-dao,distributed system,0.55428611
10_dolphinscheduler,dolphinscheduler-dao,graphical user interface,0.5513373625
10_dolphinscheduler,dolphinscheduler-dao,static site generator,0.5502880175
10_dolphinscheduler,dolphinscheduler-dao,automation,0.55001628875
10_dolphinscheduler,dolphinscheduler-dao,application performance management,0.5486256325000001
10_dolphinscheduler,dolphinscheduler-dao,stream processing,0.54753524625
10_dolphinscheduler,dolphinscheduler-dao,smart contract,0.54752998
10_dolphinscheduler,dolphinscheduler-dao,static program analysis tool,0.5457993674999999
10_dolphinscheduler,dolphinscheduler-dao,code generation,0.5455397575
10_dolphinscheduler,dolphinscheduler-dao,user interface,0.54325902125
10_dolphinscheduler,dolphinscheduler-dao,dependency injection,0.54293113125
10_dolphinscheduler,dolphinscheduler-dao,middleware,0.54136274
10_dolphinscheduler,dolphinscheduler-dao,Web Components,0.53645871375
10_dolphinscheduler,dolphinscheduler-dao,web application,0.5348252275000001
10_dolphinscheduler,dolphinscheduler-dao,test automation,0.5334761675
10_dolphinscheduler,dolphinscheduler-dao,web browser engine,0.5327042962499999
10_dolphinscheduler,dolphinscheduler-dao,static program analysis,0.53254736625
10_dolphinscheduler,dolphinscheduler-dao,"extract, transform, load",0.5316844025
10_dolphinscheduler,dolphinscheduler-dao,recommender system,0.5315371475
10_dolphinscheduler,dolphinscheduler-dao,World Wide Web,0.53152242125
10_dolphinscheduler,dolphinscheduler-dao,text processing,0.5314802599999999
10_dolphinscheduler,dolphinscheduler-dao,business dashboard,0.53108186625
10_dolphinscheduler,dolphinscheduler-dao,software architecture,0.526215525
10_dolphinscheduler,dolphinscheduler-dao,information processing,0.5242898862500001
10_dolphinscheduler,dolphinscheduler-dao,web server,0.52048195875
10_dolphinscheduler,dolphinscheduler-dao,language model,0.5176618725
10_dolphinscheduler,dolphinscheduler-dao,virtual machine,0.5166984825
10_dolphinscheduler,dolphinscheduler-dao,server,0.5107902074999999
10_dolphinscheduler,dolphinscheduler-dao,game server,0.51041114875
10_dolphinscheduler,dolphinscheduler-dao,cloud computing,0.50995561125
10_dolphinscheduler,dolphinscheduler-dao,schema migration,0.5088630925
10_dolphinscheduler,dolphinscheduler-dao,HTTP client,0.5087930574999999
10_dolphinscheduler,dolphinscheduler-dao,blockchain,0.5087571275
10_dolphinscheduler,dolphinscheduler-dao,database management,0.50790456625
10_dolphinscheduler,dolphinscheduler-dao,embedded system,0.5065867374999999
10_dolphinscheduler,dolphinscheduler-dao,file system,0.5065660062499999
10_dolphinscheduler,dolphinscheduler-dao,analytics,0.5051898562499999
10_dolphinscheduler,dolphinscheduler-dao,distributed database,0.50185268125
10_dolphinscheduler,dolphinscheduler-dao,computer configuration,0.50106000875
10_dolphinscheduler,dolphinscheduler-dao,website,0.500983705
10_dolphinscheduler,dolphinscheduler-dao,operating system,0.500720225
10_dolphinscheduler,dolphinscheduler-dao,instant messaging,0.50036446875
10_dolphinscheduler,dolphinscheduler-dao,File Transfer Protocol,0.49496264125
10_dolphinscheduler,dolphinscheduler-dao,machine translation,0.49337528625000004
10_dolphinscheduler,dolphinscheduler-dao,data,0.49320223500000004
10_dolphinscheduler,dolphinscheduler-dao,software testing,0.49263259125000003
10_dolphinscheduler,dolphinscheduler-dao,email,0.49220591999999996
10_dolphinscheduler,dolphinscheduler-dao,HTTP server,0.4918667125
10_dolphinscheduler,dolphinscheduler-dao,3D modeling,0.49085341125000004
10_dolphinscheduler,dolphinscheduler-dao,database,0.4903528225
