project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-remote,back end,0.5962316675
10_dolphinscheduler,dolphinscheduler-remote,DevOps,0.5944938
10_dolphinscheduler,dolphinscheduler-remote,package management system,0.58386773625
10_dolphinscheduler,dolphinscheduler-remote,microservices,0.57385202
10_dolphinscheduler,dolphinscheduler-remote,content management system,0.570120185
10_dolphinscheduler,dolphinscheduler-remote,client,0.5699028212499999
10_dolphinscheduler,dolphinscheduler-remote,shell tool,0.56725859
10_dolphinscheduler,dolphinscheduler-remote,continuous integration,0.56697086875
10_dolphinscheduler,dolphinscheduler-remote,distributed computing,0.5663049525
10_dolphinscheduler,dolphinscheduler-remote,web development,0.56501717875
10_dolphinscheduler,dolphinscheduler-remote,compiler,0.5631219300000001
10_dolphinscheduler,dolphinscheduler-remote,front end,0.56294223
10_dolphinscheduler,dolphinscheduler-remote,documentation,0.56240214625
10_dolphinscheduler,dolphinscheduler-remote,scheduler,0.5569024549999999
10_dolphinscheduler,dolphinscheduler-remote,command-line interface,0.55606638875
10_dolphinscheduler,dolphinscheduler-remote,web service,0.5554422649999999
10_dolphinscheduler,dolphinscheduler-remote,distributed system,0.55428611
10_dolphinscheduler,dolphinscheduler-remote,graphical user interface,0.5513373625
10_dolphinscheduler,dolphinscheduler-remote,automation,0.55001628875
10_dolphinscheduler,dolphinscheduler-remote,application performance management,0.5486256325000001
10_dolphinscheduler,dolphinscheduler-remote,stream processing,0.54753524625
10_dolphinscheduler,dolphinscheduler-remote,smart contract,0.54752998
10_dolphinscheduler,dolphinscheduler-remote,static program analysis tool,0.5457993674999999
10_dolphinscheduler,dolphinscheduler-remote,user interface,0.54325902125
10_dolphinscheduler,dolphinscheduler-remote,dependency injection,0.54293113125
10_dolphinscheduler,dolphinscheduler-remote,middleware,0.54136274
10_dolphinscheduler,dolphinscheduler-remote,Web Components,0.53645871375
10_dolphinscheduler,dolphinscheduler-remote,backup,0.5354768225
10_dolphinscheduler,dolphinscheduler-remote,web application,0.5348252275000001
10_dolphinscheduler,dolphinscheduler-remote,test automation,0.5334761675
10_dolphinscheduler,dolphinscheduler-remote,computer science,0.5334203612499999
10_dolphinscheduler,dolphinscheduler-remote,web browser engine,0.5327042962499999
10_dolphinscheduler,dolphinscheduler-remote,static program analysis,0.53254736625
10_dolphinscheduler,dolphinscheduler-remote,recommender system,0.5315371475
