project_name,module,domain,sim_score
11_shardingsphere-elasticjob,elasticjob-cloud,continuous deployment,0.6086813633333333
11_shardingsphere-elasticjob,elasticjob-cloud,scheduler,0.6034189544444444
11_shardingsphere-elasticjob,elasticjob-cloud,distributed computing,0.59646519
11_shardingsphere-elasticjob,elasticjob-cloud,DevOps,0.5922952666666667
11_shardingsphere-elasticjob,elasticjob-cloud,package management system,0.5903434777777777
11_shardingsphere-elasticjob,elasticjob-cloud,distributed system,0.5879529433333333
11_shardingsphere-elasticjob,elasticjob-cloud,integrated development environment,0.5790945144444444
11_shardingsphere-elasticjob,elasticjob-cloud,Containerization,0.5702568966666666
11_shardingsphere-elasticjob,elasticjob-cloud,cloud computing,0.5672976455555555
11_shardingsphere-elasticjob,elasticjob-cloud,application performance management,0.5614613644444445
11_shardingsphere-elasticjob,elasticjob-cloud,software development,0.5551371211111111
11_shardingsphere-elasticjob,elasticjob-cloud,microservices,0.5525375777777778
11_shardingsphere-elasticjob,elasticjob-cloud,dependency injection,0.5480305644444444
11_shardingsphere-elasticjob,elasticjob-cloud,server,0.5456931255555556
11_shardingsphere-elasticjob,elasticjob-cloud,middleware,0.54445093
11_shardingsphere-elasticjob,elasticjob-cloud,continuous integration,0.5436566255555556
11_shardingsphere-elasticjob,elasticjob-cloud,schema migration,0.5409903577777777
11_shardingsphere-elasticjob,elasticjob-cloud,continuous delivery,0.5389840177777778
11_shardingsphere-elasticjob,elasticjob-cloud,client,0.5366830411111111
11_shardingsphere-elasticjob,elasticjob-cloud,smart contract,0.5364631455555555
11_shardingsphere-elasticjob,elasticjob-cloud,content management system,0.5328983388888889
11_shardingsphere-elasticjob,elasticjob-cloud,virtualization,0.5297627744444444
11_shardingsphere-elasticjob,elasticjob-cloud,distributed database,0.5288127644444445
11_shardingsphere-elasticjob,elasticjob-cloud,back end,0.5286875833333333
11_shardingsphere-elasticjob,elasticjob-cloud,game server,0.5277185733333334
11_shardingsphere-elasticjob,elasticjob-cloud,virtual machine,0.5252097588888889
11_shardingsphere-elasticjob,elasticjob-cloud,static site generator,0.5238024511111111
11_shardingsphere-elasticjob,elasticjob-cloud,static program analysis tool,0.5138541333333334
11_shardingsphere-elasticjob,elasticjob-cloud,static program analysis,0.5134552733333333
11_shardingsphere-elasticjob,elasticjob-cloud,web server,0.5093315166666667
11_shardingsphere-elasticjob,elasticjob-cloud,web application,0.5073377944444446
11_shardingsphere-elasticjob,elasticjob-cloud,stream processing,0.5055548922222222
11_shardingsphere-elasticjob,elasticjob-cloud,blockchain,0.5020272622222222
11_shardingsphere-elasticjob,elasticjob-cloud,web development,0.5016541866666666
11_shardingsphere-elasticjob,elasticjob-cloud,Web Components,0.5003467866666668
11_shardingsphere-elasticjob,elasticjob-cloud,database management,0.5000490077777778
11_shardingsphere-elasticjob,elasticjob-cloud,computer configuration,0.49796248
11_shardingsphere-elasticjob,elasticjob-cloud,logging,0.49701095222222225
11_shardingsphere-elasticjob,elasticjob-cloud,compiler,0.49598479
11_shardingsphere-elasticjob,elasticjob-cloud,web browser engine,0.4959762366666667
11_shardingsphere-elasticjob,elasticjob-cloud,automation,0.495355011111111
11_shardingsphere-elasticjob,elasticjob-cloud,software testing,0.4944435411111111
11_shardingsphere-elasticjob,elasticjob-cloud,web service,0.49345100666666664
11_shardingsphere-elasticjob,elasticjob-cloud,"extract, transform, load",0.48852063444444443
11_shardingsphere-elasticjob,elasticjob-cloud,graphical user interface,0.48812208555555553
11_shardingsphere-elasticjob,elasticjob-cloud,computer science,0.4845870966666667
11_shardingsphere-elasticjob,elasticjob-cloud,command-line interface,0.48374015000000004
11_shardingsphere-elasticjob,elasticjob-cloud,analytics,0.4779220077777777
