project_name,module,domain,sim_score
11_shardingsphere-elasticjob,elasticjob-ecosystem,continuous deployment,0.6086813633333333
11_shardingsphere-elasticjob,elasticjob-ecosystem,scheduler,0.6034189544444444
11_shardingsphere-elasticjob,elasticjob-ecosystem,distributed computing,0.59646519
11_shardingsphere-elasticjob,elasticjob-ecosystem,DevOps,0.5922952666666667
11_shardingsphere-elasticjob,elasticjob-ecosystem,package management system,0.5903434777777777
11_shardingsphere-elasticjob,elasticjob-ecosystem,distributed system,0.5879529433333333
11_shardingsphere-elasticjob,elasticjob-ecosystem,cloud computing,0.5672976455555555
11_shardingsphere-elasticjob,elasticjob-ecosystem,application performance management,0.5614613644444445
11_shardingsphere-elasticjob,elasticjob-ecosystem,software development,0.5551371211111111
11_shardingsphere-elasticjob,elasticjob-ecosystem,microservices,0.5525375777777778
11_shardingsphere-elasticjob,elasticjob-ecosystem,dependency injection,0.5480305644444444
11_shardingsphere-elasticjob,elasticjob-ecosystem,server,0.5456931255555556
11_shardingsphere-elasticjob,elasticjob-ecosystem,middleware,0.54445093
11_shardingsphere-elasticjob,elasticjob-ecosystem,continuous integration,0.5436566255555556
11_shardingsphere-elasticjob,elasticjob-ecosystem,client,0.5366830411111111
11_shardingsphere-elasticjob,elasticjob-ecosystem,smart contract,0.5364631455555555
11_shardingsphere-elasticjob,elasticjob-ecosystem,content management system,0.5328983388888889
11_shardingsphere-elasticjob,elasticjob-ecosystem,distributed database,0.5288127644444445
11_shardingsphere-elasticjob,elasticjob-ecosystem,back end,0.5286875833333333
11_shardingsphere-elasticjob,elasticjob-ecosystem,game server,0.5277185733333334
11_shardingsphere-elasticjob,elasticjob-ecosystem,static site generator,0.5238024511111111
11_shardingsphere-elasticjob,elasticjob-ecosystem,static program analysis tool,0.5138541333333334
11_shardingsphere-elasticjob,elasticjob-ecosystem,static program analysis,0.5134552733333333
11_shardingsphere-elasticjob,elasticjob-ecosystem,web server,0.5093315166666667
11_shardingsphere-elasticjob,elasticjob-ecosystem,web application,0.5073377944444446
11_shardingsphere-elasticjob,elasticjob-ecosystem,stream processing,0.5055548922222222
11_shardingsphere-elasticjob,elasticjob-ecosystem,blockchain,0.5020272622222222
11_shardingsphere-elasticjob,elasticjob-ecosystem,Web Components,0.5003467866666668
11_shardingsphere-elasticjob,elasticjob-ecosystem,database management,0.5000490077777778
11_shardingsphere-elasticjob,elasticjob-ecosystem,computer configuration,0.49796248
11_shardingsphere-elasticjob,elasticjob-ecosystem,logging,0.49701095222222225
11_shardingsphere-elasticjob,elasticjob-ecosystem,compiler,0.49598479
11_shardingsphere-elasticjob,elasticjob-ecosystem,web browser engine,0.4959762366666667
11_shardingsphere-elasticjob,elasticjob-ecosystem,automation,0.495355011111111
11_shardingsphere-elasticjob,elasticjob-ecosystem,software testing,0.4944435411111111
11_shardingsphere-elasticjob,elasticjob-ecosystem,web service,0.49345100666666664
11_shardingsphere-elasticjob,elasticjob-ecosystem,"extract, transform, load",0.48852063444444443
11_shardingsphere-elasticjob,elasticjob-ecosystem,graphical user interface,0.48812208555555553
11_shardingsphere-elasticjob,elasticjob-ecosystem,command-line interface,0.48374015000000004
11_shardingsphere-elasticjob,elasticjob-ecosystem,analytics,0.4779220077777777
11_shardingsphere-elasticjob,elasticjob-ecosystem,big data,0.47700268
11_shardingsphere-elasticjob,elasticjob-ecosystem,password manager,0.4727386166666667
11_shardingsphere-elasticjob,elasticjob-ecosystem,graph database,0.47121591333333335
11_shardingsphere-elasticjob,elasticjob-ecosystem,web crawler,0.4707371188888889
11_shardingsphere-elasticjob,elasticjob-ecosystem,object–relational mapping,0.46866845999999995
11_shardingsphere-elasticjob,elasticjob-ecosystem,serialization,0.4672667588888889
11_shardingsphere-elasticjob,elasticjob-ecosystem,HTTP server,0.4662352877777778
11_shardingsphere-elasticjob,elasticjob-ecosystem,hyperparameter optimization,0.46527363777777775
11_shardingsphere-elasticjob,elasticjob-ecosystem,computer data storage,0.4652519833333333
11_shardingsphere-elasticjob,elasticjob-ecosystem,user interface,0.4647516944444445
11_shardingsphere-elasticjob,elasticjob-ecosystem,test automation,0.4642510644444444
11_shardingsphere-elasticjob,elasticjob-ecosystem,file system,0.4634406755555555
11_shardingsphere-elasticjob,elasticjob-ecosystem,shell tool,0.46229527
11_shardingsphere-elasticjob,elasticjob-ecosystem,synchronization,0.46189588111111113
11_shardingsphere-elasticjob,elasticjob-ecosystem,data science,0.4610101177777778
11_shardingsphere-elasticjob,elasticjob-ecosystem,data compression,0.46027639
11_shardingsphere-elasticjob,elasticjob-ecosystem,validator,0.45989271888888883
11_shardingsphere-elasticjob,elasticjob-ecosystem,embedded system,0.4595987277777778
11_shardingsphere-elasticjob,elasticjob-ecosystem,benchmark,0.4586742022222222
11_shardingsphere-elasticjob,elasticjob-ecosystem,front end,0.4584755555555555
11_shardingsphere-elasticjob,elasticjob-ecosystem,data,0.4574071622222222
11_shardingsphere-elasticjob,elasticjob-ecosystem,automated machine learning,0.4571479988888889
11_shardingsphere-elasticjob,elasticjob-ecosystem,HTTP client,0.45696181999999996
11_shardingsphere-elasticjob,elasticjob-ecosystem,database,0.45556858666666666
11_shardingsphere-elasticjob,elasticjob-ecosystem,game engine,0.45445064777777777
11_shardingsphere-elasticjob,elasticjob-ecosystem,internet bot,0.4523054755555555
11_shardingsphere-elasticjob,elasticjob-ecosystem,recommender system,0.4521780522222222
11_shardingsphere-elasticjob,elasticjob-ecosystem,network monitoring,0.45123613333333334
11_shardingsphere-elasticjob,elasticjob-ecosystem,File Transfer Protocol,0.45117555000000004
11_shardingsphere-elasticjob,elasticjob-ecosystem,website,0.4509796677777777
11_shardingsphere-elasticjob,elasticjob-ecosystem,streaming media,0.4500724855555556
