project_name,module,domain,sim_score
12_shenyu,shenyu-protocol,scheduler,0.6111840399999999
12_shenyu,shenyu-protocol,user interface,0.5316961075000001
12_shenyu,shenyu-protocol,automation,0.5276318575
12_shenyu,shenyu-protocol,middleware,0.5231252625
12_shenyu,shenyu-protocol,front end,0.5169901425
12_shenyu,shenyu-protocol,back end,0.51492793
12_shenyu,shenyu-protocol,test automation,0.51394413
12_shenyu,shenyu-protocol,client,0.513156
12_shenyu,shenyu-protocol,graphical user interface,0.503368005
12_shenyu,shenyu-protocol,HTTP client,0.5026831700000001
12_shenyu,shenyu-protocol,authentication,0.49921201499999995
12_shenyu,shenyu-protocol,internet bot,0.49711065249999997
12_shenyu,shenyu-protocol,web application,0.49489689750000004
12_shenyu,shenyu-protocol,application performance management,0.490326115
12_shenyu,shenyu-protocol,algorithm,0.48383657750000003
12_shenyu,shenyu-protocol,game server,0.48266550750000004
12_shenyu,shenyu-protocol,smart contract,0.480979125
12_shenyu,shenyu-protocol,data binding,0.47940529000000004
12_shenyu,shenyu-protocol,microservices,0.47543586000000004
12_shenyu,shenyu-protocol,search,0.47534801
12_shenyu,shenyu-protocol,knowledge graph,0.47516008
12_shenyu,shenyu-protocol,compiler,0.47457757
12_shenyu,shenyu-protocol,pattern matching,0.47295988499999997
12_shenyu,shenyu-protocol,password manager,0.472335365
12_shenyu,shenyu-protocol,Semantic Web,0.46749829499999995
12_shenyu,shenyu-protocol,regular expression,0.466772045
12_shenyu,shenyu-protocol,web service,0.46626158
12_shenyu,shenyu-protocol,security,0.46611630000000004
12_shenyu,shenyu-protocol,instant messaging,0.4648799575
12_shenyu,shenyu-protocol,information extraction,0.46485241499999996
12_shenyu,shenyu-protocol,unit testing,0.4625981324999999
12_shenyu,shenyu-protocol,web application security,0.4625149375
12_shenyu,shenyu-protocol,server,0.4599904325
12_shenyu,shenyu-protocol,stream processing,0.45985943500000004
12_shenyu,shenyu-protocol,logging,0.457432085
12_shenyu,shenyu-protocol,data,0.4560993925
12_shenyu,shenyu-protocol,natural language,0.45231969
12_shenyu,shenyu-protocol,File Transfer Protocol,0.4497244725
12_shenyu,shenyu-protocol,information processing,0.44959630500000003
12_shenyu,shenyu-protocol,analytics,0.449273655
12_shenyu,shenyu-protocol,language model,0.4485776125
12_shenyu,shenyu-protocol,backup,0.44818903000000004
12_shenyu,shenyu-protocol,database,0.4457034675
12_shenyu,shenyu-protocol,evolutionary algorithm,0.444527695
12_shenyu,shenyu-protocol,package management system,0.4437265075
12_shenyu,shenyu-protocol,distributed computing,0.4411570875
12_shenyu,shenyu-protocol,HTTP server,0.441123135
12_shenyu,shenyu-protocol,command-line interface,0.4400933675
12_shenyu,shenyu-protocol,object–relational mapping,0.43890740249999993
12_shenyu,shenyu-protocol,anomaly detection,0.43646275249999994
12_shenyu,shenyu-protocol,email,0.435744955
12_shenyu,shenyu-protocol,linear regression,0.43415690500000004
12_shenyu,shenyu-protocol,WebSocket,0.43348343500000003
12_shenyu,shenyu-protocol,internet of things,0.43311970749999995
12_shenyu,shenyu-protocol,support vector machine,0.4325262175
12_shenyu,shenyu-protocol,time series,0.4324931975
12_shenyu,shenyu-protocol,graph algorithm,0.43200481500000004
12_shenyu,shenyu-protocol,web server,0.43125874
12_shenyu,shenyu-protocol,serialization,0.4287261075
12_shenyu,shenyu-protocol,penetration test,0.42836158500000004
12_shenyu,shenyu-protocol,embedded system,0.42501772250000003
12_shenyu,shenyu-protocol,telecommunications network,0.42439233249999997
12_shenyu,shenyu-protocol,streaming media,0.42398156249999996
12_shenyu,shenyu-protocol,data compression,0.423871065
12_shenyu,shenyu-protocol,data structure,0.42342704000000003
12_shenyu,shenyu-protocol,blockchain,0.4160499475
12_shenyu,shenyu-protocol,computer data storage,0.41183441
12_shenyu,shenyu-protocol,encryption,0.40765531
12_shenyu,shenyu-protocol,deep learning,0.4046314425
12_shenyu,shenyu-protocol,sentiment analysis,0.3996403175
12_shenyu,shenyu-protocol,big data,0.39886024249999996
12_shenyu,shenyu-protocol,signal processing,0.3913848225
12_shenyu,shenyu-protocol,file system,0.3889386275
12_shenyu,shenyu-protocol,linear algebra,0.38136975250000005
12_shenyu,shenyu-protocol,object detection,0.378132365
12_shenyu,shenyu-protocol,audio signal processing,0.377219505
12_shenyu,shenyu-protocol,cloud computing,0.37562314500000005
12_shenyu,shenyu-protocol,bitcoin,0.36589863
