project_name,module,domain,sim_score
15_zeppelin,zeppelin-server,package management system,0.648385281111111
15_zeppelin,zeppelin-server,email,0.6236895244444445
15_zeppelin,zeppelin-server,graphical user interface,0.5608274766666665
15_zeppelin,zeppelin-server,static site generator,0.5545508888888888
15_zeppelin,zeppelin-server,continuous delivery,0.5526811877777777
15_zeppelin,zeppelin-server,client,0.5509673277777778
15_zeppelin,zeppelin-server,Web Components,0.5421155499999999
15_zeppelin,zeppelin-server,text editor,0.5414286777777778
15_zeppelin,zeppelin-server,DevOps,0.5374398877777778
15_zeppelin,zeppelin-server,Containerization,0.53353949
15_zeppelin,zeppelin-server,shell tool,0.5330101811111112
15_zeppelin,zeppelin-server,web browser engine,0.5325095477777777
15_zeppelin,zeppelin-server,web browser,0.5320330600000001
15_zeppelin,zeppelin-server,command-line interface,0.52917163
15_zeppelin,zeppelin-server,computer configuration,0.5239707522222222
15_zeppelin,zeppelin-server,operating system,0.520441051111111
15_zeppelin,zeppelin-server,user interface,0.5201203488888888
15_zeppelin,zeppelin-server,web application,0.5191563299999999
15_zeppelin,zeppelin-server,website,0.5174549844444445
15_zeppelin,zeppelin-server,software testing,0.5168549900000001
15_zeppelin,zeppelin-server,content management system,0.5149415033333333
15_zeppelin,zeppelin-server,continuous integration,0.5148223588888888
15_zeppelin,zeppelin-server,static program analysis,0.5128375500000001
15_zeppelin,zeppelin-server,syntax highlighting,0.5120993766666666
15_zeppelin,zeppelin-server,malware,0.5116794466666668
15_zeppelin,zeppelin-server,World Wide Web,0.5113105655555555
15_zeppelin,zeppelin-server,dependency injection,0.5093907933333333
15_zeppelin,zeppelin-server,test automation,0.5074306144444445
15_zeppelin,zeppelin-server,back end,0.5070318288888889
15_zeppelin,zeppelin-server,reactive programming,0.5066346988888889
15_zeppelin,zeppelin-server,smart contract,0.5058353955555556
15_zeppelin,zeppelin-server,instant messaging,0.5034586544444444
15_zeppelin,zeppelin-server,scheduler,0.5022476199999999
15_zeppelin,zeppelin-server,front end,0.4998901288888889
15_zeppelin,zeppelin-server,password manager,0.4990937444444444
15_zeppelin,zeppelin-server,HTTP client,0.49879234999999994
15_zeppelin,zeppelin-server,kernel,0.4985519244444444
15_zeppelin,zeppelin-server,File Transfer Protocol,0.49766944111111105
15_zeppelin,zeppelin-server,embedded system,0.4972937144444444
15_zeppelin,zeppelin-server,web crawler,0.4956104966666666
15_zeppelin,zeppelin-server,distributed computing,0.49396568333333335
15_zeppelin,zeppelin-server,image,0.4928158011111111
15_zeppelin,zeppelin-server,microservices,0.4926845911111111
15_zeppelin,zeppelin-server,validator,0.4920290333333333
15_zeppelin,zeppelin-server,web service,0.49186421888888887
15_zeppelin,zeppelin-server,automation,0.49022694888888885
15_zeppelin,zeppelin-server,text processing,0.4896709633333334
15_zeppelin,zeppelin-server,design,0.4889141111111111
15_zeppelin,zeppelin-server,internet bot,0.48755652111111103
15_zeppelin,zeppelin-server,data compression,0.48625830999999997
15_zeppelin,zeppelin-server,logging,0.48535076555555556
15_zeppelin,zeppelin-server,web server,0.48496286777777786
15_zeppelin,zeppelin-server,web scraping,0.48430511888888894
15_zeppelin,zeppelin-server,distributed system,0.48419222555555563
15_zeppelin,zeppelin-server,application performance management,0.4838381188888889
15_zeppelin,zeppelin-server,authentication,0.48336811999999996
15_zeppelin,zeppelin-server,middleware,0.4833653533333333
15_zeppelin,zeppelin-server,data,0.4831582022222222
15_zeppelin,zeppelin-server,language model,0.4823103355555556
15_zeppelin,zeppelin-server,file system,0.4820085244444445
15_zeppelin,zeppelin-server,computer data storage,0.4796878677777777
15_zeppelin,zeppelin-server,serialization,0.4791936866666667
15_zeppelin,zeppelin-server,information retrieval,0.47884230444444437
15_zeppelin,zeppelin-server,encryption,0.47770409222222227
15_zeppelin,zeppelin-server,recommender system,0.47558612888888896
15_zeppelin,zeppelin-server,security,0.47555712
15_zeppelin,zeppelin-server,mobile computing,0.47369691
15_zeppelin,zeppelin-server,game engine,0.4730278566666667
15_zeppelin,zeppelin-server,database,0.4728075477777777
15_zeppelin,zeppelin-server,graph database,0.47249277666666667
15_zeppelin,zeppelin-server,Malware Analysis,0.4721057777777778
15_zeppelin,zeppelin-server,unit testing,0.47093345333333336
15_zeppelin,zeppelin-server,penetration test,0.4701193033333333
15_zeppelin,zeppelin-server,streaming media,0.46830688888888894
15_zeppelin,zeppelin-server,pattern matching,0.46751539888888893
15_zeppelin,zeppelin-server,cloud computing,0.4667328222222221
15_zeppelin,zeppelin-server,search,0.4655365566666667
15_zeppelin,zeppelin-server,server,0.46386860999999996
15_zeppelin,zeppelin-server,algorithm,0.4630463133333333
15_zeppelin,zeppelin-server,data binding,0.4620044111111112
15_zeppelin,zeppelin-server,cryptography,0.4615936755555556
15_zeppelin,zeppelin-server,web application security,0.4608630522222222
15_zeppelin,zeppelin-server,interpreter,0.45924938555555556
15_zeppelin,zeppelin-server,chatbot,0.45868155000000005
15_zeppelin,zeppelin-server,text mining,0.45753533666666674
15_zeppelin,zeppelin-server,blockchain,0.45720173666666664
15_zeppelin,zeppelin-server,analytics,0.4554865688888889
15_zeppelin,zeppelin-server,game server,0.45527807777777773
15_zeppelin,zeppelin-server,translation,0.4552382388888889
15_zeppelin,zeppelin-server,information processing,0.45377947333333335
15_zeppelin,zeppelin-server,electronic trading platform,0.4537095966666666
15_zeppelin,zeppelin-server,WebSocket,0.45353977888888886
15_zeppelin,zeppelin-server,data analysis,0.4515157544444445
15_zeppelin,zeppelin-server,artificial intelligence,0.4512286288888888
15_zeppelin,zeppelin-server,linear regression,0.45054884
15_zeppelin,zeppelin-server,stream processing,0.44896910888888886
15_zeppelin,zeppelin-server,optical character recognition,0.4485646544444444
15_zeppelin,zeppelin-server,object–relational mapping,0.44804610555555563
15_zeppelin,zeppelin-server,data visualization,0.4472649477777778
15_zeppelin,zeppelin-server,benchmark,0.4454383277777778
15_zeppelin,zeppelin-server,HTTP server,0.44417428777777773
15_zeppelin,zeppelin-server,geographic information system,0.4428850555555555
15_zeppelin,zeppelin-server,distributed database,0.4411327711111111
15_zeppelin,zeppelin-server,internet of things,0.44089913
15_zeppelin,zeppelin-server,network security,0.44042761333333336
15_zeppelin,zeppelin-server,machine learning,0.4397912766666667
15_zeppelin,zeppelin-server,question answering,0.4391528433333333
15_zeppelin,zeppelin-server,plot,0.43905878444444446
15_zeppelin,zeppelin-server,distributed multimedia communications platform,0.4389136044444444
15_zeppelin,zeppelin-server,image captioning,0.4382504266666667
15_zeppelin,zeppelin-server,lexical analysis,0.43610313888888885
15_zeppelin,zeppelin-server,word embedding,0.4350098566666667
15_zeppelin,zeppelin-server,data structure,0.43026891
15_zeppelin,zeppelin-server,digital security,0.4284836444444444
15_zeppelin,zeppelin-server,support vector machine,0.4242853311111111
15_zeppelin,zeppelin-server,digital image processing,0.42420769222222215
15_zeppelin,zeppelin-server,data science,0.4176652633333333
15_zeppelin,zeppelin-server,big data,0.4173263588888889
15_zeppelin,zeppelin-server,digital audio,0.41715857444444443
15_zeppelin,zeppelin-server,text classification,0.4147889022222222
15_zeppelin,zeppelin-server,sorting algorithm,0.41265228000000004
15_zeppelin,zeppelin-server,telecommunications network,0.4088102133333334
15_zeppelin,zeppelin-server,signal processing,0.4066558166666666
15_zeppelin,zeppelin-server,cryptocurrency,0.40435573
15_zeppelin,zeppelin-server,regular expression,0.4004868711111111
15_zeppelin,zeppelin-server,anomaly detection,0.3945445511111111
15_zeppelin,zeppelin-server,object detection,0.3913641133333333
15_zeppelin,zeppelin-server,artificial neural network,0.3878970811111111
15_zeppelin,zeppelin-server,Kalman filter,0.3859987277777778
15_zeppelin,zeppelin-server,time series,0.38166677
15_zeppelin,zeppelin-server,convolutional neural network,0.3691933122222222
15_zeppelin,zeppelin-server,banking industry,0.3607457077777778
