project_name,module,domain,sim_score
01_dubbo,dubbo-compatible,WebSocket,0.7498899746989284
01_dubbo,dubbo-compatible,web application,0.7488135964628931
01_dubbo,dubbo-compatible,user interface,0.7471581944735988
01_dubbo,dubbo-compatible,debugging,0.745690704938533
01_dubbo,dubbo-compatible,web service,0.7453334154324113
01_dubbo,dubbo-compatible,middleware,0.743773294527074
01_dubbo,dubbo-compatible,routing,0.7422400242035359
01_dubbo,dubbo-compatible,HTTP server,0.7422044503169843
01_dubbo,dubbo-compatible,HTTP client,0.7411497399637916
01_dubbo,dubbo-compatible,web server,0.7410988061370123
01_dubbo,dubbo-compatible,web application security,0.7398456575315977
01_dubbo,dubbo-compatible,web crawler,0.7391046376151776
01_dubbo,dubbo-compatible,router,0.7390408214832359
01_dubbo,dubbo-compatible,data binding,0.7390035212252695
01_dubbo,dubbo-compatible,client,0.7383622611456484
01_dubbo,dubbo-compatible,server,0.7372546048928609
01_dubbo,dubbo-compatible,unit testing,0.7366938538278478
01_dubbo,dubbo-compatible,interpreter,0.7360590572085446
01_dubbo,dubbo-compatible,website,0.735934665721729
01_dubbo,dubbo-compatible,File Transfer Protocol,0.7348166684254127
01_dubbo,dubbo-compatible,pattern matching,0.7326791673028457
01_dubbo,dubbo-compatible,backup,0.7325644929770526
01_dubbo,dubbo-compatible,network monitoring,0.7324921583862989
01_dubbo,dubbo-compatible,scheduler,0.7321382236876703
01_dubbo,dubbo-compatible,validator,0.7320737714895009
01_dubbo,dubbo-compatible,command-line interface,0.7320274768919296
01_dubbo,dubbo-compatible,web browser,0.7320120599549538
01_dubbo,dubbo-compatible,dependency injection,0.7308553893909951
01_dubbo,dubbo-compatible,serialization,0.7307532691669165
01_dubbo,dubbo-compatible,internet bot,0.7298047623226298
01_dubbo,dubbo-compatible,compiler,0.7296309468312936
01_dubbo,dubbo-compatible,information retrieval,0.7296294526622533
01_dubbo,dubbo-compatible,image,0.72902482362874
01_dubbo,dubbo-compatible,Web Components,0.7277019312758095
01_dubbo,dubbo-compatible,mobile application development,0.7270364791253306
01_dubbo,dubbo-compatible,microservices,0.7262774607124183
01_dubbo,dubbo-compatible,instant messaging,0.7257314933080963
01_dubbo,dubbo-compatible,test automation,0.7254791776972492
01_dubbo,dubbo-compatible,synchronization,0.7253584296919642
01_dubbo,dubbo-compatible,distributed multimedia communications platform,0.7252171461648449
01_dubbo,dubbo-compatible,authentication,0.7250026602340938
01_dubbo,dubbo-compatible,code generation,0.7247635987399724
01_dubbo,dubbo-compatible,web browser engine,0.723235573266364
01_dubbo,dubbo-compatible,benchmark,0.7229155577609809
01_dubbo,dubbo-compatible,reactive programming,0.7229002679130833
01_dubbo,dubbo-compatible,"extract, transform, load",0.7220944369405771
01_dubbo,dubbo-compatible,front end,0.7219855983179778
01_dubbo,dubbo-compatible,data,0.7213964286381991
01_dubbo,dubbo-compatible,automation,0.7207983381401447
01_dubbo,dubbo-compatible,software testing,0.7203432187533139
01_dubbo,dubbo-compatible,database,0.7202184414819133
01_dubbo,dubbo-compatible,data structure,0.7199927679532719
01_dubbo,dubbo-compatible,internet of things,0.719918212759137
01_dubbo,dubbo-compatible,computer configuration,0.7198583626719917
01_dubbo,dubbo-compatible,stream processing,0.7197653153331003
01_dubbo,dubbo-compatible,distributed system,0.7195205936870748
01_dubbo,dubbo-compatible,algorithm,0.7189837387802276
01_dubbo,dubbo-compatible,graphical user interface,0.7189413634440651
01_dubbo,dubbo-compatible,security,0.7188285593576166
01_dubbo,dubbo-compatible,encryption,0.7188280419942683
01_dubbo,dubbo-compatible,business dashboard,0.7185702942071879
