project_name,module,domain,sim_score
04_rocketmq,tools,WebSocket,0.7540226322281188
04_rocketmq,tools,command-line interface,0.7532196948045029
04_rocketmq,tools,user interface,0.7531427694134071
04_rocketmq,tools,test automation,0.7493849674111588
04_rocketmq,tools,unit testing,0.7491912506235685
04_rocketmq,tools,instant messaging,0.748660833660733
04_rocketmq,tools,server,0.7470581496437245
04_rocketmq,tools,internet bot,0.7464331657694963
04_rocketmq,tools,email,0.7462422231899973
04_rocketmq,tools,analytics,0.7459721720715548
04_rocketmq,tools,client,0.7450987721570681
04_rocketmq,tools,chatbot,0.7445619694534493
04_rocketmq,tools,backup,0.742216542886779
04_rocketmq,tools,automation,0.7412843654841237
04_rocketmq,tools,database,0.7390513555048657
04_rocketmq,tools,distributed system,0.7388821185824098
04_rocketmq,tools,image,0.7379682554899798
04_rocketmq,tools,middleware,0.7378949935042888
04_rocketmq,tools,data,0.7373965239076448
04_rocketmq,tools,computer configuration,0.7369381375398628
04_rocketmq,tools,web server,0.7364810073685876
04_rocketmq,tools,scheduler,0.7363277778781365
04_rocketmq,tools,router,0.7361228564219418
04_rocketmq,tools,pattern matching,0.736009559581796
04_rocketmq,tools,search,0.7360022270411815
04_rocketmq,tools,text processing,0.7356183971246594
04_rocketmq,tools,data structure,0.7351403058951689
04_rocketmq,tools,website,0.734413654376335
04_rocketmq,tools,data mining,0.7343922196497805
04_rocketmq,tools,package management system,0.7329192764638063
04_rocketmq,tools,game server,0.7328194589132074
04_rocketmq,tools,code generation,0.7318450797048284
04_rocketmq,tools,logging,0.7318410032204272
04_rocketmq,tools,stream processing,0.7317798003009625
04_rocketmq,tools,web service,0.7315104466421054
04_rocketmq,tools,data visualization,0.7306586252414768
04_rocketmq,tools,data analysis,0.7305383781476311
04_rocketmq,tools,data compression,0.7304567554195887
04_rocketmq,tools,knowledge graph,0.730001095501025
04_rocketmq,tools,information extraction,0.729250283062642
04_rocketmq,tools,software testing,0.7290662324685274
04_rocketmq,tools,static program analysis tool,0.7287141095946289
04_rocketmq,tools,translation,0.7286039168347797
04_rocketmq,tools,HTTP client,0.728122929522919
04_rocketmq,tools,serialization,0.7279073723985029
04_rocketmq,tools,algorithm,0.7278826126905816
04_rocketmq,tools,big data,0.7277273867265406
04_rocketmq,tools,application performance management,0.7274637453924111
04_rocketmq,tools,HTTP server,0.7272689793904041
04_rocketmq,tools,shell tool,0.7271780708614088
04_rocketmq,tools,graphical user interface,0.7269298593266568
04_rocketmq,tools,microservices,0.7267954835539379
04_rocketmq,tools,text classification,0.7266866751005122
04_rocketmq,tools,distributed computing,0.7257801285835532
04_rocketmq,tools,signal processing,0.7252983392887824
04_rocketmq,tools,file system,0.7252720179753741
04_rocketmq,tools,sentiment analysis,0.7249040052372069
04_rocketmq,tools,language model,0.724671966221534
04_rocketmq,tools,machine learning,0.7245424377337324
04_rocketmq,tools,data binding,0.7242998694058131
04_rocketmq,tools,content management system,0.7228884934154803
04_rocketmq,tools,blockchain,0.7228805912450024
04_rocketmq,tools,web application,0.722628102076126
04_rocketmq,tools,distributed database,0.7225750522201564
04_rocketmq,tools,dependency injection,0.7222526948882606
04_rocketmq,tools,back end,0.7222422628279899
04_rocketmq,tools,File Transfer Protocol,0.7216577346457816
04_rocketmq,tools,operating system,0.7215932944354723
04_rocketmq,tools,security,0.7212793237163333
04_rocketmq,tools,graph database,0.720614864806689
04_rocketmq,tools,recommender system,0.7204941137187052
04_rocketmq,tools,streaming media,0.7198599285684547
04_rocketmq,tools,information processing,0.7193095508026377
04_rocketmq,tools,telecommunications network,0.7177756926563594
04_rocketmq,tools,encryption,0.7171206514932772
04_rocketmq,tools,stock market,0.7171087594446394
04_rocketmq,tools,static program analysis,0.716992647000785
04_rocketmq,tools,smart contract,0.7163165374497289
04_rocketmq,tools,password manager,0.7157995170711421
04_rocketmq,tools,computer data storage,0.7153936169616775
04_rocketmq,tools,regular expression,0.7152168481393303
04_rocketmq,tools,sorting algorithm,0.714795411227971
04_rocketmq,tools,audio signal processing,0.7146071225292032
04_rocketmq,tools,Web Components,0.7141869973481294
04_rocketmq,tools,design,0.7135893392723416
04_rocketmq,tools,penetration test,0.7126446825461644
04_rocketmq,tools,data science,0.7122492926668009
04_rocketmq,tools,game engine,0.7110998265779238
04_rocketmq,tools,support vector machine,0.7110230383083139
04_rocketmq,tools,embedded system,0.7106205386238587
04_rocketmq,tools,object detection,0.7096289846989826
04_rocketmq,tools,static site generator,0.7089019335560802
04_rocketmq,tools,object–relational mapping,0.7082709799656581
04_rocketmq,tools,linear regression,0.7077263063089485
04_rocketmq,tools,web application security,0.7076735156545478
04_rocketmq,tools,word embedding,0.7068349769654689
04_rocketmq,tools,Semantic Web,0.7066279659499928
04_rocketmq,tools,web development,0.704868299350196
04_rocketmq,tools,convolutional neural network,0.7038301461584676
04_rocketmq,tools,artificial neural network,0.7029623442508542
04_rocketmq,tools,optical character recognition,0.7011746923633274
04_rocketmq,tools,World Wide Web,0.6971071102430112
04_rocketmq,tools,geographic information system,0.6958614762755446
04_rocketmq,tools,digital audio,0.6935948670320681
04_rocketmq,tools,digital image processing,0.6927055382486695
04_rocketmq,tools,digital security,0.6852969823963546
