project_name,module,domain,sim_score
05_shardingsphere,mode,schema migration,0.7782918357013588
05_shardingsphere,mode,database management,0.7684330948910274
05_shardingsphere,mode,database,0.7671931308086296
05_shardingsphere,mode,distributed database,0.7623738483610178
05_shardingsphere,mode,data structure,0.7508772825259599
05_shardingsphere,mode,object–relational mapping,0.7475411635043254
05_shardingsphere,mode,distributed system,0.7470992677477448
05_shardingsphere,mode,graph database,0.7449927492897421
05_shardingsphere,mode,server,0.7427132919882695
05_shardingsphere,mode,user interface,0.7402564489448061
05_shardingsphere,mode,computer data storage,0.7399086324962204
05_shardingsphere,mode,data visualization,0.7397466823027319
05_shardingsphere,mode,data binding,0.7391027735542774
05_shardingsphere,mode,file system,0.7387191252961609
05_shardingsphere,mode,dependency injection,0.7376854729189215
05_shardingsphere,mode,continuous deployment,0.7372971918116134
05_shardingsphere,mode,Containerization,0.7372854724837494
05_shardingsphere,mode,data,0.736937582064829
05_shardingsphere,mode,microservices,0.7368613009068208
05_shardingsphere,mode,debugging,0.7362874560978592
05_shardingsphere,mode,"extract, transform, load",0.7361987260732166
05_shardingsphere,mode,web service,0.734459928460232
05_shardingsphere,mode,synchronization,0.7341878057020644
05_shardingsphere,mode,client,0.7338805255960005
05_shardingsphere,mode,code generation,0.732314382262178
05_shardingsphere,mode,cloud computing,0.7320253999402894
05_shardingsphere,mode,web server,0.7314171403958719
05_shardingsphere,mode,analytics,0.7311880692123811
05_shardingsphere,mode,kernel,0.7307748954753857
05_shardingsphere,mode,unit testing,0.7307602179552039
05_shardingsphere,mode,big data,0.7304617573446949
05_shardingsphere,mode,content management system,0.7302865525003509
05_shardingsphere,mode,game server,0.7301781214060469
05_shardingsphere,mode,software design pattern,0.7295521119661732
05_shardingsphere,mode,distributed computing,0.7294217291789827
05_shardingsphere,mode,computer configuration,0.7292946480990157
05_shardingsphere,mode,package management system,0.728885038177043
05_shardingsphere,mode,password manager,0.7286659315969863
05_shardingsphere,mode,command-line interface,0.7260297656866567
05_shardingsphere,mode,web application,0.7256675061160797
05_shardingsphere,mode,website,0.724245181970449
05_shardingsphere,mode,software testing,0.7234171869819606
05_shardingsphere,mode,software development,0.7227791449781626
05_shardingsphere,mode,data compression,0.7225211960553366
05_shardingsphere,mode,blockchain,0.7223095738001452
05_shardingsphere,mode,encryption,0.7216689513893965
05_shardingsphere,mode,application performance management,0.7207345874804655
05_shardingsphere,mode,smart contract,0.7201271611152691
05_shardingsphere,mode,compiler,0.7198303192703727
05_shardingsphere,mode,test automation,0.7196453946885295
05_shardingsphere,mode,graphical user interface,0.7195636398537066
05_shardingsphere,mode,static site generator,0.7195200710978883
05_shardingsphere,mode,stream processing,0.7193096330465016
05_shardingsphere,mode,deep neural network,0.7190702756009051
05_shardingsphere,mode,embedded system,0.7188654662768483
05_shardingsphere,mode,language model,0.7187116487981093
05_shardingsphere,mode,security,0.7185193038687824
05_shardingsphere,mode,validator,0.7184727998309138
05_shardingsphere,mode,network security,0.7184114192537361
05_shardingsphere,mode,data analysis,0.7184007074695
05_shardingsphere,mode,automation,0.7183542546503467
05_shardingsphere,mode,pattern matching,0.717754063837711
05_shardingsphere,mode,HTTP server,0.716976192129112
05_shardingsphere,mode,translation,0.7167836794414656
05_shardingsphere,mode,benchmark,0.7159056473633827
05_shardingsphere,mode,continuous integration,0.7154973765416357
05_shardingsphere,mode,machine learning,0.7154934262192176
05_shardingsphere,mode,information processing,0.7150729930854953
05_shardingsphere,mode,Web Components,0.7149187498500256
05_shardingsphere,mode,automated machine learning,0.7148964720607279
05_shardingsphere,mode,web application security,0.7148726253799141
05_shardingsphere,mode,back end,0.7148274829366764
05_shardingsphere,mode,deep learning,0.7148047284915463
05_shardingsphere,mode,hyperparameter optimization,0.7135494224816197
05_shardingsphere,mode,geographic information system,0.7134343708564517
05_shardingsphere,mode,game,0.7133446279705267
