project_name,module,domain,sim_score
05_shardingsphere,sql-parser,schema migration,0.7560880974559167
05_shardingsphere,sql-parser,database,0.7408443657734359
05_shardingsphere,sql-parser,graph database,0.739216001267504
05_shardingsphere,sql-parser,database management,0.7374269214648288
05_shardingsphere,sql-parser,syntax highlighting,0.7327738695178216
05_shardingsphere,sql-parser,data structure,0.7304374876432852
05_shardingsphere,sql-parser,object–relational mapping,0.7283706672735855
05_shardingsphere,sql-parser,code generation,0.725682475137426
05_shardingsphere,sql-parser,data visualization,0.7248695473623853
05_shardingsphere,sql-parser,static program analysis tool,0.723691619356534
05_shardingsphere,sql-parser,data binding,0.7236310437083727
05_shardingsphere,sql-parser,interpreter,0.7229669832896433
05_shardingsphere,sql-parser,static program analysis,0.7220920961978868
05_shardingsphere,sql-parser,graph algorithm,0.7206278441163996
05_shardingsphere,sql-parser,Parser combinator,0.717630651254586
05_shardingsphere,sql-parser,user interface,0.7175571733700781
05_shardingsphere,sql-parser,simulation,0.71733675700706
05_shardingsphere,sql-parser,distributed database,0.717238426311611
05_shardingsphere,sql-parser,pattern matching,0.717117574710134
05_shardingsphere,sql-parser,parsing,0.7168755728206004
05_shardingsphere,sql-parser,translation,0.7162565544782824
05_shardingsphere,sql-parser,data,0.7162123577617474
05_shardingsphere,sql-parser,data analysis,0.7161586560824185
05_shardingsphere,sql-parser,search,0.7156390337162907
05_shardingsphere,sql-parser,regular expression,0.7154720908367421
05_shardingsphere,sql-parser,server,0.7151011434043734
05_shardingsphere,sql-parser,compiler,0.7142805943465648
05_shardingsphere,sql-parser,dependency injection,0.713878608820489
05_shardingsphere,sql-parser,data mining,0.7134777224253475
05_shardingsphere,sql-parser,unit testing,0.7132314228083553
05_shardingsphere,sql-parser,image,0.7132073378934496
05_shardingsphere,sql-parser,backup,0.7131997448762498
05_shardingsphere,sql-parser,data science,0.7130022871408301
05_shardingsphere,sql-parser,shell tool,0.7128259467350884
05_shardingsphere,sql-parser,middleware,0.7123889084602694
05_shardingsphere,sql-parser,graphical user interface,0.7119654504411856
05_shardingsphere,sql-parser,client,0.7116539024274944
05_shardingsphere,sql-parser,website,0.7108183530741684
05_shardingsphere,sql-parser,geometry,0.7105038910353647
05_shardingsphere,sql-parser,validator,0.7103018704701078
05_shardingsphere,sql-parser,test automation,0.7090957196474432
05_shardingsphere,sql-parser,serialization,0.7090261362419888
05_shardingsphere,sql-parser,analytics,0.7083982588096238
05_shardingsphere,sql-parser,Semantic Web,0.7079328176878772
05_shardingsphere,sql-parser,lexical analysis,0.7078518358724917
05_shardingsphere,sql-parser,distributed system,0.7074280389796574
05_shardingsphere,sql-parser,web crawler,0.7071711521666819
05_shardingsphere,sql-parser,time series,0.7070769317376056
05_shardingsphere,sql-parser,regression analysis,0.7067779172791512
05_shardingsphere,sql-parser,algorithm,0.70650913995753
05_shardingsphere,sql-parser,language model,0.7052430630168142
05_shardingsphere,sql-parser,software testing,0.7050908234925626
05_shardingsphere,sql-parser,benchmark,0.7048974566756259
05_shardingsphere,sql-parser,sorting algorithm,0.7035464948558912
05_shardingsphere,sql-parser,cluster analysis,0.703076052335742
05_shardingsphere,sql-parser,web server,0.7028263186334959
05_shardingsphere,sql-parser,search engine,0.7028118723993986
05_shardingsphere,sql-parser,design,0.7023909766455705
05_shardingsphere,sql-parser,static site generator,0.7022925725386457
05_shardingsphere,sql-parser,command-line interface,0.7017336849883188
05_shardingsphere,sql-parser,web scraping,0.7015124484498059
05_shardingsphere,sql-parser,big data,0.7003971368506728
05_shardingsphere,sql-parser,computer data storage,0.6996112470648911
05_shardingsphere,sql-parser,file system,0.6993940081982236
05_shardingsphere,sql-parser,smart contract,0.6980765366979961
05_shardingsphere,sql-parser,web application,0.6975990868853401
05_shardingsphere,sql-parser,text editor,0.6969777173898177
05_shardingsphere,sql-parser,front end,0.696910170587193
05_shardingsphere,sql-parser,speech synthesis,0.6968144195868491
05_shardingsphere,sql-parser,random forest,0.6967503616807463
05_shardingsphere,sql-parser,text processing,0.6966078017985571
05_shardingsphere,sql-parser,web service,0.6963462896214843
05_shardingsphere,sql-parser,data compression,0.6958625691515562
05_shardingsphere,sql-parser,natural language processing,0.6939856016017519
05_shardingsphere,sql-parser,text classification,0.6934543764290365
05_shardingsphere,sql-parser,natural language,0.693029653758553
05_shardingsphere,sql-parser,logging,0.692946609048022
05_shardingsphere,sql-parser,named-entity recognition,0.6926637574491986
05_shardingsphere,sql-parser,back end,0.692203471429543
05_shardingsphere,sql-parser,HTTP server,0.6921463886095047
05_shardingsphere,sql-parser,machine learning,0.6921442335936931
05_shardingsphere,sql-parser,embedded system,0.6918356789752441
05_shardingsphere,sql-parser,content management system,0.6917830432508386
05_shardingsphere,sql-parser,object detection,0.6913292257576142
05_shardingsphere,sql-parser,information processing,0.691123529124689
05_shardingsphere,sql-parser,penetration test,0.6909767986835335
05_shardingsphere,sql-parser,word embedding,0.6907842681205091
05_shardingsphere,sql-parser,computer science,0.6900630878066742
05_shardingsphere,sql-parser,streaming media,0.6895200660259411
