project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-common,user interface,0.7511289523452421
10_dolphinscheduler,dolphinscheduler-common,web server,0.7478451297886218
10_dolphinscheduler,dolphinscheduler-common,network monitoring,0.7462221437795467
10_dolphinscheduler,dolphinscheduler-common,server,0.7459582024805688
10_dolphinscheduler,dolphinscheduler-common,HTTP client,0.7457109274670952
10_dolphinscheduler,dolphinscheduler-common,web crawler,0.7449805373240388
10_dolphinscheduler,dolphinscheduler-common,database,0.7438743467707598
10_dolphinscheduler,dolphinscheduler-common,client,0.7437988288613955
10_dolphinscheduler,dolphinscheduler-common,middleware,0.7428843824753458
10_dolphinscheduler,dolphinscheduler-common,data structure,0.7425298460999151
10_dolphinscheduler,dolphinscheduler-common,HTTP server,0.7418091120102676
10_dolphinscheduler,dolphinscheduler-common,WebSocket,0.741569574624258
10_dolphinscheduler,dolphinscheduler-common,command-line interface,0.7411448400820875
10_dolphinscheduler,dolphinscheduler-common,data,0.7407677258186555
10_dolphinscheduler,dolphinscheduler-common,unit testing,0.7405276815568174
10_dolphinscheduler,dolphinscheduler-common,web service,0.7391706926788952
10_dolphinscheduler,dolphinscheduler-common,website,0.7390422250927376
10_dolphinscheduler,dolphinscheduler-common,business dashboard,0.7390186624007216
10_dolphinscheduler,dolphinscheduler-common,computer configuration,0.7383884023230917
10_dolphinscheduler,dolphinscheduler-common,web application,0.738277914625796
10_dolphinscheduler,dolphinscheduler-common,file system,0.7374755797856538
10_dolphinscheduler,dolphinscheduler-common,web application security,0.7373780460494849
10_dolphinscheduler,dolphinscheduler-common,test automation,0.7372821450202438
10_dolphinscheduler,dolphinscheduler-common,scheduler,0.7368323188158568
10_dolphinscheduler,dolphinscheduler-common,internet bot,0.7352472551077343
10_dolphinscheduler,dolphinscheduler-common,email,0.7351092958841472
10_dolphinscheduler,dolphinscheduler-common,network security,0.734913996720789
10_dolphinscheduler,dolphinscheduler-common,code generation,0.7343720521475547
10_dolphinscheduler,dolphinscheduler-common,backup,0.7340372025265933
10_dolphinscheduler,dolphinscheduler-common,distributed system,0.7334543921656657
10_dolphinscheduler,dolphinscheduler-common,pattern matching,0.7331678907652759
10_dolphinscheduler,dolphinscheduler-common,password manager,0.7330790165738589
10_dolphinscheduler,dolphinscheduler-common,data visualization,0.7327796641921882
10_dolphinscheduler,dolphinscheduler-common,"extract, transform, load",0.7319917078380641
10_dolphinscheduler,dolphinscheduler-common,data binding,0.7318080674178873
10_dolphinscheduler,dolphinscheduler-common,database management,0.7317947563596916
10_dolphinscheduler,dolphinscheduler-common,algorithm,0.7314828630413434
10_dolphinscheduler,dolphinscheduler-common,validator,0.7306665207507754
10_dolphinscheduler,dolphinscheduler-common,encryption,0.7303838740664286
10_dolphinscheduler,dolphinscheduler-common,web scraping,0.7298747439297343
10_dolphinscheduler,dolphinscheduler-common,search,0.7298254102108331
10_dolphinscheduler,dolphinscheduler-common,software testing,0.729691212263753
10_dolphinscheduler,dolphinscheduler-common,benchmark,0.7293122640926848
10_dolphinscheduler,dolphinscheduler-common,network analysis,0.7287775716261927
10_dolphinscheduler,dolphinscheduler-common,software design pattern,0.7285667936294641
10_dolphinscheduler,dolphinscheduler-common,interpreter,0.7285353661958118
10_dolphinscheduler,dolphinscheduler-common,graphical user interface,0.7278768900191925
10_dolphinscheduler,dolphinscheduler-common,long short-term memory,0.7278701165777043
10_dolphinscheduler,dolphinscheduler-common,web development,0.7278407415690109
10_dolphinscheduler,dolphinscheduler-common,knowledge graph,0.7276528443813437
10_dolphinscheduler,dolphinscheduler-common,automation,0.7275370439949118
10_dolphinscheduler,dolphinscheduler-common,authentication,0.7274542760350289
10_dolphinscheduler,dolphinscheduler-common,operating system,0.7271177445107904
10_dolphinscheduler,dolphinscheduler-common,security,0.7268961771669349
10_dolphinscheduler,dolphinscheduler-common,graph,0.7266677512834652
10_dolphinscheduler,dolphinscheduler-common,hyperparameter optimization,0.7264958474879566
10_dolphinscheduler,dolphinscheduler-common,File Transfer Protocol,0.7261598234511746
10_dolphinscheduler,dolphinscheduler-common,compiler,0.7259640958798865
10_dolphinscheduler,dolphinscheduler-common,internet of things,0.725871807845762
10_dolphinscheduler,dolphinscheduler-common,synchronization,0.7257459967363139
10_dolphinscheduler,dolphinscheduler-common,analytics,0.7254669505905201
10_dolphinscheduler,dolphinscheduler-common,computer data storage,0.7252590246430113
10_dolphinscheduler,dolphinscheduler-common,front end,0.7252301522102316
10_dolphinscheduler,dolphinscheduler-common,data compression,0.7251628164508588
10_dolphinscheduler,dolphinscheduler-common,regular expression,0.7250397835282631
10_dolphinscheduler,dolphinscheduler-common,data mining,0.7246735904541854
10_dolphinscheduler,dolphinscheduler-common,statistics,0.7246323238102244
10_dolphinscheduler,dolphinscheduler-common,back end,0.7242808189657892
