project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-master,scheduler,0.749743226761773
10_dolphinscheduler,dolphinscheduler-master,stream processing,0.7430676276825707
10_dolphinscheduler,dolphinscheduler-master,server,0.7429935680930991
10_dolphinscheduler,dolphinscheduler-master,application performance management,0.741285578503341
10_dolphinscheduler,dolphinscheduler-master,user interface,0.7412427529963785
10_dolphinscheduler,dolphinscheduler-master,unit testing,0.7400412295528604
10_dolphinscheduler,dolphinscheduler-master,distributed system,0.7398602821653198
10_dolphinscheduler,dolphinscheduler-master,test automation,0.7381488252573556
10_dolphinscheduler,dolphinscheduler-master,network monitoring,0.7379978953629427
10_dolphinscheduler,dolphinscheduler-master,client,0.7370304500160746
10_dolphinscheduler,dolphinscheduler-master,dependency injection,0.7349459086366855
10_dolphinscheduler,dolphinscheduler-master,microservices,0.734245616067202
10_dolphinscheduler,dolphinscheduler-master,data structure,0.7339207564406217
10_dolphinscheduler,dolphinscheduler-master,database,0.7333346606865038
10_dolphinscheduler,dolphinscheduler-master,distributed computing,0.7332770266113282
10_dolphinscheduler,dolphinscheduler-master,benchmark,0.7326033329368717
10_dolphinscheduler,dolphinscheduler-master,information processing,0.7325747347362399
10_dolphinscheduler,dolphinscheduler-master,analytics,0.732513362637035
10_dolphinscheduler,dolphinscheduler-master,code generation,0.7322032056352514
10_dolphinscheduler,dolphinscheduler-master,backup,0.7315737489294999
10_dolphinscheduler,dolphinscheduler-master,machine learning,0.7315139058765927
10_dolphinscheduler,dolphinscheduler-master,signal processing,0.7295694668098434
10_dolphinscheduler,dolphinscheduler-master,web service,0.7295173945677655
10_dolphinscheduler,dolphinscheduler-master,web server,0.7291254003318485
10_dolphinscheduler,dolphinscheduler-master,internet bot,0.728922805970311
10_dolphinscheduler,dolphinscheduler-master,interpreter,0.7284412528715705
10_dolphinscheduler,dolphinscheduler-master,command-line interface,0.7283433988395756
10_dolphinscheduler,dolphinscheduler-master,virtual machine,0.7281270088260073
10_dolphinscheduler,dolphinscheduler-master,software testing,0.7274644203150863
10_dolphinscheduler,dolphinscheduler-master,automation,0.7272197777736654
10_dolphinscheduler,dolphinscheduler-master,computer configuration,0.7271754346098417
10_dolphinscheduler,dolphinscheduler-master,data,0.7268237676109636
10_dolphinscheduler,dolphinscheduler-master,game server,0.726761671565286
10_dolphinscheduler,dolphinscheduler-master,automated machine learning,0.725694291731573
10_dolphinscheduler,dolphinscheduler-master,hyperparameter optimization,0.7252928009605811
10_dolphinscheduler,dolphinscheduler-master,HTTP client,0.7252807218758108
10_dolphinscheduler,dolphinscheduler-master,pattern matching,0.7250442777739224
10_dolphinscheduler,dolphinscheduler-master,database management,0.7250127721909845
10_dolphinscheduler,dolphinscheduler-master,static program analysis tool,0.7238387772703189
10_dolphinscheduler,dolphinscheduler-master,statistics,0.7230123499536648
10_dolphinscheduler,dolphinscheduler-master,file system,0.7226921946942366
10_dolphinscheduler,dolphinscheduler-master,shell tool,0.7226740371588165
10_dolphinscheduler,dolphinscheduler-master,text processing,0.7223190917947871
10_dolphinscheduler,dolphinscheduler-master,package management system,0.7221144608730766
10_dolphinscheduler,dolphinscheduler-master,HTTP server,0.7220920120279224
10_dolphinscheduler,dolphinscheduler-master,continuous integration,0.7216109671931684
10_dolphinscheduler,dolphinscheduler-master,data binding,0.7215748961664202
10_dolphinscheduler,dolphinscheduler-master,instant messaging,0.7211281544670938
10_dolphinscheduler,dolphinscheduler-master,web application,0.7211244628604074
10_dolphinscheduler,dolphinscheduler-master,data compression,0.7207062883725348
10_dolphinscheduler,dolphinscheduler-master,recommender system,0.7203160994212021
10_dolphinscheduler,dolphinscheduler-master,data analysis,0.7201310866836509
10_dolphinscheduler,dolphinscheduler-master,email,0.7199585159836526
10_dolphinscheduler,dolphinscheduler-master,website,0.719711303696909
10_dolphinscheduler,dolphinscheduler-master,operating system,0.7197030161680691
10_dolphinscheduler,dolphinscheduler-master,static program analysis,0.7195822163955141
10_dolphinscheduler,dolphinscheduler-master,validator,0.7194590150788618
10_dolphinscheduler,dolphinscheduler-master,web scraping,0.7191795605427517
10_dolphinscheduler,dolphinscheduler-master,distributed database,0.7191581412120596
10_dolphinscheduler,dolphinscheduler-master,search,0.7183488003024455
10_dolphinscheduler,dolphinscheduler-master,long short-term memory,0.7180819965368086
10_dolphinscheduler,dolphinscheduler-master,big data,0.7180575869609124
10_dolphinscheduler,dolphinscheduler-master,smart contract,0.7177303226855447
10_dolphinscheduler,dolphinscheduler-master,search engine,0.7174936401543556
10_dolphinscheduler,dolphinscheduler-master,cloud computing,0.7172007881097184
10_dolphinscheduler,dolphinscheduler-master,artificial neural network,0.717194863357199
10_dolphinscheduler,dolphinscheduler-master,neural network,0.7168301152338271
10_dolphinscheduler,dolphinscheduler-master,password manager,0.7167864474803912
10_dolphinscheduler,dolphinscheduler-master,back end,0.716360080329007
10_dolphinscheduler,dolphinscheduler-master,game engine,0.7161453652160077
10_dolphinscheduler,dolphinscheduler-master,language model,0.7158699030790077
10_dolphinscheduler,dolphinscheduler-master,streaming media,0.7158114163017653
10_dolphinscheduler,dolphinscheduler-master,graphical user interface,0.7155731411052189
10_dolphinscheduler,dolphinscheduler-master,embedded system,0.7154010493246804
