project_name,module,domain,sim_score
12_shenyu,shenyu-protocol,WebSocket,0.7697929580462173
12_shenyu,shenyu-protocol,middleware,0.748552215657602
12_shenyu,shenyu-protocol,instant messaging,0.7477402716752499
12_shenyu,shenyu-protocol,server,0.7472023242055724
12_shenyu,shenyu-protocol,microservices,0.746019490420397
12_shenyu,shenyu-protocol,user interface,0.7441927046117477
12_shenyu,shenyu-protocol,client,0.7418857170744679
12_shenyu,shenyu-protocol,encryption,0.741492161213937
12_shenyu,shenyu-protocol,web service,0.7404914938927667
12_shenyu,shenyu-protocol,unit testing,0.7404513929394182
12_shenyu,shenyu-protocol,database,0.7390000583447738
12_shenyu,shenyu-protocol,data structure,0.7387934312222688
12_shenyu,shenyu-protocol,email,0.7384551575761764
12_shenyu,shenyu-protocol,game server,0.7370688592835746
12_shenyu,shenyu-protocol,backup,0.7360330484066723
12_shenyu,shenyu-protocol,web server,0.7360122927577121
12_shenyu,shenyu-protocol,serialization,0.7358256102081049
12_shenyu,shenyu-protocol,internet of things,0.7348601609916912
12_shenyu,shenyu-protocol,data binding,0.7344830237115696
12_shenyu,shenyu-protocol,HTTP client,0.7343411503483301
12_shenyu,shenyu-protocol,stream processing,0.7339475314158099
12_shenyu,shenyu-protocol,pattern matching,0.7338729084036267
12_shenyu,shenyu-protocol,command-line interface,0.7333662611172111
12_shenyu,shenyu-protocol,analytics,0.7330701092786449
12_shenyu,shenyu-protocol,test automation,0.7323614221463496
12_shenyu,shenyu-protocol,authentication,0.7323198610033537
12_shenyu,shenyu-protocol,scheduler,0.732208672549211
12_shenyu,shenyu-protocol,HTTP server,0.7320850125303628
12_shenyu,shenyu-protocol,internet bot,0.7313124465010086
12_shenyu,shenyu-protocol,data,0.7311252208244796
12_shenyu,shenyu-protocol,language model,0.7309851602761099
12_shenyu,shenyu-protocol,File Transfer Protocol,0.7309590892481376
12_shenyu,shenyu-protocol,data compression,0.7299766574935219
12_shenyu,shenyu-protocol,knowledge graph,0.7291768632296632
12_shenyu,shenyu-protocol,compiler,0.7290702594192674
12_shenyu,shenyu-protocol,automation,0.7286818710302072
12_shenyu,shenyu-protocol,security,0.7282834879225508
12_shenyu,shenyu-protocol,password manager,0.7274092996811696
12_shenyu,shenyu-protocol,streaming media,0.7271586610021621
12_shenyu,shenyu-protocol,package management system,0.7271376624118753
12_shenyu,shenyu-protocol,blockchain,0.7256848356892712
12_shenyu,shenyu-protocol,logging,0.7251441376629411
12_shenyu,shenyu-protocol,signal processing,0.724843735295557
12_shenyu,shenyu-protocol,web application,0.7247475748678853
12_shenyu,shenyu-protocol,bitcoin,0.7243934101328857
12_shenyu,shenyu-protocol,file system,0.7227135299120124
12_shenyu,shenyu-protocol,search,0.7225549820210992
12_shenyu,shenyu-protocol,graphical user interface,0.7215058479522736
12_shenyu,shenyu-protocol,cloud computing,0.7207970995571514
12_shenyu,shenyu-protocol,distributed computing,0.7207920750448458
12_shenyu,shenyu-protocol,object–relational mapping,0.7206912458600843
12_shenyu,shenyu-protocol,smart contract,0.7206025469895049
12_shenyu,shenyu-protocol,telecommunications network,0.7205145805325074
12_shenyu,shenyu-protocol,algorithm,0.7202759795868103
12_shenyu,shenyu-protocol,web application security,0.7184899364020974
12_shenyu,shenyu-protocol,big data,0.7180305188007778
12_shenyu,shenyu-protocol,front end,0.7165264308441536
12_shenyu,shenyu-protocol,back end,0.7164552975982426
12_shenyu,shenyu-protocol,information extraction,0.7146754300084421
12_shenyu,shenyu-protocol,time series,0.7143257232793159
12_shenyu,shenyu-protocol,embedded system,0.7130256769360962
12_shenyu,shenyu-protocol,computer data storage,0.7127115253242378
12_shenyu,shenyu-protocol,information processing,0.7108990854984305
12_shenyu,shenyu-protocol,penetration test,0.7107496446389585
12_shenyu,shenyu-protocol,regular expression,0.7105913616113446
12_shenyu,shenyu-protocol,Semantic Web,0.7102239471158123
12_shenyu,shenyu-protocol,audio signal processing,0.7093192326243786
12_shenyu,shenyu-protocol,sentiment analysis,0.7079688474099164
12_shenyu,shenyu-protocol,deep learning,0.7066070434303806
12_shenyu,shenyu-protocol,application performance management,0.7066015035976608
12_shenyu,shenyu-protocol,object detection,0.7064659301852149
12_shenyu,shenyu-protocol,anomaly detection,0.7057217307835207
12_shenyu,shenyu-protocol,evolutionary algorithm,0.7031923818363539
12_shenyu,shenyu-protocol,graph algorithm,0.7031920427251597
12_shenyu,shenyu-protocol,natural language,0.701036835463909
12_shenyu,shenyu-protocol,support vector machine,0.6981570320180086
12_shenyu,shenyu-protocol,linear regression,0.6968051207375096
12_shenyu,shenyu-protocol,linear algebra,0.6826644340389545
