project_name,module,domain,sim_score
12_shenyu,shenyu-sdk,HTTP client,0.7510897983773381
12_shenyu,shenyu-sdk,web application,0.7376241119857366
12_shenyu,shenyu-sdk,client,0.7373500154704676
12_shenyu,shenyu-sdk,web service,0.7357468004310382
12_shenyu,shenyu-sdk,HTTP server,0.7333930449562193
12_shenyu,shenyu-sdk,dependency injection,0.7311887873377936
12_shenyu,shenyu-sdk,web server,0.7289226698660541
12_shenyu,shenyu-sdk,static site generator,0.7263110417019669
12_shenyu,shenyu-sdk,web application security,0.7261517829866369
12_shenyu,shenyu-sdk,data binding,0.7256232231969264
12_shenyu,shenyu-sdk,web scraping,0.7255009276225675
12_shenyu,shenyu-sdk,server,0.7251060593086548
12_shenyu,shenyu-sdk,user interface,0.7235754465846558
12_shenyu,shenyu-sdk,website,0.7231009725750851
12_shenyu,shenyu-sdk,validator,0.7203893509196103
12_shenyu,shenyu-sdk,WebSocket,0.7201982332814961
12_shenyu,shenyu-sdk,microservices,0.7201833982478532
12_shenyu,shenyu-sdk,pattern matching,0.7200783059986143
12_shenyu,shenyu-sdk,serialization,0.7195349350126776
12_shenyu,shenyu-sdk,router,0.719006319885535
12_shenyu,shenyu-sdk,compiler,0.7167769558278031
12_shenyu,shenyu-sdk,test automation,0.7166594967145336
12_shenyu,shenyu-sdk,web development,0.712400684206658
12_shenyu,shenyu-sdk,Web Components,0.7109261603525452
12_shenyu,shenyu-sdk,command-line interface,0.7105509823767114
12_shenyu,shenyu-sdk,language model,0.710322861230587
12_shenyu,shenyu-sdk,data structure,0.7094875282842324
12_shenyu,shenyu-sdk,object–relational mapping,0.7069322846489561
12_shenyu,shenyu-sdk,scheduler,0.7065451579246643
12_shenyu,shenyu-sdk,content management system,0.7061652538000772
12_shenyu,shenyu-sdk,analytics,0.7061416662425902
12_shenyu,shenyu-sdk,automation,0.7059791020999057
12_shenyu,shenyu-sdk,database,0.7059090735579966
12_shenyu,shenyu-sdk,data,0.7055941203418162
12_shenyu,shenyu-sdk,File Transfer Protocol,0.7054129598079352
12_shenyu,shenyu-sdk,back end,0.7042975814094545
12_shenyu,shenyu-sdk,algorithm,0.7040928528294791
12_shenyu,shenyu-sdk,software testing,0.7040000365655368
12_shenyu,shenyu-sdk,regular expression,0.7039534332796011
12_shenyu,shenyu-sdk,application performance management,0.7035892360553542
12_shenyu,shenyu-sdk,stream processing,0.702967789579975
12_shenyu,shenyu-sdk,reactive programming,0.7014468932186882
12_shenyu,shenyu-sdk,static program analysis tool,0.7001381695203371
12_shenyu,shenyu-sdk,plot,0.6995824506304975
12_shenyu,shenyu-sdk,named-entity recognition,0.6995006308134943
12_shenyu,shenyu-sdk,game server,0.6991004385534115
12_shenyu,shenyu-sdk,file system,0.6980107107680272
12_shenyu,shenyu-sdk,object detection,0.6977358917074653
12_shenyu,shenyu-sdk,smart contract,0.6975282546978292
12_shenyu,shenyu-sdk,streaming media,0.6971335350062684
12_shenyu,shenyu-sdk,cloud computing,0.6963968481425484
12_shenyu,shenyu-sdk,security,0.696019510569176
12_shenyu,shenyu-sdk,text classification,0.6954230443883181
12_shenyu,shenyu-sdk,package management system,0.6951381604860289
12_shenyu,shenyu-sdk,logging,0.6949285954945944
12_shenyu,shenyu-sdk,instant messaging,0.6945291052629851
12_shenyu,shenyu-sdk,embedded system,0.6943439189839176
12_shenyu,shenyu-sdk,integrated development environment,0.6941173957957492
12_shenyu,shenyu-sdk,network monitoring,0.6938093490227427
12_shenyu,shenyu-sdk,functional programming,0.6936337513019478
12_shenyu,shenyu-sdk,internet of things,0.6931641221504569
12_shenyu,shenyu-sdk,question answering,0.6930697548411006
12_shenyu,shenyu-sdk,static program analysis,0.6924016388201304
12_shenyu,shenyu-sdk,support vector machine,0.6918059639199231
12_shenyu,shenyu-sdk,graphical user interface,0.6912889372221768
12_shenyu,shenyu-sdk,distributed multimedia communications platform,0.6911843755470027
12_shenyu,shenyu-sdk,signal processing,0.6907033355312159
12_shenyu,shenyu-sdk,World Wide Web,0.6900311954628657
12_shenyu,shenyu-sdk,information processing,0.6892254817879614
12_shenyu,shenyu-sdk,text processing,0.6890359106261142
12_shenyu,shenyu-sdk,distributed system,0.689005535866466
12_shenyu,shenyu-sdk,long short-term memory,0.6886903220428613
12_shenyu,shenyu-sdk,data compression,0.6885729009437905
12_shenyu,shenyu-sdk,electronic trading platform,0.6880915959488589
12_shenyu,shenyu-sdk,penetration test,0.6858281981476492
12_shenyu,shenyu-sdk,network analysis,0.6828487287329567
12_shenyu,shenyu-sdk,big data,0.6826165241714708
12_shenyu,shenyu-sdk,audio signal processing,0.6816265623902397
12_shenyu,shenyu-sdk,operating system,0.6798043273020145
12_shenyu,shenyu-sdk,artificial intelligence,0.6784734563344327
12_shenyu,shenyu-sdk,time series,0.6770105816899629
12_shenyu,shenyu-sdk,blockchain,0.6765172438886583
12_shenyu,shenyu-sdk,distributed computing,0.6738152452076742
12_shenyu,shenyu-sdk,computer data storage,0.6726081388800739
12_shenyu,shenyu-sdk,telecommunications network,0.6708188911878834
12_shenyu,shenyu-sdk,algorithmic trading,0.6707267432274103
12_shenyu,shenyu-sdk,stock market,0.6634579396021186
12_shenyu,shenyu-sdk,cryptocurrency,0.6628803344701637
12_shenyu,shenyu-sdk,computational science,0.6606489261670629
