project_name,module,domain,sim_score
03_flink,flink-clients,static program analysis tool,0.7847151492005191
03_flink,flink-clients,software testing,0.783255598302182
03_flink,flink-clients,integrated development environment,0.7810108587668663
03_flink,flink-clients,package management system,0.7786207055952122
03_flink,flink-clients,unit testing,0.7717118437500722
03_flink,flink-clients,compiler,0.7702336126907159
03_flink,flink-clients,static program analysis,0.7695950009476492
03_flink,flink-clients,stream processing,0.7640033930991044
03_flink,flink-clients,test automation,0.763057351263855
03_flink,flink-clients,command-line interface,0.7613868283117886
03_flink,flink-clients,analytics,0.7602296396105169
03_flink,flink-clients,language model,0.759030924280497
03_flink,flink-clients,user interface,0.7590129392257381
03_flink,flink-clients,interpreter,0.7570211757300739
03_flink,flink-clients,DevOps,0.7565221488421183
03_flink,flink-clients,web application,0.7564589899795268
03_flink,flink-clients,web scraping,0.7534081392140849
03_flink,flink-clients,support vector machine,0.752904157458997
03_flink,flink-clients,serialization,0.7526184647962604
03_flink,flink-clients,machine learning,0.752423591529187
03_flink,flink-clients,web development,0.7517028558829026
03_flink,flink-clients,pattern matching,0.751175341427826
03_flink,flink-clients,microservices,0.750621102324803
03_flink,flink-clients,Parser combinator,0.7494230447784419
03_flink,flink-clients,web service,0.7487056297888465
03_flink,flink-clients,continuous integration,0.7479686500611462
03_flink,flink-clients,dependency injection,0.7469728349161604
03_flink,flink-clients,middleware,0.746418829317763
03_flink,flink-clients,visualization,0.7461018574243287
03_flink,flink-clients,automation,0.7458878712336242
03_flink,flink-clients,web application security,0.7451863704894901
03_flink,flink-clients,scheduler,0.7447483490421919
03_flink,flink-clients,game engine,0.74470402770366
03_flink,flink-clients,data structure,0.7433414476909417
03_flink,flink-clients,shell tool,0.7429685965730171
03_flink,flink-clients,information processing,0.7426736139893785
03_flink,flink-clients,benchmark,0.7425206910632456
03_flink,flink-clients,computer configuration,0.7424961566509007
03_flink,flink-clients,graphical user interface,0.7422357287197724
03_flink,flink-clients,data analysis,0.7412025266694677
03_flink,flink-clients,graph,0.7392358594916674
03_flink,flink-clients,regular expression,0.7388712078130024
03_flink,flink-clients,rendering,0.7387861921131357
03_flink,flink-clients,signal processing,0.7382880013484381
03_flink,flink-clients,sentiment analysis,0.738162020495112
03_flink,flink-clients,server,0.7366293933757747
03_flink,flink-clients,application performance management,0.735648153298477
03_flink,flink-clients,back end,0.7355119411099983
03_flink,flink-clients,data binding,0.7355095679211328
03_flink,flink-clients,Web Components,0.7355085714501028
03_flink,flink-clients,statistics,0.7351741395976318
03_flink,flink-clients,web server,0.734654460149966
03_flink,flink-clients,big data,0.7346193408210097
03_flink,flink-clients,database,0.7345509661715285
03_flink,flink-clients,search,0.7328664103512803
03_flink,flink-clients,artificial intelligence,0.7327514945141409
03_flink,flink-clients,website,0.7325468134352477
03_flink,flink-clients,sorting algorithm,0.7324696679862802
03_flink,flink-clients,data,0.7322439962277527
03_flink,flink-clients,quantum computer,0.732225989768462
03_flink,flink-clients,design,0.732118383784551
03_flink,flink-clients,instant messaging,0.7311379644468794
03_flink,flink-clients,file system,0.7310888132736708
03_flink,flink-clients,graph algorithm,0.7304172968743645
03_flink,flink-clients,client,0.729977079865595
03_flink,flink-clients,data mining,0.7293498825210322
03_flink,flink-clients,smart contract,0.7291621625591891
03_flink,flink-clients,logging,0.7285952405723889
03_flink,flink-clients,HTTP client,0.7279633561309183
03_flink,flink-clients,game server,0.7278105121614025
03_flink,flink-clients,data compression,0.727509990021159
03_flink,flink-clients,streaming media,0.7270826011643137
03_flink,flink-clients,cloud computing,0.7269425833702137
03_flink,flink-clients,cluster analysis,0.7262037353623528
03_flink,flink-clients,digital image processing,0.7260169658365683
03_flink,flink-clients,distributed system,0.7259987816983856
03_flink,flink-clients,operating system,0.7253837652288372
03_flink,flink-clients,recommender system,0.7249401556025843
03_flink,flink-clients,embedded system,0.7229810255280957
03_flink,flink-clients,content management system,0.7226176452380821
03_flink,flink-clients,HTTP server,0.722610139514037
03_flink,flink-clients,distributed computing,0.7225905708016498
03_flink,flink-clients,linear regression,0.7221628947492617
03_flink,flink-clients,security,0.7205508298408416
03_flink,flink-clients,object–relational mapping,0.7201201543807225
03_flink,flink-clients,password manager,0.718441241179486
03_flink,flink-clients,network analysis,0.7178663346806614
03_flink,flink-clients,computer data storage,0.7172435084780915
03_flink,flink-clients,distributed database,0.7140924676605425
03_flink,flink-clients,File Transfer Protocol,0.712328609829232
03_flink,flink-clients,distributed multimedia communications platform,0.7114513896159912
03_flink,flink-clients,object detection,0.7103799327727833
03_flink,flink-clients,World Wide Web,0.7099736219890657
03_flink,flink-clients,penetration test,0.7088828423121183
03_flink,flink-clients,word embedding,0.7059705004337968
03_flink,flink-clients,geographic information system,0.7046756584226492
03_flink,flink-clients,digital audio,0.6968645849976891
03_flink,flink-clients,digital security,0.6905263789997034
03_flink,flink-clients,telecommunications network,0.6867292662004886
