project_name,module,domain,sim_score
03_flink,flink-contrib,software testing,0.783255598302182
03_flink,flink-contrib,package management system,0.7786207055952122
03_flink,flink-contrib,stream processing,0.7640384360803866
03_flink,flink-contrib,user interface,0.7590129392257381
03_flink,flink-contrib,text processing,0.7586470201922138
03_flink,flink-contrib,web application,0.7564009836031772
03_flink,flink-contrib,pattern matching,0.7510618570986038
03_flink,flink-contrib,microservices,0.750621102324803
03_flink,flink-contrib,web service,0.7486377327089979
03_flink,flink-contrib,automation,0.7458878712336242
03_flink,flink-contrib,scheduler,0.7447483490421919
03_flink,flink-contrib,data structure,0.7433414476909417
03_flink,flink-contrib,information processing,0.7426736139893785
03_flink,flink-contrib,graphical user interface,0.7421106627125306
03_flink,flink-contrib,information extraction,0.7396182124429176
03_flink,flink-contrib,regular expression,0.7388712078130024
03_flink,flink-contrib,signal processing,0.7382880013484381
03_flink,flink-contrib,server,0.7366293933757747
03_flink,flink-contrib,text classification,0.7365331455447302
03_flink,flink-contrib,internet bot,0.7360107456761711
03_flink,flink-contrib,Semantic Web,0.7357478085811261
03_flink,flink-contrib,back end,0.7355343217214256
03_flink,flink-contrib,data binding,0.7355055218163857
03_flink,flink-contrib,web server,0.734654460149966
03_flink,flink-contrib,big data,0.7346193408210097
03_flink,flink-contrib,database,0.7345509661715285
03_flink,flink-contrib,website,0.7325468134352477
03_flink,flink-contrib,data,0.7322171985872719
03_flink,flink-contrib,instant messaging,0.7311379644468794
03_flink,flink-contrib,file system,0.7310888132736708
03_flink,flink-contrib,client,0.729977079865595
03_flink,flink-contrib,game server,0.7278105121614025
03_flink,flink-contrib,streaming media,0.7270826011643137
03_flink,flink-contrib,operating system,0.7254295230014114
03_flink,flink-contrib,security,0.7205508298408416
03_flink,flink-contrib,password manager,0.7184445826764755
03_flink,flink-contrib,computer data storage,0.7172435084780915
03_flink,flink-contrib,File Transfer Protocol,0.712328609829232
03_flink,flink-contrib,object detection,0.7103799327727833
03_flink,flink-contrib,World Wide Web,0.7099755320150415
03_flink,flink-contrib,penetration test,0.7087435822623882
03_flink,flink-contrib,telecommunications network,0.6865850790707365
