project_name,module,domain,sim_score
03_flink,flink-external-resources,static program analysis tool,0.7846924704387744
03_flink,flink-external-resources,software testing,0.783255598302182
03_flink,flink-external-resources,package management system,0.7786207055952122
03_flink,flink-external-resources,static program analysis,0.7695950009476492
03_flink,flink-external-resources,stream processing,0.7640033930991044
03_flink,flink-external-resources,command-line interface,0.7613868283117886
03_flink,flink-external-resources,mobile application development,0.7591789088550503
03_flink,flink-external-resources,language model,0.7590894897089094
03_flink,flink-external-resources,user interface,0.7590129392257381
03_flink,flink-external-resources,interpreter,0.7570211757300739
03_flink,flink-external-resources,web application,0.7564009836031772
03_flink,flink-external-resources,machine learning,0.752423591529187
03_flink,flink-external-resources,web development,0.7520149284510237
03_flink,flink-external-resources,pattern matching,0.751175341427826
03_flink,flink-external-resources,microservices,0.750621102324803
03_flink,flink-external-resources,web service,0.7486377327089979
03_flink,flink-external-resources,automation,0.7458878712336242
03_flink,flink-external-resources,web application security,0.7451863704894901
03_flink,flink-external-resources,game engine,0.74470402770366
03_flink,flink-external-resources,data structure,0.7433414476909417
03_flink,flink-external-resources,information processing,0.7426736139893785
03_flink,flink-external-resources,benchmark,0.7425206910632456
03_flink,flink-external-resources,computer configuration,0.7424961566509007
03_flink,flink-external-resources,regular expression,0.7388712078130024
03_flink,flink-external-resources,signal processing,0.7383072768611608
03_flink,flink-external-resources,server,0.7366293933757747
03_flink,flink-external-resources,Web Components,0.7355085714501028
03_flink,flink-external-resources,data binding,0.7355055218163857
03_flink,flink-external-resources,web server,0.734654460149966
03_flink,flink-external-resources,big data,0.7346193408210097
03_flink,flink-external-resources,database,0.7345509661715285
03_flink,flink-external-resources,website,0.7325468134352477
03_flink,flink-external-resources,data,0.7322171985872719
03_flink,flink-external-resources,computer vision,0.7316684166266572
03_flink,flink-external-resources,instant messaging,0.7311379644468794
03_flink,flink-external-resources,file system,0.7310888132736708
03_flink,flink-external-resources,image recognition,0.7299531347208347
03_flink,flink-external-resources,logging,0.7285952405723889
03_flink,flink-external-resources,data compression,0.727509990021159
03_flink,flink-external-resources,streaming media,0.7270826011643137
03_flink,flink-external-resources,cloud computing,0.7269425833702137
03_flink,flink-external-resources,operating system,0.7253837652288372
03_flink,flink-external-resources,recommender system,0.725007273025195
03_flink,flink-external-resources,HTTP server,0.722610139514037
03_flink,flink-external-resources,linear regression,0.7221628947492617
03_flink,flink-external-resources,object–relational mapping,0.7201201543807225
03_flink,flink-external-resources,neural network,0.7191563442051202
03_flink,flink-external-resources,computer data storage,0.7172435084780915
03_flink,flink-external-resources,facial recognition system,0.714419918676889
03_flink,flink-external-resources,File Transfer Protocol,0.712328609829232
03_flink,flink-external-resources,object detection,0.7103799327727833
03_flink,flink-external-resources,face detection,0.7083027805698899
03_flink,flink-external-resources,stock market,0.705297726516886
03_flink,flink-external-resources,telecommunications network,0.6865850790707365
