project_name,module,domain,sim_score
03_flink,flink-metrics,static program analysis tool,0.7846924704387744
03_flink,flink-metrics,software testing,0.783255598302182
03_flink,flink-metrics,software engineering,0.7791810234469607
03_flink,flink-metrics,package management system,0.7786207055952122
03_flink,flink-metrics,unit testing,0.7717118437500722
03_flink,flink-metrics,compiler,0.7702336126907159
03_flink,flink-metrics,static program analysis,0.7695950009476492
03_flink,flink-metrics,functional programming,0.7679677869486964
03_flink,flink-metrics,stream processing,0.7640033930991044
03_flink,flink-metrics,test automation,0.763057351263855
03_flink,flink-metrics,command-line interface,0.7613868283117886
03_flink,flink-metrics,analytics,0.7602296396105169
03_flink,flink-metrics,language model,0.759175775862774
03_flink,flink-metrics,user interface,0.7590129392257381
03_flink,flink-metrics,text editor,0.7587154722435021
03_flink,flink-metrics,text processing,0.7586470201922138
03_flink,flink-metrics,web application,0.7564009836031772
03_flink,flink-metrics,static site generator,0.7553616430194715
03_flink,flink-metrics,web scraping,0.7534081392140849
03_flink,flink-metrics,support vector machine,0.752904157458997
03_flink,flink-metrics,serialization,0.7524410413094
03_flink,flink-metrics,machine learning,0.752423591529187
03_flink,flink-metrics,pattern matching,0.7510618570986038
03_flink,flink-metrics,microservices,0.750621102324803
03_flink,flink-metrics,natural language processing,0.7500122166184128
03_flink,flink-metrics,backup,0.7486932449332547
03_flink,flink-metrics,web service,0.7486377327089979
03_flink,flink-metrics,continuous integration,0.7479686500611462
03_flink,flink-metrics,dependency injection,0.7469728349161604
03_flink,flink-metrics,visualization,0.7461018574243287
03_flink,flink-metrics,automation,0.7458878712336242
03_flink,flink-metrics,web application security,0.7451995968110465
03_flink,flink-metrics,game engine,0.74470402770366
03_flink,flink-metrics,data structure,0.7433414476909417
03_flink,flink-metrics,real-time computing,0.7432772124308467
03_flink,flink-metrics,information processing,0.7426736139893785
03_flink,flink-metrics,benchmark,0.7425206910632456
03_flink,flink-metrics,computer configuration,0.7424961566509007
03_flink,flink-metrics,Containerization,0.7421542948295637
03_flink,flink-metrics,graphical user interface,0.7421106627125306
03_flink,flink-metrics,web crawler,0.7416690623191241
03_flink,flink-metrics,data analysis,0.7412025266694677
03_flink,flink-metrics,data science,0.740803351772519
03_flink,flink-metrics,graph,0.7392358594916674
03_flink,flink-metrics,regular expression,0.7388712078130024
03_flink,flink-metrics,front end,0.7388561862857188
03_flink,flink-metrics,knowledge graph,0.738342367312661
03_flink,flink-metrics,signal processing,0.7382880013484381
03_flink,flink-metrics,sentiment analysis,0.73806658283221
03_flink,flink-metrics,server,0.7366293933757747
03_flink,flink-metrics,text classification,0.7365331455447302
03_flink,flink-metrics,data visualization,0.7360479862374638
03_flink,flink-metrics,plot,0.7357664086926625
03_flink,flink-metrics,application performance management,0.735648153298477
03_flink,flink-metrics,back end,0.7355343217214256
03_flink,flink-metrics,data binding,0.7355055218163857
03_flink,flink-metrics,Web Components,0.735461781483666
03_flink,flink-metrics,database management,0.7354020495258842
03_flink,flink-metrics,statistics,0.7351741395976318
03_flink,flink-metrics,web server,0.734654460149966
03_flink,flink-metrics,big data,0.7346193408210097
03_flink,flink-metrics,database,0.7345509661715285
03_flink,flink-metrics,WebSocket,0.7330480455304228
03_flink,flink-metrics,time series,0.7328270039866411
03_flink,flink-metrics,artificial intelligence,0.7327514945141409
03_flink,flink-metrics,website,0.7325468134352477
03_flink,flink-metrics,data,0.7322171985872719
03_flink,flink-metrics,design,0.732118383784551
03_flink,flink-metrics,Image analysis,0.7316603821093954
03_flink,flink-metrics,instant messaging,0.7311379644468794
03_flink,flink-metrics,audio signal processing,0.7311013597980857
03_flink,flink-metrics,file system,0.7310888132736708
03_flink,flink-metrics,long short-term memory,0.7303169274346987
03_flink,flink-metrics,client,0.729977079865595
03_flink,flink-metrics,image compression,0.7299732495993874
03_flink,flink-metrics,image classification,0.7298642427317494
03_flink,flink-metrics,data mining,0.7293498825210322
03_flink,flink-metrics,smart contract,0.7290361889916737
03_flink,flink-metrics,logging,0.7285952405723889
03_flink,flink-metrics,HTTP client,0.7278239185854876
03_flink,flink-metrics,game server,0.7278105121614025
03_flink,flink-metrics,data compression,0.727509990021159
03_flink,flink-metrics,streaming media,0.7270826011643137
03_flink,flink-metrics,cloud computing,0.7269425833702137
