project_name,module,domain,sim_score
03_flink,flink-table,syntax highlighting,0.7898767607181487
03_flink,flink-table,software architecture,0.7857439768171819
03_flink,flink-table,software development,0.7851555364064497
03_flink,flink-table,static program analysis tool,0.7846924704387744
03_flink,flink-table,software testing,0.783255598302182
03_flink,flink-table,integrated development environment,0.7810108587668663
03_flink,flink-table,package management system,0.7786207055952122
03_flink,flink-table,code generation,0.7762590247357168
03_flink,flink-table,reactive programming,0.7735352619114558
03_flink,flink-table,schema migration,0.7734539925191692
03_flink,flink-table,unit testing,0.7717118437500722
03_flink,flink-table,compiler,0.7702336126907159
03_flink,flink-table,debugging,0.7700672025936532
03_flink,flink-table,static program analysis,0.7695950009476492
03_flink,flink-table,computer programming,0.7695745445213381
03_flink,flink-table,functional programming,0.7679677869486964
03_flink,flink-table,software design pattern,0.7673830857293128
03_flink,flink-table,documentation,0.7667170363239022
03_flink,flink-table,debugger,0.7640682262853989
03_flink,flink-table,stream processing,0.7640033930991044
03_flink,flink-table,test automation,0.763057351263855
03_flink,flink-table,command-line interface,0.7613868283117886
03_flink,flink-table,analytics,0.7602296396105169
03_flink,flink-table,mobile application development,0.7591789088550503
03_flink,flink-table,language model,0.759175775862774
03_flink,flink-table,user interface,0.7590129392257381
03_flink,flink-table,object-oriented programming,0.7587781700683446
03_flink,flink-table,text editor,0.7587154722435021
03_flink,flink-table,text processing,0.7586470201922138
03_flink,flink-table,parsing,0.7574703857376438
03_flink,flink-table,interpreter,0.7570211757300739
03_flink,flink-table,DevOps,0.7565221488421183
03_flink,flink-table,web application,0.7564009836031772
03_flink,flink-table,static site generator,0.7553616430194715
03_flink,flink-table,web scraping,0.7534081392140849
03_flink,flink-table,algorithm,0.7530659070371538
03_flink,flink-table,support vector machine,0.7528208158067353
03_flink,flink-table,serialization,0.7524410413094
03_flink,flink-table,machine learning,0.752423591529187
03_flink,flink-table,web development,0.7520149284510237
03_flink,flink-table,pattern matching,0.7510618570986038
03_flink,flink-table,computer science,0.7510363517301484
03_flink,flink-table,microservices,0.750621102324803
03_flink,flink-table,natural language processing,0.7500122166184128
03_flink,flink-table,Parser combinator,0.7494230447784419
