project_name,module,domain,sim_score
04_rocketmq,controller,stream processing,0.786495090930393
04_rocketmq,controller,streaming media,0.7861521705788734
04_rocketmq,controller,instant messaging,0.7836256831978967
04_rocketmq,controller,microservices,0.7757827851871275
04_rocketmq,controller,WebSocket,0.7728973693844357
04_rocketmq,controller,command-line interface,0.7692411201950738
04_rocketmq,controller,user interface,0.7677897208548621
04_rocketmq,controller,client,0.7676489395466792
04_rocketmq,controller,distributed computing,0.7668357999033564
04_rocketmq,controller,web service,0.7668126624741356
04_rocketmq,controller,server,0.7660474171844796
04_rocketmq,controller,software testing,0.765188510181689
04_rocketmq,controller,web application,0.7639225144268156
04_rocketmq,controller,HTTP client,0.7590587885726826
04_rocketmq,controller,internet bot,0.758823834439583
04_rocketmq,controller,web server,0.7582482327746423
04_rocketmq,controller,data compression,0.7581869071650736
04_rocketmq,controller,text processing,0.7572136994101043
04_rocketmq,controller,email,0.7555943455878904
04_rocketmq,controller,package management system,0.7541182025183575
04_rocketmq,controller,test automation,0.7531438643340687
04_rocketmq,controller,embedded system,0.7529508604002053
04_rocketmq,controller,language model,0.750668133052697
04_rocketmq,controller,data visualization,0.7498337444204859
04_rocketmq,controller,graphical user interface,0.7485876114908467
04_rocketmq,controller,web application security,0.7484605503729489
04_rocketmq,controller,File Transfer Protocol,0.7478559346343269
04_rocketmq,controller,signal processing,0.7469722946233648
04_rocketmq,controller,game engine,0.7464073214963525
04_rocketmq,controller,automation,0.746204186994962
04_rocketmq,controller,file system,0.7458367654853663
04_rocketmq,controller,HTTP server,0.7450395836955629
04_rocketmq,controller,database,0.7446721246563801
04_rocketmq,controller,computer data storage,0.7444484328864294
04_rocketmq,controller,big data,0.7443823998480293
04_rocketmq,controller,algorithm,0.7415981811639611
04_rocketmq,controller,analytics,0.7411196108289578
04_rocketmq,controller,data,0.7404785338328614
04_rocketmq,controller,content management system,0.740406279001375
04_rocketmq,controller,data mining,0.7394609163915077
04_rocketmq,controller,data structure,0.7384566519659652
04_rocketmq,controller,application performance management,0.738215237678562
04_rocketmq,controller,blockchain,0.7378740591814268
04_rocketmq,controller,security,0.7373020971291919
04_rocketmq,controller,web browser,0.7369570839688326
04_rocketmq,controller,data science,0.7359972865066493
04_rocketmq,controller,website,0.735230388026779
04_rocketmq,controller,time series,0.7347560445087707
04_rocketmq,controller,smart contract,0.7339349052337043
04_rocketmq,controller,Web Components,0.7334388672507468
04_rocketmq,controller,benchmark,0.7333913406073354
04_rocketmq,controller,scheduler,0.7322379519953468
04_rocketmq,controller,audio signal processing,0.7316225432406094
04_rocketmq,controller,pattern matching,0.7305673215071733
04_rocketmq,controller,logging,0.7296903129108007
04_rocketmq,controller,web development,0.7288846893397553
04_rocketmq,controller,robotics,0.7286521964353172
04_rocketmq,controller,data analysis,0.728611472719797
04_rocketmq,controller,serialization,0.7285443883445306
04_rocketmq,controller,telecommunications network,0.7277944219610251
04_rocketmq,controller,functional programming,0.7254043347376024
04_rocketmq,controller,password manager,0.724136945754785
04_rocketmq,controller,information processing,0.7239520619520036
04_rocketmq,controller,regular expression,0.7228850782361892
04_rocketmq,controller,object detection,0.7195751278258109
04_rocketmq,controller,penetration test,0.718601673169044
04_rocketmq,controller,back end,0.7183529095774511
04_rocketmq,controller,data binding,0.7166255565513375
04_rocketmq,controller,object–relational mapping,0.7119080345413877
04_rocketmq,controller,3D modeling,0.7100829839436181
04_rocketmq,controller,long short-term memory,0.7085913129501467
04_rocketmq,controller,linear regression,0.7073499602446058
04_rocketmq,controller,World Wide Web,0.7050489575957767
