project_name,module,domain,sim_score
04_rocketmq,srvutil,stream processing,0.786495090930393
04_rocketmq,srvutil,streaming media,0.7861521705788734
04_rocketmq,srvutil,instant messaging,0.7836256831978967
04_rocketmq,srvutil,microservices,0.7757827851871275
04_rocketmq,srvutil,command-line interface,0.7692411201950738
04_rocketmq,srvutil,user interface,0.7678376330046306
04_rocketmq,srvutil,client,0.7676489395466792
04_rocketmq,srvutil,distributed computing,0.7668357999033564
04_rocketmq,srvutil,web service,0.7668126624741356
04_rocketmq,srvutil,distributed system,0.7666332635679503
04_rocketmq,srvutil,server,0.7661339501076898
04_rocketmq,srvutil,software testing,0.765188510181689
04_rocketmq,srvutil,web server,0.7582482327746423
04_rocketmq,srvutil,data compression,0.7582071718457488
04_rocketmq,srvutil,virtual machine,0.758092798631359
04_rocketmq,srvutil,text processing,0.7572136994101043
04_rocketmq,srvutil,computer configuration,0.7562716154576661
04_rocketmq,srvutil,package management system,0.7541182025183575
04_rocketmq,srvutil,test automation,0.7531438643340687
04_rocketmq,srvutil,embedded system,0.7529508604002053
04_rocketmq,srvutil,shell tool,0.7528940688058838
04_rocketmq,srvutil,graphical user interface,0.7485876114908467
04_rocketmq,srvutil,File Transfer Protocol,0.7478559346343269
04_rocketmq,srvutil,signal processing,0.7469722946233648
04_rocketmq,srvutil,game engine,0.7464073214963525
04_rocketmq,srvutil,automation,0.746204186994962
04_rocketmq,srvutil,file system,0.7458367654853663
04_rocketmq,srvutil,HTTP server,0.7450395836955629
04_rocketmq,srvutil,database,0.7446721246563801
04_rocketmq,srvutil,computer data storage,0.7444484328864294
04_rocketmq,srvutil,big data,0.7443823998480293
04_rocketmq,srvutil,operating system,0.7432155894928194
04_rocketmq,srvutil,support vector machine,0.7419335498555799
04_rocketmq,srvutil,algorithm,0.7417719518201825
04_rocketmq,srvutil,analytics,0.7411196108289578
04_rocketmq,srvutil,data,0.7404785338328614
04_rocketmq,srvutil,content management system,0.740406279001375
04_rocketmq,srvutil,data structure,0.7384566519659652
04_rocketmq,srvutil,recommender system,0.7381670927664723
04_rocketmq,srvutil,security,0.7373020971291919
04_rocketmq,srvutil,website,0.735230388026779
04_rocketmq,srvutil,time series,0.7347560445087707
04_rocketmq,srvutil,information extraction,0.7344072361741161
04_rocketmq,srvutil,smart contract,0.7339349052337043
04_rocketmq,srvutil,search,0.7337686610067908
04_rocketmq,srvutil,Web Components,0.7334388672507468
04_rocketmq,srvutil,benchmark,0.7333913406073354
04_rocketmq,srvutil,scheduler,0.7322379519953468
04_rocketmq,srvutil,pattern matching,0.7305673215071733
04_rocketmq,srvutil,knowledge graph,0.7298585823433265
04_rocketmq,srvutil,logging,0.7296903129108007
04_rocketmq,srvutil,telecommunications network,0.7277944219610251
04_rocketmq,srvutil,password manager,0.724136945754785
04_rocketmq,srvutil,information processing,0.7239484952822164
04_rocketmq,srvutil,regular expression,0.7228850782361892
04_rocketmq,srvutil,static program analysis,0.7224131781550882
04_rocketmq,srvutil,object detection,0.7195751278258109
04_rocketmq,srvutil,Semantic Web,0.7189076745459619
04_rocketmq,srvutil,penetration test,0.718601673169044
04_rocketmq,srvutil,back end,0.7183529095774511
04_rocketmq,srvutil,data binding,0.7166255565513375
04_rocketmq,srvutil,object–relational mapping,0.7119080345413877
04_rocketmq,srvutil,geographic information system,0.7102899562999139
04_rocketmq,srvutil,long short-term memory,0.7085913129501467
04_rocketmq,srvutil,Parser combinator,0.7059416987973426
04_rocketmq,srvutil,World Wide Web,0.7050322027187258
