project_name,module,domain,sim_score
07_druid,indexing-hadoop,documentation,0.8214421805958547
07_druid,indexing-hadoop,software development,0.7895678954024705
07_druid,indexing-hadoop,database,0.7863088807087361
07_druid,indexing-hadoop,graph database,0.7859101948384644
07_druid,indexing-hadoop,software testing,0.7838788779154446
07_druid,indexing-hadoop,schema migration,0.7832698048029588
07_druid,indexing-hadoop,code generation,0.7827372200605822
07_druid,indexing-hadoop,user interface,0.782490691550021
07_druid,indexing-hadoop,unit testing,0.7803112024710783
07_druid,indexing-hadoop,data visualization,0.7801045672813869
07_druid,indexing-hadoop,command-line interface,0.7796579649657642
07_druid,indexing-hadoop,analytics,0.7726819665629316
07_druid,indexing-hadoop,database management,0.7723775972611375
07_druid,indexing-hadoop,compiler,0.7719310839949093
07_druid,indexing-hadoop,search engine,0.7715356446848536
07_druid,indexing-hadoop,search,0.7700253520650802
07_druid,indexing-hadoop,language model,0.7699213724528537
07_druid,indexing-hadoop,data,0.7696962494496546
07_druid,indexing-hadoop,test automation,0.769256694392529
07_druid,indexing-hadoop,content management system,0.7681248422725433
07_druid,indexing-hadoop,graphical user interface,0.767938682343445
07_druid,indexing-hadoop,data mining,0.7661400413144692
07_druid,indexing-hadoop,statistics,0.7661299113557702
07_druid,indexing-hadoop,data structure,0.7647316800868955
07_druid,indexing-hadoop,package management system,0.7644536273570532
07_druid,indexing-hadoop,image captioning,0.7644149054070757
07_druid,indexing-hadoop,website,0.7643245306346909
07_druid,indexing-hadoop,client,0.7624764094859462
07_druid,indexing-hadoop,data analysis,0.7621066690595752
07_druid,indexing-hadoop,benchmark,0.7620960897000619
07_druid,indexing-hadoop,distributed computing,0.76188005646406
07_druid,indexing-hadoop,data science,0.7618101120169625
07_druid,indexing-hadoop,data compression,0.7601869888092054
07_druid,indexing-hadoop,game engine,0.7600788323659544
07_druid,indexing-hadoop,computer configuration,0.7599598737501893
07_druid,indexing-hadoop,distributed system,0.7597373504079227
07_druid,indexing-hadoop,dependency injection,0.7593259148411777
07_druid,indexing-hadoop,algorithm,0.759295560860135
07_druid,indexing-hadoop,data binding,0.7592024314124666
07_druid,indexing-hadoop,rendering,0.7587447868182964
07_druid,indexing-hadoop,automation,0.7580463173090171
07_druid,indexing-hadoop,machine learning,0.7578892333064038
07_druid,indexing-hadoop,"extract, transform, load",0.7577026975774594
07_druid,indexing-hadoop,web application,0.7575571264035639
07_druid,indexing-hadoop,validator,0.7553846648405755
07_druid,indexing-hadoop,file system,0.755016479129818
07_druid,indexing-hadoop,web crawler,0.754801500517398
07_druid,indexing-hadoop,continuous integration,0.7541988026342704
07_druid,indexing-hadoop,static program analysis tool,0.7540345478528759
07_druid,indexing-hadoop,cluster analysis,0.7539482799100978
07_druid,indexing-hadoop,recommender system,0.7532538023045086
07_druid,indexing-hadoop,cloud computing,0.753171922886313
07_druid,indexing-hadoop,server,0.752735670329967
