project_name,module,domain,sim_score
07_druid,indexing-service,documentation,0.8214421805958547
07_druid,indexing-service,knowledge graph,0.7898908095740524
07_druid,indexing-service,software development,0.7895678954024705
07_druid,indexing-service,database,0.7863088807087361
07_druid,indexing-service,graph database,0.7859101948384644
07_druid,indexing-service,software testing,0.7838788779154446
07_druid,indexing-service,schema migration,0.7832698048029588
07_druid,indexing-service,code generation,0.7827372200605822
07_druid,indexing-service,user interface,0.782490691550021
07_druid,indexing-service,unit testing,0.7803112024710783
07_druid,indexing-service,data visualization,0.7801045672813869
07_druid,indexing-service,command-line interface,0.7796579649657642
07_druid,indexing-service,analytics,0.7726643118329488
07_druid,indexing-service,database management,0.7723775972611375
07_druid,indexing-service,compiler,0.7719310839949093
07_druid,indexing-service,debugger,0.7718462501880379
07_druid,indexing-service,distributed database,0.7718123815698418
07_druid,indexing-service,search engine,0.7715356446848536
07_druid,indexing-service,static site generator,0.770865962921464
07_druid,indexing-service,search,0.7700253520650802
07_druid,indexing-service,language model,0.7699213724528537
07_druid,indexing-service,data,0.7696962494496546
07_druid,indexing-service,test automation,0.769256694392529
07_druid,indexing-service,content management system,0.7681248422725433
07_druid,indexing-service,graphical user interface,0.767938682343445
07_druid,indexing-service,statistics,0.766179765727371
07_druid,indexing-service,data mining,0.7661400413144692
07_druid,indexing-service,information extraction,0.7650880489598689
07_druid,indexing-service,data structure,0.7647316800868955
07_druid,indexing-service,package management system,0.7644536273570532
07_druid,indexing-service,website,0.7643245306346909
07_druid,indexing-service,distributed multimedia communications platform,0.7638811280480036
07_druid,indexing-service,continuous deployment,0.7636661758133936
07_druid,indexing-service,client,0.7625413669735164
07_druid,indexing-service,data analysis,0.7621066690595752
07_druid,indexing-service,benchmark,0.7620960897000619
07_druid,indexing-service,distributed computing,0.7619282606705082
07_druid,indexing-service,data science,0.7618101120169625
07_druid,indexing-service,business dashboard,0.7611299407813177
07_druid,indexing-service,Semantic Web,0.7608660840064876
07_druid,indexing-service,data compression,0.7601869888092054
07_druid,indexing-service,game engine,0.7600788323659544
07_druid,indexing-service,computer configuration,0.7599598737501893
07_druid,indexing-service,distributed system,0.7597373504079227
07_druid,indexing-service,dependency injection,0.7593259148411777
07_druid,indexing-service,algorithm,0.759295560860135
07_druid,indexing-service,data binding,0.7592024314124666
07_druid,indexing-service,middleware,0.7590337259385662
07_druid,indexing-service,rendering,0.7587447868182964
07_druid,indexing-service,kernel,0.7587252916954597
07_druid,indexing-service,web development,0.7582455790780376
07_druid,indexing-service,automation,0.7580463173090171
07_druid,indexing-service,question answering,0.7580456564820286
07_druid,indexing-service,machine learning,0.7578892333064038
07_druid,indexing-service,"extract, transform, load",0.7577026975774594
07_druid,indexing-service,authentication,0.757575759026893
07_druid,indexing-service,web application,0.7575571264035639
07_druid,indexing-service,geometry,0.7557829775252539
07_druid,indexing-service,validator,0.7553846648405755
07_druid,indexing-service,file system,0.755016479129818
07_druid,indexing-service,web crawler,0.754801500517398
07_druid,indexing-service,continuous integration,0.7541988026342704
07_druid,indexing-service,static program analysis tool,0.7540345478528759
07_druid,indexing-service,cluster analysis,0.7539482799100978
07_druid,indexing-service,recommender system,0.7532538023045086
07_druid,indexing-service,cloud computing,0.753171922886313
07_druid,indexing-service,server,0.752735670329967
07_druid,indexing-service,Web Components,0.7527057686608913
07_druid,indexing-service,object–relational mapping,0.7525941933881134
07_druid,indexing-service,web service,0.7524876196694216
07_druid,indexing-service,security,0.7514107647653606
07_druid,indexing-service,Bayesian inference,0.7509789268699143
07_druid,indexing-service,computer data storage,0.7502091875439464
07_druid,indexing-service,video,0.7500176482119297
07_druid,indexing-service,3D modeling,0.7499825087329628
07_druid,indexing-service,geographic information system,0.7495330654978181
07_druid,indexing-service,logging,0.7493714026633276
07_druid,indexing-service,web scraping,0.7490061176797229
07_druid,indexing-service,virtual machine,0.7487026253888993
07_druid,indexing-service,classification,0.7478642721978209
07_druid,indexing-service,anomaly detection,0.7476624432068729
