project_name,module,domain,sim_score
07_druid,processing,documentation,0.8214299529691931
07_druid,processing,knowledge graph,0.7898908095740524
07_druid,processing,software development,0.7895678954024705
07_druid,processing,database,0.7863088807087361
07_druid,processing,graph database,0.7858356694992558
07_druid,processing,software testing,0.7838788779154446
07_druid,processing,schema migration,0.7832698048029588
07_druid,processing,code generation,0.7827372200605822
07_druid,processing,user interface,0.782490691550021
07_druid,processing,unit testing,0.7803112024710783
07_druid,processing,data visualization,0.7801045672813869
07_druid,processing,command-line interface,0.7796579649657642
07_druid,processing,information retrieval,0.777445170395883
07_druid,processing,analytics,0.7726819665629316
07_druid,processing,database management,0.7723775972611375
07_druid,processing,compiler,0.7719310839949093
07_druid,processing,debugger,0.7718462501880379
07_druid,processing,search engine,0.7715356446848536
07_druid,processing,distributed database,0.7712356882361792
07_druid,processing,static site generator,0.770865962921464
07_druid,processing,search,0.7700253520650802
07_druid,processing,language model,0.7699213724528537
07_druid,processing,data,0.7696962494496546
07_druid,processing,test automation,0.769256694392529
07_druid,processing,interpreter,0.76866684268598
07_druid,processing,graphical user interface,0.7682447520971587
07_druid,processing,content management system,0.7681248422725433
07_druid,processing,backup,0.7669376145010774
07_druid,processing,data mining,0.7661400413144692
07_druid,processing,statistics,0.7661299113557702
07_druid,processing,image,0.7658475876667606
07_druid,processing,syntax highlighting,0.7651214714901726
07_druid,processing,information extraction,0.7650880489598689
07_druid,processing,data structure,0.7647316800868955
07_druid,processing,package management system,0.7644536273570532
07_druid,processing,image captioning,0.7644149054070757
07_druid,processing,website,0.7643245306346909
07_druid,processing,continuous deployment,0.7636661758133936
07_druid,processing,client,0.7624764094859462
07_druid,processing,mobile application development,0.7622783357681948
07_druid,processing,data analysis,0.7621066690595752
07_druid,processing,benchmark,0.7620960897000619
07_druid,processing,distributed computing,0.76188005646406
07_druid,processing,data science,0.7618101120169625
07_druid,processing,software design pattern,0.7617564038079527
07_druid,processing,camera,0.7613628924220485
07_druid,processing,business dashboard,0.7611299407813177
07_druid,processing,graph,0.7609362492611624
07_druid,processing,Semantic Web,0.7608660840064876
07_druid,processing,translation,0.7606875097903791
07_druid,processing,data compression,0.7601869888092054
07_druid,processing,game engine,0.7601288837796252
07_druid,processing,computer configuration,0.7599598737501893
07_druid,processing,distributed system,0.7597373504079227
07_druid,processing,computer vision,0.7593493545634926
07_druid,processing,dependency injection,0.7593259148411777
07_druid,processing,algorithm,0.759295560860135
07_druid,processing,data binding,0.7592024314124666
07_druid,processing,plot,0.7590420803175315
07_druid,processing,middleware,0.7590337259385662
07_druid,processing,kernel,0.758806648057041
07_druid,processing,rendering,0.7587523984502765
07_druid,processing,automation,0.7580463173090171
07_druid,processing,question answering,0.7580456564820286
07_druid,processing,machine learning,0.7578892333064038
07_druid,processing,internet bot,0.7578050061768462
07_druid,processing,"extract, transform, load",0.7577026975774594
07_druid,processing,authentication,0.757575759026893
07_druid,processing,web application,0.7575571264035639
07_druid,processing,email,0.7569702706106436
07_druid,processing,Reverse engineering,0.7561803609169995
07_druid,processing,geometry,0.7557829775252539
07_druid,processing,validator,0.7553846648405755
07_druid,processing,file system,0.7549518372602542
07_druid,processing,web crawler,0.754801500517398
07_druid,processing,text editor,0.7543991759295896
07_druid,processing,continuous integration,0.7541988026342704
07_druid,processing,static program analysis tool,0.7540345478528759
07_druid,processing,cluster analysis,0.7539482799100978
07_druid,processing,recommender system,0.7532538023045086
07_druid,processing,cloud computing,0.7531687129167012
07_druid,processing,server,0.7527810008172618
07_druid,processing,Web Components,0.7527301644276749
07_druid,processing,object-oriented programming,0.7527134092885391
07_druid,processing,natural language understanding,0.7526516645708478
07_druid,processing,object–relational mapping,0.7525941933881134
07_druid,processing,geographic information,0.7524930528241554
07_druid,processing,web service,0.7524876196694216
07_druid,processing,image compression,0.7518029166486726
07_druid,processing,social network,0.7517855423442921
07_druid,processing,image recognition,0.7514665700580676
07_druid,processing,security,0.7514107647653606
07_druid,processing,Bayesian inference,0.7509789268699143
07_druid,processing,computer data storage,0.7502091875439464
07_druid,processing,video,0.7500176482119297
07_druid,processing,3D modeling,0.7499825087329628
07_druid,processing,parsing,0.7499082631147895
07_druid,processing,text mining,0.7496327256361444
07_druid,processing,geographic information system,0.7495330654978181
07_druid,processing,computer graphics,0.749411558609209
07_druid,processing,logging,0.7493894541368971
07_druid,processing,image editing,0.7491466140631058
07_druid,processing,web scraping,0.7490061176797229
07_druid,processing,virtual machine,0.7487026253888993
07_druid,processing,animation,0.7486527212055787
07_druid,processing,image classification,0.7481244560621838
07_druid,processing,classification,0.7478642721978209
07_druid,processing,anomaly detection,0.7476624432068729
07_druid,processing,Image analysis,0.7474389772080305
07_druid,processing,front end,0.747246495463702
07_druid,processing,computer science,0.747161189928739
07_druid,processing,serialization,0.7468915421698642
07_druid,processing,big data,0.7468343687002053
07_druid,processing,smart contract,0.7467582097189105
07_druid,processing,linear regression,0.7467532678489013
07_druid,processing,continuous delivery,0.7460915268566083
07_druid,processing,microservices,0.7460747445731006
07_druid,processing,object detection,0.745958453982108
07_druid,processing,game server,0.7455718324901753
07_druid,processing,pattern matching,0.7451601274914913
07_druid,processing,static program analysis,0.7448155831829335
07_druid,processing,natural language,0.7447921011798349
07_druid,processing,web application security,0.7446932527201781
07_druid,processing,Malware Analysis,0.7446576897456957
07_druid,processing,web server,0.7446223063258102
07_druid,processing,synchronization,0.7444956366468589
07_druid,processing,graph algorithm,0.7443430185735351
07_druid,processing,augmented reality,0.7442782165426509
07_druid,processing,streaming media,0.7431253140179994
07_druid,processing,text classification,0.7429319058949786
07_druid,processing,regression analysis,0.7425401799025834
07_druid,processing,Kalman filter,0.7424885789939865
07_druid,processing,named-entity recognition,0.7423727430348181
07_druid,processing,sentiment analysis,0.7422670036729128
07_druid,processing,3D computer graphics,0.7421914677332238
07_druid,processing,encryption,0.7420178284099479
07_druid,processing,WebSocket,0.7418008847691573
07_druid,processing,blockchain,0.7414524882657991
07_druid,processing,support vector machine,0.7414140766525955
07_druid,processing,genomics,0.7413089441476801
07_druid,processing,speech synthesis,0.7409118215569717
07_druid,processing,text processing,0.740898091829245
07_druid,processing,serverless computing,0.7408867501547807
07_druid,processing,computational science,0.7406112569270955
07_druid,processing,web browser engine,0.7405954258319332
07_druid,processing,penetration test,0.7405026578498113
07_druid,processing,genetic algorithm,0.7401197312926098
07_druid,processing,logistic regression model,0.7400444540161888
07_druid,processing,functional programming,0.7400044494205904
07_druid,processing,optical character recognition,0.7399652073571157
07_druid,processing,operating system,0.7395057970304013
07_druid,processing,shell tool,0.7393877588191654
07_druid,processing,instant messaging,0.7385989203865118
07_druid,processing,network analysis,0.7382662727645799
07_druid,processing,Q-learning,0.7382518331270478
07_druid,processing,reactive programming,0.7381991880936919
07_druid,processing,application performance management,0.7381297817445749
07_druid,processing,virtualization,0.7380435102097138
07_druid,processing,facial recognition system,0.7379048208692197
07_druid,processing,scheduler,0.7378195959989998
07_druid,processing,router,0.7376049744934825
07_druid,processing,File Transfer Protocol,0.7373881678926326
07_druid,processing,real-time computing,0.736585242349256
07_druid,processing,natural language processing,0.7363838021400799
07_druid,processing,finance,0.735889268228464
07_druid,processing,World Wide Web,0.7358840211537981
07_druid,processing,back end,0.7357541376348955
07_druid,processing,image segmentation,0.7356286218735465
07_druid,processing,time series,0.735581676033036
07_druid,processing,linear algebra,0.7349035704549689
07_druid,processing,artificial intelligence,0.7348563160044085
07_druid,processing,e-commerce,0.7343829991120661
07_druid,processing,malware,0.7339162821837545
07_druid,processing,regular expression,0.7338755775231776
07_druid,processing,network security,0.7337939678061307
07_druid,processing,lexical analysis,0.7336702523250151
07_druid,processing,face detection,0.7334566486096923
07_druid,processing,embedded system,0.7333545156390977
07_druid,processing,mathematics,0.7330453976300327
07_druid,processing,mathematical optimization,0.7329199163182307
07_druid,processing,transfer learning,0.7327859989595673
07_druid,processing,word embedding,0.7327029297409083
07_druid,processing,random forest,0.7326857312358936
07_druid,processing,cryptocurrency,0.7320216685253333
07_druid,processing,deep learning,0.7319955420279882
07_druid,processing,stream processing,0.7312700607389715
07_druid,processing,HTTP server,0.7310611561383116
07_druid,processing,telecommunications network,0.7305280898947257
07_druid,processing,Parser combinator,0.7299938683446384
07_druid,processing,computational biology,0.7299200542125712
07_druid,processing,Naive Bayes classifier,0.7297540716591798
07_druid,processing,virtual reality,0.7295895801708068
07_druid,processing,web browser,0.729004971536995
07_druid,processing,electronic trading platform,0.7287737681543659
07_druid,processing,internet of things,0.7284232018552386
07_druid,processing,stock market,0.7281878184678833
07_druid,processing,long short-term memory,0.7279895217170325
07_druid,processing,information processing,0.7259784183105817
07_druid,processing,digital image processing,0.7253439965298747
07_druid,processing,HTTP client,0.7249282604547451
07_druid,processing,video processing,0.7245654068661771
07_druid,processing,deep neural network,0.7243074735409976
07_druid,processing,password manager,0.7240981229498644
07_druid,processing,algorithmic trading,0.7239597816637483
07_druid,processing,sorting algorithm,0.7238515054654535
07_druid,processing,artificial neural network,0.7231142825532286
07_druid,processing,digital security,0.7216615231102274
07_druid,processing,audio signal processing,0.7192500637542864
07_druid,processing,digital audio,0.7188593458199973
07_druid,processing,reinforcement learning,0.7179274071911221
07_druid,processing,recurrent neural network,0.7102985848034065
07_druid,processing,signal processing,0.708373378750936
07_druid,processing,banking industry,0.7055768129778954
07_druid,processing,mathematical finance,0.7001544295518556
