project_name,module,domain,sim_score
07_druid,server,documentation,0.8214421805958547
07_druid,server,software development,0.7895678954024705
07_druid,server,database,0.7863088807087361
07_druid,server,graph database,0.7859101948384644
07_druid,server,software testing,0.7838788779154446
07_druid,server,schema migration,0.7832698048029588
07_druid,server,code generation,0.7827372200605822
07_druid,server,user interface,0.782490691550021
07_druid,server,unit testing,0.7803112024710783
07_druid,server,data visualization,0.7801045672813869
07_druid,server,command-line interface,0.7796579649657642
07_druid,server,analytics,0.7726819665629316
07_druid,server,database management,0.7723775972611375
07_druid,server,compiler,0.7719310839949093
07_druid,server,debugger,0.7718462501880379
07_druid,server,distributed database,0.7718123815698418
07_druid,server,search engine,0.7715356446848536
07_druid,server,static site generator,0.770865962921464
07_druid,server,search,0.7700253520650802
07_druid,server,language model,0.7699213724528537
07_druid,server,data,0.7696962494496546
07_druid,server,test automation,0.769256694392529
07_druid,server,interpreter,0.76866684268598
07_druid,server,content management system,0.7681248422725433
07_druid,server,graphical user interface,0.767938682343445
07_druid,server,backup,0.7669376145010774
07_druid,server,data mining,0.7661400413144692
07_druid,server,statistics,0.7661299113557702
07_druid,server,information extraction,0.7650880489598689
07_druid,server,data structure,0.7647316800868955
07_druid,server,package management system,0.7644536273570532
07_druid,server,website,0.7643245306346909
07_druid,server,distributed multimedia communications platform,0.7638811280480036
07_druid,server,continuous deployment,0.7636661758133936
07_druid,server,client,0.7624764094859462
07_druid,server,mobile application development,0.7622783357681948
07_druid,server,data analysis,0.7621066690595752
07_druid,server,benchmark,0.7620960897000619
07_druid,server,distributed computing,0.76188005646406
07_druid,server,data science,0.7618101120169625
07_druid,server,Containerization,0.7608979508812459
07_druid,server,Semantic Web,0.7608660840064876
07_druid,server,translation,0.7606875097903791
07_druid,server,data compression,0.7601869888092054
07_druid,server,game engine,0.7600788323659544
07_druid,server,computer configuration,0.7599598737501893
07_druid,server,distributed system,0.7597373504079227
07_druid,server,dependency injection,0.7593259148411777
07_druid,server,algorithm,0.759295560860135
07_druid,server,data binding,0.7592024314124666
07_druid,server,plot,0.7590420803175315
07_druid,server,middleware,0.7590337259385662
07_druid,server,rendering,0.7587447868182964
07_druid,server,kernel,0.7587252916954597
07_druid,server,automation,0.7580463173090171
07_druid,server,question answering,0.7580456564820286
07_druid,server,machine learning,0.7578892333064038
07_druid,server,internet bot,0.7578050061768462
07_druid,server,"extract, transform, load",0.7577026975774594
07_druid,server,authentication,0.757575759026893
