project_name,module,domain,sim_score
08_pulsar,pulsar-transaction,software testing,0.8076624703990033
08_pulsar,pulsar-transaction,package management system,0.7945391253723673
08_pulsar,pulsar-transaction,client,0.7917884306857689
08_pulsar,pulsar-transaction,user interface,0.7891939677726509
08_pulsar,pulsar-transaction,web application,0.7868436895926962
08_pulsar,pulsar-transaction,command-line interface,0.7862638243399627
08_pulsar,pulsar-transaction,mobile application development,0.7855905471031106
08_pulsar,pulsar-transaction,server,0.7787532861136193
08_pulsar,pulsar-transaction,web application security,0.7753747277980727
08_pulsar,pulsar-transaction,HTTP client,0.7750161466544478
08_pulsar,pulsar-transaction,web development,0.7731648580252486
08_pulsar,pulsar-transaction,web server,0.7728790714714598
08_pulsar,pulsar-transaction,web service,0.771902670789497
08_pulsar,pulsar-transaction,game server,0.7668500817993603
08_pulsar,pulsar-transaction,database,0.7649649243974417
08_pulsar,pulsar-transaction,computer vision,0.7602218174721254
08_pulsar,pulsar-transaction,analytics,0.760000475344228
08_pulsar,pulsar-transaction,language model,0.7580487097187416
08_pulsar,pulsar-transaction,distributed multimedia communications platform,0.7574402789323704
08_pulsar,pulsar-transaction,distributed system,0.7565210738394056
08_pulsar,pulsar-transaction,web browser engine,0.7560479966072413
08_pulsar,pulsar-transaction,benchmark,0.7559168872426196
08_pulsar,pulsar-transaction,database management,0.7554848565168748
08_pulsar,pulsar-transaction,dependency injection,0.7550865858836616
08_pulsar,pulsar-transaction,HTTP server,0.7549294817004653
08_pulsar,pulsar-transaction,design,0.7545461531130563
08_pulsar,pulsar-transaction,operating system,0.7544397186953623
08_pulsar,pulsar-transaction,automation,0.7538554435206161
08_pulsar,pulsar-transaction,content management system,0.7525507173496115
08_pulsar,pulsar-transaction,application performance management,0.7491727047692943
08_pulsar,pulsar-transaction,microservices,0.7486983784733295
08_pulsar,pulsar-transaction,search,0.7485982751871375
08_pulsar,pulsar-transaction,distributed database,0.7483249445685229
08_pulsar,pulsar-transaction,security,0.7481912226242622
08_pulsar,pulsar-transaction,file system,0.7480308424401028
08_pulsar,pulsar-transaction,algorithm,0.7478000681907107
08_pulsar,pulsar-transaction,front end,0.7454292866490405
08_pulsar,pulsar-transaction,data visualization,0.7447959740539633
08_pulsar,pulsar-transaction,data structure,0.7443541169945153
08_pulsar,pulsar-transaction,password manager,0.7443476938643389
08_pulsar,pulsar-transaction,recommender system,0.7440837121131378
08_pulsar,pulsar-transaction,machine learning,0.7438396980381371
08_pulsar,pulsar-transaction,instant messaging,0.7426013448895573
08_pulsar,pulsar-transaction,synchronization,0.7414842252720005
08_pulsar,pulsar-transaction,graph database,0.7412729436060322
08_pulsar,pulsar-transaction,Web Components,0.7410496856107581
08_pulsar,pulsar-transaction,image recognition,0.7407375749671516
08_pulsar,pulsar-transaction,static program analysis,0.740545992711344
08_pulsar,pulsar-transaction,computer data storage,0.7401073399928306
08_pulsar,pulsar-transaction,data compression,0.740080098955837
08_pulsar,pulsar-transaction,network monitoring,0.7397865053262739
08_pulsar,pulsar-transaction,data binding,0.7393786937369746
08_pulsar,pulsar-transaction,File Transfer Protocol,0.7387573030800406
08_pulsar,pulsar-transaction,smart contract,0.7380226575360137
08_pulsar,pulsar-transaction,3D modeling,0.7378130863003578
08_pulsar,pulsar-transaction,information extraction,0.7375518254115899
08_pulsar,pulsar-transaction,data,0.7369764206652419
08_pulsar,pulsar-transaction,back end,0.7365335113168706
08_pulsar,pulsar-transaction,object–relational mapping,0.7363564841813324
08_pulsar,pulsar-transaction,distributed computing,0.7359183399253199
08_pulsar,pulsar-transaction,Semantic Web,0.7355778432024884
08_pulsar,pulsar-transaction,facial recognition system,0.7353236235655728
08_pulsar,pulsar-transaction,pattern matching,0.7344946669687593
08_pulsar,pulsar-transaction,support vector machine,0.7333316990483032
08_pulsar,pulsar-transaction,text processing,0.7321363060287843
08_pulsar,pulsar-transaction,streaming media,0.7317603842711569
08_pulsar,pulsar-transaction,logging,0.7316094103157245
08_pulsar,pulsar-transaction,cloud computing,0.7311042544462034
08_pulsar,pulsar-transaction,data mining,0.7307187907128251
08_pulsar,pulsar-transaction,random forest,0.7287351582445162
08_pulsar,pulsar-transaction,penetration test,0.7286641661028284
08_pulsar,pulsar-transaction,cryptocurrency,0.7279241972325766
08_pulsar,pulsar-transaction,data analysis,0.7261873257905387
08_pulsar,pulsar-transaction,blockchain,0.7261695988541528
08_pulsar,pulsar-transaction,telecommunications network,0.7231987496463577
08_pulsar,pulsar-transaction,digital security,0.7231729158652505
08_pulsar,pulsar-transaction,time series,0.7229382645280216
08_pulsar,pulsar-transaction,long short-term memory,0.721264257102092
08_pulsar,pulsar-transaction,object detection,0.7211012404603963
08_pulsar,pulsar-transaction,big data,0.7179224039987986
08_pulsar,pulsar-transaction,information processing,0.7177182519939425
08_pulsar,pulsar-transaction,stream processing,0.716780230083427
08_pulsar,pulsar-transaction,digital image processing,0.7162894206921802
08_pulsar,pulsar-transaction,face detection,0.7154122903487605
08_pulsar,pulsar-transaction,sorting algorithm,0.7093589707782066
08_pulsar,pulsar-transaction,anomaly detection,0.7090461828864546
08_pulsar,pulsar-transaction,audio signal processing,0.7073719349157157
08_pulsar,pulsar-transaction,digital audio,0.702662996561886
08_pulsar,pulsar-transaction,word embedding,0.7023240504695534
08_pulsar,pulsar-transaction,signal processing,0.6997673673423709
