project_name,module,domain,sim_score
09_zookeeper,zookeeper-server,software testing,0.7781530344620492
09_zookeeper,zookeeper-server,software development,0.7754393497767115
09_zookeeper,zookeeper-server,package management system,0.7749767724102592
09_zookeeper,zookeeper-server,unit testing,0.7713553517724843
09_zookeeper,zookeeper-server,user interface,0.7710121409477989
09_zookeeper,zookeeper-server,continuous deployment,0.7675780986016977
09_zookeeper,zookeeper-server,debugger,0.7634487249281801
09_zookeeper,zookeeper-server,test automation,0.7610625475972561
09_zookeeper,zookeeper-server,backup,0.7603057834409683
09_zookeeper,zookeeper-server,mobile application development,0.7599284365053034
09_zookeeper,zookeeper-server,dependency injection,0.7593448139772331
09_zookeeper,zookeeper-server,website,0.7575690508634358
09_zookeeper,zookeeper-server,web application,0.7571735666782903
09_zookeeper,zookeeper-server,compiler,0.7570327111162357
09_zookeeper,zookeeper-server,client,0.7564872385369933
09_zookeeper,zookeeper-server,kernel,0.7551569256694024
09_zookeeper,zookeeper-server,content management system,0.7545391330987432
09_zookeeper,zookeeper-server,image,0.7538319736034741
09_zookeeper,zookeeper-server,command-line interface,0.7538152006709342
09_zookeeper,zookeeper-server,code generation,0.7532183909698367
09_zookeeper,zookeeper-server,email,0.7522946369129471
09_zookeeper,zookeeper-server,Web Components,0.7522829920664151
09_zookeeper,zookeeper-server,web application security,0.7520019013598293
09_zookeeper,zookeeper-server,integrated development environment,0.7509810092652764
09_zookeeper,zookeeper-server,middleware,0.750839669830963
09_zookeeper,zookeeper-server,Containerization,0.7503653890719462
09_zookeeper,zookeeper-server,web crawler,0.7503480107967163
09_zookeeper,zookeeper-server,information retrieval,0.7494982483313303
09_zookeeper,zookeeper-server,microservices,0.7489844862904089
09_zookeeper,zookeeper-server,server,0.7485959634250875
09_zookeeper,zookeeper-server,analytics,0.7485588496123541
09_zookeeper,zookeeper-server,graphical user interface,0.7481231954889173
09_zookeeper,zookeeper-server,front end,0.7480793345514953
09_zookeeper,zookeeper-server,continuous integration,0.7474891078038803
09_zookeeper,zookeeper-server,plot,0.7467459013719543
09_zookeeper,zookeeper-server,engineering,0.7464151254979765
09_zookeeper,zookeeper-server,information extraction,0.7462768975033693
09_zookeeper,zookeeper-server,virtual machine,0.7462394536899533
09_zookeeper,zookeeper-server,web service,0.7459501174350036
09_zookeeper,zookeeper-server,application performance management,0.7458325096922103
09_zookeeper,zookeeper-server,search,0.7457373801647522
09_zookeeper,zookeeper-server,scheduler,0.7455291009001
09_zookeeper,zookeeper-server,interpreter,0.7455230551850556
09_zookeeper,zookeeper-server,synchronization,0.7449705721024118
09_zookeeper,zookeeper-server,WebSocket,0.7448763949198131
09_zookeeper,zookeeper-server,game engine,0.7442121350627271
09_zookeeper,zookeeper-server,database,0.7441190906358957
09_zookeeper,zookeeper-server,syntax highlighting,0.7439788922576498
09_zookeeper,zookeeper-server,internet bot,0.7435112781216464
09_zookeeper,zookeeper-server,recommender system,0.7433280942995595
09_zookeeper,zookeeper-server,security,0.7433111902480793
09_zookeeper,zookeeper-server,web server,0.7432649369924268
09_zookeeper,zookeeper-server,"extract, transform, load",0.7432503446861911
09_zookeeper,zookeeper-server,benchmark,0.7432078619431056
