project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-common,software testing,0.7867486025349187
10_dolphinscheduler,dolphinscheduler-common,web development,0.7805126274142722
10_dolphinscheduler,dolphinscheduler-common,user interface,0.7799726232521978
10_dolphinscheduler,dolphinscheduler-common,test automation,0.7786934590174945
10_dolphinscheduler,dolphinscheduler-common,web application,0.7762863235269742
10_dolphinscheduler,dolphinscheduler-common,backup,0.7751310868718556
10_dolphinscheduler,dolphinscheduler-common,code generation,0.7739187269525359
10_dolphinscheduler,dolphinscheduler-common,unit testing,0.7719732275706536
10_dolphinscheduler,dolphinscheduler-common,Web Components,0.7716494613865267
10_dolphinscheduler,dolphinscheduler-common,business dashboard,0.7714647860118142
10_dolphinscheduler,dolphinscheduler-common,recommender system,0.7711895256349938
10_dolphinscheduler,dolphinscheduler-common,web service,0.7696920001911036
10_dolphinscheduler,dolphinscheduler-common,machine learning,0.7696797240032571
10_dolphinscheduler,dolphinscheduler-common,smart contract,0.7693167530689815
10_dolphinscheduler,dolphinscheduler-common,Semantic Web,0.7684091036595896
10_dolphinscheduler,dolphinscheduler-common,knowledge graph,0.7677884460838165
10_dolphinscheduler,dolphinscheduler-common,automated machine learning,0.7677690544242641
10_dolphinscheduler,dolphinscheduler-common,web crawler,0.7662837315765968
10_dolphinscheduler,dolphinscheduler-common,web scraping,0.7659597760017047
10_dolphinscheduler,dolphinscheduler-common,content management system,0.7654607843497685
10_dolphinscheduler,dolphinscheduler-common,client,0.7644422964178001
10_dolphinscheduler,dolphinscheduler-common,website,0.7642754078052962
10_dolphinscheduler,dolphinscheduler-common,command-line interface,0.763434167210431
10_dolphinscheduler,dolphinscheduler-common,middleware,0.763275372656113
10_dolphinscheduler,dolphinscheduler-common,microservices,0.7630602092873626
10_dolphinscheduler,dolphinscheduler-common,package management system,0.7623411226129508
10_dolphinscheduler,dolphinscheduler-common,software design pattern,0.7616016572820599
10_dolphinscheduler,dolphinscheduler-common,visualization,0.7614915963298702
10_dolphinscheduler,dolphinscheduler-common,web application security,0.7614671801749877
10_dolphinscheduler,dolphinscheduler-common,graphical user interface,0.7614496227957455
10_dolphinscheduler,dolphinscheduler-common,support vector machine,0.7609404533280586
10_dolphinscheduler,dolphinscheduler-common,compiler,0.759901423099858
10_dolphinscheduler,dolphinscheduler-common,dependency injection,0.7598773547020231
10_dolphinscheduler,dolphinscheduler-common,algorithm,0.7597574017577902
10_dolphinscheduler,dolphinscheduler-common,static site generator,0.7591778431089544
10_dolphinscheduler,dolphinscheduler-common,front end,0.759024233261741
10_dolphinscheduler,dolphinscheduler-common,integrated development environment,0.7589721604781864
10_dolphinscheduler,dolphinscheduler-common,database,0.7586847094040388
10_dolphinscheduler,dolphinscheduler-common,analytics,0.758484607996109
10_dolphinscheduler,dolphinscheduler-common,game engine,0.7583696688243678
10_dolphinscheduler,dolphinscheduler-common,cloud computing,0.7583563655397065
10_dolphinscheduler,dolphinscheduler-common,automation,0.7578636355225506
10_dolphinscheduler,dolphinscheduler-common,continuous integration,0.7577789792206271
10_dolphinscheduler,dolphinscheduler-common,distributed computing,0.7574700248454105
10_dolphinscheduler,dolphinscheduler-common,email,0.7571359490441778
10_dolphinscheduler,dolphinscheduler-common,internet bot,0.7568979003836999
10_dolphinscheduler,dolphinscheduler-common,"extract, transform, load",0.7561489789170603
10_dolphinscheduler,dolphinscheduler-common,WebSocket,0.7559924251380121
10_dolphinscheduler,dolphinscheduler-common,stream processing,0.7559873130138051
10_dolphinscheduler,dolphinscheduler-common,interpreter,0.7558248381884494
10_dolphinscheduler,dolphinscheduler-common,language model,0.755255824110551
10_dolphinscheduler,dolphinscheduler-common,text processing,0.7550390892094457
10_dolphinscheduler,dolphinscheduler-common,server,0.7545176611108548
10_dolphinscheduler,dolphinscheduler-common,web server,0.754224461313316
10_dolphinscheduler,dolphinscheduler-common,engineering,0.7542012553427773
10_dolphinscheduler,dolphinscheduler-common,data visualization,0.7540993080672643
10_dolphinscheduler,dolphinscheduler-common,application performance management,0.7540770727498606
10_dolphinscheduler,dolphinscheduler-common,file system,0.7533309723108963
10_dolphinscheduler,dolphinscheduler-common,data structure,0.7532364880657086
10_dolphinscheduler,dolphinscheduler-common,virtual machine,0.7532063581226978
10_dolphinscheduler,dolphinscheduler-common,search,0.751692572154752
10_dolphinscheduler,dolphinscheduler-common,translation,0.7516700787838869
10_dolphinscheduler,dolphinscheduler-common,scheduler,0.7515590915077147
10_dolphinscheduler,dolphinscheduler-common,natural language processing,0.7509940579365673
10_dolphinscheduler,dolphinscheduler-common,benchmark,0.750964472510127
10_dolphinscheduler,dolphinscheduler-common,back end,0.7504408965020256
10_dolphinscheduler,dolphinscheduler-common,text classification,0.749995333279557
10_dolphinscheduler,dolphinscheduler-common,game server,0.7494196333359036
10_dolphinscheduler,dolphinscheduler-common,natural language understanding,0.749218222040444
10_dolphinscheduler,dolphinscheduler-common,computer configuration,0.7491656523083703
10_dolphinscheduler,dolphinscheduler-common,question answering,0.7489310629771406
10_dolphinscheduler,dolphinscheduler-common,sorting algorithm,0.7480300772587269
10_dolphinscheduler,dolphinscheduler-common,functional programming,0.7478213789834944
10_dolphinscheduler,dolphinscheduler-common,data science,0.7477752581689848
10_dolphinscheduler,dolphinscheduler-common,distributed multimedia communications platform,0.7471882537380585
10_dolphinscheduler,dolphinscheduler-common,network monitoring,0.7467403129117868
10_dolphinscheduler,dolphinscheduler-common,graph,0.7466879496224056
10_dolphinscheduler,dolphinscheduler-common,distributed system,0.7455877623103699
10_dolphinscheduler,dolphinscheduler-common,validator,0.7455817603714203
10_dolphinscheduler,dolphinscheduler-common,streaming media,0.7451108140745246
10_dolphinscheduler,dolphinscheduler-common,instant messaging,0.7446764897356482
10_dolphinscheduler,dolphinscheduler-common,statistics,0.7440627520837206
10_dolphinscheduler,dolphinscheduler-common,synchronization,0.7436351783487489
10_dolphinscheduler,dolphinscheduler-common,database management,0.7434069013897915
10_dolphinscheduler,dolphinscheduler-common,data binding,0.7432550941603804
10_dolphinscheduler,dolphinscheduler-common,blockchain,0.7424786894371438
10_dolphinscheduler,dolphinscheduler-common,operating system,0.7424656422937459
10_dolphinscheduler,dolphinscheduler-common,natural language,0.7422395304555738
10_dolphinscheduler,dolphinscheduler-common,data mining,0.7422258281023733
10_dolphinscheduler,dolphinscheduler-common,pattern matching,0.7418823626261897
