project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-dao,DevOps,0.7929333877071535
10_dolphinscheduler,dolphinscheduler-dao,software testing,0.7867486025349187
10_dolphinscheduler,dolphinscheduler-dao,mobile application development,0.7853723931972831
10_dolphinscheduler,dolphinscheduler-dao,user interface,0.7799726232521978
10_dolphinscheduler,dolphinscheduler-dao,test automation,0.7786934590174945
10_dolphinscheduler,dolphinscheduler-dao,software architecture,0.7781388570024407
10_dolphinscheduler,dolphinscheduler-dao,web application,0.7762863235269742
10_dolphinscheduler,dolphinscheduler-dao,code generation,0.7739115336155136
10_dolphinscheduler,dolphinscheduler-dao,unit testing,0.7719732275706536
10_dolphinscheduler,dolphinscheduler-dao,Web Components,0.7716699461577154
10_dolphinscheduler,dolphinscheduler-dao,business dashboard,0.7714647860118142
10_dolphinscheduler,dolphinscheduler-dao,recommender system,0.7711895256349938
10_dolphinscheduler,dolphinscheduler-dao,web service,0.7696920001911036
10_dolphinscheduler,dolphinscheduler-dao,machine learning,0.7696797240032571
10_dolphinscheduler,dolphinscheduler-dao,smart contract,0.7693167530689815
10_dolphinscheduler,dolphinscheduler-dao,schema migration,0.7682364700751301
10_dolphinscheduler,dolphinscheduler-dao,automated machine learning,0.7677690544242641
10_dolphinscheduler,dolphinscheduler-dao,web crawler,0.7662837315765968
10_dolphinscheduler,dolphinscheduler-dao,content management system,0.7654607843497685
10_dolphinscheduler,dolphinscheduler-dao,client,0.7644422964178001
10_dolphinscheduler,dolphinscheduler-dao,website,0.7642754078052962
10_dolphinscheduler,dolphinscheduler-dao,command-line interface,0.763434167210431
10_dolphinscheduler,dolphinscheduler-dao,middleware,0.763275372656113
10_dolphinscheduler,dolphinscheduler-dao,microservices,0.7630602092873626
10_dolphinscheduler,dolphinscheduler-dao,syntax highlighting,0.7629245961977803
10_dolphinscheduler,dolphinscheduler-dao,package management system,0.7623411226129508
10_dolphinscheduler,dolphinscheduler-dao,machine translation,0.7620342710905799
10_dolphinscheduler,dolphinscheduler-dao,web application security,0.7614671801749877
10_dolphinscheduler,dolphinscheduler-dao,graphical user interface,0.7611723497482935
10_dolphinscheduler,dolphinscheduler-dao,support vector machine,0.7609404533280586
10_dolphinscheduler,dolphinscheduler-dao,information retrieval,0.7602445240475488
10_dolphinscheduler,dolphinscheduler-dao,compiler,0.7599065817643642
10_dolphinscheduler,dolphinscheduler-dao,dependency injection,0.7598773547020231
10_dolphinscheduler,dolphinscheduler-dao,static site generator,0.7591778431089544
10_dolphinscheduler,dolphinscheduler-dao,integrated development environment,0.7589721604781864
10_dolphinscheduler,dolphinscheduler-dao,database,0.7586847094040388
10_dolphinscheduler,dolphinscheduler-dao,analytics,0.758484607996109
10_dolphinscheduler,dolphinscheduler-dao,game engine,0.7583696688243678
10_dolphinscheduler,dolphinscheduler-dao,cloud computing,0.7583563655397065
10_dolphinscheduler,dolphinscheduler-dao,automation,0.7578636355225506
10_dolphinscheduler,dolphinscheduler-dao,continuous integration,0.7577789792206271
10_dolphinscheduler,dolphinscheduler-dao,email,0.7571359490441778
10_dolphinscheduler,dolphinscheduler-dao,"extract, transform, load",0.7561489789170603
10_dolphinscheduler,dolphinscheduler-dao,shell tool,0.7560056933478188
