project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-spi,documentation,0.7952537746604895
10_dolphinscheduler,dolphinscheduler-spi,software testing,0.7867486025349187
10_dolphinscheduler,dolphinscheduler-spi,user interface,0.7799726232521978
10_dolphinscheduler,dolphinscheduler-spi,test automation,0.7786934590174945
10_dolphinscheduler,dolphinscheduler-spi,web application,0.7763762303456663
10_dolphinscheduler,dolphinscheduler-spi,backup,0.7751310868718556
10_dolphinscheduler,dolphinscheduler-spi,code generation,0.7739115336155136
10_dolphinscheduler,dolphinscheduler-spi,unit testing,0.7719732275706536
10_dolphinscheduler,dolphinscheduler-spi,Web Components,0.7716494613865267
10_dolphinscheduler,dolphinscheduler-spi,web service,0.7696920001911036
10_dolphinscheduler,dolphinscheduler-spi,machine learning,0.7696797240032571
10_dolphinscheduler,dolphinscheduler-spi,smart contract,0.7693167530689815
10_dolphinscheduler,dolphinscheduler-spi,content management system,0.7654607843497685
10_dolphinscheduler,dolphinscheduler-spi,client,0.7644422964178001
10_dolphinscheduler,dolphinscheduler-spi,website,0.7643192758558754
10_dolphinscheduler,dolphinscheduler-spi,command-line interface,0.763434167210431
10_dolphinscheduler,dolphinscheduler-spi,microservices,0.7630602092873626
10_dolphinscheduler,dolphinscheduler-spi,package management system,0.7623411226129508
10_dolphinscheduler,dolphinscheduler-spi,web application security,0.7614671801749877
10_dolphinscheduler,dolphinscheduler-spi,graphical user interface,0.7611723497482935
10_dolphinscheduler,dolphinscheduler-spi,support vector machine,0.7609404533280586
10_dolphinscheduler,dolphinscheduler-spi,text editor,0.7605821288373674
10_dolphinscheduler,dolphinscheduler-spi,compiler,0.759901423099858
10_dolphinscheduler,dolphinscheduler-spi,algorithm,0.7597574017577902
10_dolphinscheduler,dolphinscheduler-spi,front end,0.759024233261741
10_dolphinscheduler,dolphinscheduler-spi,database,0.7586847094040388
10_dolphinscheduler,dolphinscheduler-spi,analytics,0.758484607996109
10_dolphinscheduler,dolphinscheduler-spi,game engine,0.7583696688243678
10_dolphinscheduler,dolphinscheduler-spi,cloud computing,0.7583563655397065
10_dolphinscheduler,dolphinscheduler-spi,automation,0.7578636355225506
10_dolphinscheduler,dolphinscheduler-spi,continuous integration,0.7577789792206271
10_dolphinscheduler,dolphinscheduler-spi,WebSocket,0.7559924251380121
10_dolphinscheduler,dolphinscheduler-spi,language model,0.7552634470747933
10_dolphinscheduler,dolphinscheduler-spi,text processing,0.7550390892094457
10_dolphinscheduler,dolphinscheduler-spi,server,0.7545176611108548
10_dolphinscheduler,dolphinscheduler-spi,web server,0.754224461313316
10_dolphinscheduler,dolphinscheduler-spi,file system,0.7533309723108963
10_dolphinscheduler,dolphinscheduler-spi,data structure,0.7532364880657086
10_dolphinscheduler,dolphinscheduler-spi,image,0.7527585575192857
10_dolphinscheduler,dolphinscheduler-spi,search,0.751692572154752
10_dolphinscheduler,dolphinscheduler-spi,translation,0.7516700787838869
10_dolphinscheduler,dolphinscheduler-spi,benchmark,0.750964472510127
10_dolphinscheduler,dolphinscheduler-spi,back end,0.7504408965020256
10_dolphinscheduler,dolphinscheduler-spi,text classification,0.749995333279557
10_dolphinscheduler,dolphinscheduler-spi,computer configuration,0.7491656523083703
10_dolphinscheduler,dolphinscheduler-spi,continuous delivery,0.7484305639225726
10_dolphinscheduler,dolphinscheduler-spi,sorting algorithm,0.7480300772587269
10_dolphinscheduler,dolphinscheduler-spi,data science,0.7477308936261065
10_dolphinscheduler,dolphinscheduler-spi,transfer learning,0.7473253682181195
10_dolphinscheduler,dolphinscheduler-spi,web browser engine,0.7465096828628645
10_dolphinscheduler,dolphinscheduler-spi,distributed system,0.7456153466127194
10_dolphinscheduler,dolphinscheduler-spi,validator,0.7455817603714203
10_dolphinscheduler,dolphinscheduler-spi,streaming media,0.7451108140745246
10_dolphinscheduler,dolphinscheduler-spi,instant messaging,0.7446187126219815
10_dolphinscheduler,dolphinscheduler-spi,text mining,0.7439957275713784
10_dolphinscheduler,dolphinscheduler-spi,synchronization,0.7436066276634713
10_dolphinscheduler,dolphinscheduler-spi,database management,0.7434069013897915
10_dolphinscheduler,dolphinscheduler-spi,data binding,0.7432550941603804
10_dolphinscheduler,dolphinscheduler-spi,blockchain,0.7424786894371438
10_dolphinscheduler,dolphinscheduler-spi,natural language,0.7422395304555738
10_dolphinscheduler,dolphinscheduler-spi,data mining,0.7422171430023838
10_dolphinscheduler,dolphinscheduler-spi,pattern matching,0.7420218556385538
10_dolphinscheduler,dolphinscheduler-spi,security,0.7415639582281759
10_dolphinscheduler,dolphinscheduler-spi,logging,0.7415565296323746
10_dolphinscheduler,dolphinscheduler-spi,artificial neural network,0.7405686990199911
10_dolphinscheduler,dolphinscheduler-spi,data,0.7405438653762638
10_dolphinscheduler,dolphinscheduler-spi,information processing,0.7404129289721283
10_dolphinscheduler,dolphinscheduler-spi,World Wide Web,0.7401798555458702
10_dolphinscheduler,dolphinscheduler-spi,object–relational mapping,0.7384659977475899
10_dolphinscheduler,dolphinscheduler-spi,HTTP client,0.7384427357371582
10_dolphinscheduler,dolphinscheduler-spi,object detection,0.7378295835053374
10_dolphinscheduler,dolphinscheduler-spi,deep learning,0.737080022675177
10_dolphinscheduler,dolphinscheduler-spi,distributed database,0.7368164514077973
10_dolphinscheduler,dolphinscheduler-spi,embedded system,0.7364379474154887
10_dolphinscheduler,dolphinscheduler-spi,password manager,0.7362414900916994
10_dolphinscheduler,dolphinscheduler-spi,data analysis,0.7360855315234556
10_dolphinscheduler,dolphinscheduler-spi,electronic trading platform,0.7346392636641284
10_dolphinscheduler,dolphinscheduler-spi,optical character recognition,0.7340441211436116
10_dolphinscheduler,dolphinscheduler-spi,HTTP server,0.7337646790822971
10_dolphinscheduler,dolphinscheduler-spi,File Transfer Protocol,0.733164464129503
10_dolphinscheduler,dolphinscheduler-spi,data compression,0.7330812460638764
10_dolphinscheduler,dolphinscheduler-spi,computer graphics,0.7322355928369952
10_dolphinscheduler,dolphinscheduler-spi,big data,0.7315167881188241
10_dolphinscheduler,dolphinscheduler-spi,computer data storage,0.730324053766737
10_dolphinscheduler,dolphinscheduler-spi,long short-term memory,0.7301427471693254
10_dolphinscheduler,dolphinscheduler-spi,serialization,0.7298605507179037
10_dolphinscheduler,dolphinscheduler-spi,algorithmic trading,0.729095642347181
10_dolphinscheduler,dolphinscheduler-spi,Image analysis,0.7270505424095655
10_dolphinscheduler,dolphinscheduler-spi,regular expression,0.7260941293933341
10_dolphinscheduler,dolphinscheduler-spi,time series,0.7254843334248657
10_dolphinscheduler,dolphinscheduler-spi,static program analysis,0.7248187496835712
10_dolphinscheduler,dolphinscheduler-spi,convolutional neural network,0.724751661089045
10_dolphinscheduler,dolphinscheduler-spi,penetration test,0.7232893910258744
10_dolphinscheduler,dolphinscheduler-spi,recurrent neural network,0.7219820110503896
10_dolphinscheduler,dolphinscheduler-spi,geographic information system,0.7210254192946701
10_dolphinscheduler,dolphinscheduler-spi,telecommunications network,0.7202387058840649
10_dolphinscheduler,dolphinscheduler-spi,digital security,0.7149318447361415
10_dolphinscheduler,dolphinscheduler-spi,linear algebra,0.708967686450777
