project_name,module,domain,sim_score
01_dubbo,dubbo-monitor,client,0.5094170528571429
01_dubbo,dubbo-monitor,server,0.47837988
01_dubbo,dubbo-monitor,data,0.4156450542857143
01_dubbo,dubbo-monitor,database,0.36825723285714285
01_dubbo,dubbo-monitor,scheduler,0.35294371142857145
01_dubbo,dubbo-monitor,logging,0.31222266285714284
01_dubbo,dubbo-monitor,security,0.2735017394285714
01_dubbo,dubbo-monitor,statistics,0.27320392857142856
01_dubbo,dubbo-monitor,analytics,0.20566905514285713
01_dubbo,dubbo-monitor,blockchain,0.20423778557142858
01_dubbo,dubbo-monitor,microservices,0.1911555585714286
01_dubbo,dubbo-monitor,search,0.1492652871428571
01_dubbo,dubbo-monitor,backup,0.13676794585714286
01_dubbo,dubbo-monitor,website,0.13483565114285714
01_dubbo,dubbo-monitor,automation,0.11046430885714287
01_dubbo,dubbo-monitor,benchmark,0.09848483785714286
