project_name,module,domain,sim_score
03_flink,flink-core,data,0.5387057700000001
03_flink,flink-core,image,0.3877074585714286
03_flink,flink-core,database,0.3741691528571428
03_flink,flink-core,client,0.2773424385714286
03_flink,flink-core,geometry,0.2690629785714286
03_flink,flink-core,translation,0.25387244000000003
03_flink,flink-core,server,0.24323158428571431
03_flink,flink-core,compiler,0.23824355142857145
03_flink,flink-core,search,0.23345968571428571
03_flink,flink-core,serialization,0.2244564857142857
03_flink,flink-core,kernel,0.21925170942857145
03_flink,flink-core,email,0.2138177557142857
03_flink,flink-core,algorithm,0.19062141285714285
03_flink,flink-core,plot,0.1788629057142857
03_flink,flink-core,synchronization,0.176618605
03_flink,flink-core,validator,0.1567916185714286
03_flink,flink-core,interpreter,0.15444272957142857
03_flink,flink-core,backup,0.14718808071428574
03_flink,flink-core,scheduler,0.13035651771428572
03_flink,flink-core,middleware,0.119903978
03_flink,flink-core,encryption,0.11918134357142858
03_flink,flink-core,simulation,0.11509534057142858
03_flink,flink-core,router,0.11490013228571429
03_flink,flink-core,genomics,0.10167943257142857
03_flink,flink-core,logging,0.07766819185714287
03_flink,flink-core,design,0.073498438
03_flink,flink-core,debugger,0.06763467177142857
03_flink,flink-core,security,0.06676078831428571
03_flink,flink-core,parsing,0.06552056714285714
03_flink,flink-core,blockchain,0.06418007914285714
03_flink,flink-core,authentication,0.06230854828571429
03_flink,flink-core,analytics,0.059821058514285715
03_flink,flink-core,sequencing,0.04650046957142857
03_flink,flink-core,cryptocurrency,0.029559832285714287
03_flink,flink-core,mathematics,0.027457918857142855
03_flink,flink-core,finance,0.026023100071428575
03_flink,flink-core,benchmark,0.018575464245714286
03_flink,flink-core,cryptography,0.013790840342857142
