project_name,module,domain,sim_score
07_druid,extensions-contrib,data,0.49593837285714276
07_druid,extensions-contrib,database,0.36005291
07_druid,extensions-contrib,client,0.3411070042857142
07_druid,extensions-contrib,image,0.33813579285714285
07_druid,extensions-contrib,server,0.30904414999999996
07_druid,extensions-contrib,kernel,0.2730201685714286
07_druid,extensions-contrib,algorithm,0.25529771428571435
07_druid,extensions-contrib,translation,0.2531287428571428
07_druid,extensions-contrib,middleware,0.25021652857142856
07_druid,extensions-contrib,scheduler,0.23854964714285715
07_druid,extensions-contrib,statistics,0.22937691142857144
07_druid,extensions-contrib,compiler,0.22252886142857145
07_druid,extensions-contrib,serialization,0.21478668285714284
07_druid,extensions-contrib,synchronization,0.187033198
07_druid,extensions-contrib,plot,0.18439503621428574
07_druid,extensions-contrib,search,0.16999259571428574
07_druid,extensions-contrib,validator,0.16073763500000002
07_druid,extensions-contrib,video,0.15602076928571426
07_druid,extensions-contrib,email,0.15590961271428574
07_druid,extensions-contrib,analytics,0.15388266285714286
07_druid,extensions-contrib,blockchain,0.13986729614285714
07_druid,extensions-contrib,encryption,0.13591232414285714
07_druid,extensions-contrib,backup,0.13551919985714286
07_druid,extensions-contrib,microservices,0.1355128722857143
07_druid,extensions-contrib,authentication,0.13297143242857143
07_druid,extensions-contrib,logging,0.12846671185714284
07_druid,extensions-contrib,design,0.12593318891285715
07_druid,extensions-contrib,benchmark,0.10044266014285715
07_druid,extensions-contrib,security,0.09645896171428571
07_druid,extensions-contrib,cryptocurrency,0.08885021785714287
07_druid,extensions-contrib,finance,0.04913762385714287
07_druid,extensions-contrib,website,0.040176511571428576
07_druid,extensions-contrib,parsing,0.03544363057142857
07_druid,extensions-contrib,documentation,0.0004625810000000031
