project_name,module,domain,sim_score
09_zookeeper,zookeeper-it,data,0.31312855125
09_zookeeper,zookeeper-it,database,0.27372417
09_zookeeper,zookeeper-it,server,0.2323520825
09_zookeeper,zookeeper-it,logging,0.21949004375
09_zookeeper,zookeeper-it,client,0.20653555125
09_zookeeper,zookeeper-it,algorithm,0.10447672725000001
09_zookeeper,zookeeper-it,classification,0.10218221175
09_zookeeper,zookeeper-it,security,0.073936406375
09_zookeeper,zookeeper-it,blockchain,0.052498231750000006
09_zookeeper,zookeeper-it,benchmark,0.039315897249999995
09_zookeeper,zookeeper-it,automation,0.015974434462500003
