project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-remote,client,0.58367685375
10_dolphinscheduler,dolphinscheduler-remote,server,0.5490218924999999
10_dolphinscheduler,dolphinscheduler-remote,data,0.43655104499999997
10_dolphinscheduler,dolphinscheduler-remote,middleware,0.35376969999999996
10_dolphinscheduler,dolphinscheduler-remote,database,0.34764134625
10_dolphinscheduler,dolphinscheduler-remote,scheduler,0.32263288625
10_dolphinscheduler,dolphinscheduler-remote,authentication,0.31769553500000003
10_dolphinscheduler,dolphinscheduler-remote,logging,0.27372033125
10_dolphinscheduler,dolphinscheduler-remote,synchronization,0.27100756
10_dolphinscheduler,dolphinscheduler-remote,image,0.25323779
10_dolphinscheduler,dolphinscheduler-remote,serialization,0.22656285
10_dolphinscheduler,dolphinscheduler-remote,security,0.20951863375
10_dolphinscheduler,dolphinscheduler-remote,validator,0.17313468325
10_dolphinscheduler,dolphinscheduler-remote,blockchain,0.172797826
10_dolphinscheduler,dolphinscheduler-remote,compiler,0.17087465000000002
10_dolphinscheduler,dolphinscheduler-remote,encryption,0.16112442124999998
10_dolphinscheduler,dolphinscheduler-remote,microservices,0.145058764125
10_dolphinscheduler,dolphinscheduler-remote,backup,0.14095500919999998
10_dolphinscheduler,dolphinscheduler-remote,translation,0.121457877375
10_dolphinscheduler,dolphinscheduler-remote,analytics,0.1104118275
10_dolphinscheduler,dolphinscheduler-remote,website,0.1024454425
10_dolphinscheduler,dolphinscheduler-remote,search,0.0670736405375
10_dolphinscheduler,dolphinscheduler-remote,algorithm,0.05236500625
10_dolphinscheduler,dolphinscheduler-remote,automation,0.025122298499999994
