project_name,module,domain,sim_score
11_shardingsphere-elasticjob,elasticjob-api,data,0.4020981411111111
11_shardingsphere-elasticjob,elasticjob-api,database,0.3655511444444445
11_shardingsphere-elasticjob,elasticjob-api,scheduler,0.3596670666666666
11_shardingsphere-elasticjob,elasticjob-api,client,0.3214082022222222
11_shardingsphere-elasticjob,elasticjob-api,server,0.31637587
11_shardingsphere-elasticjob,elasticjob-api,compiler,0.24313761111111112
11_shardingsphere-elasticjob,elasticjob-api,validator,0.2307788811111111
11_shardingsphere-elasticjob,elasticjob-api,translation,0.16118912177777778
11_shardingsphere-elasticjob,elasticjob-api,analytics,0.11403159422222221
11_shardingsphere-elasticjob,elasticjob-api,serialization,0.10683899822222223
11_shardingsphere-elasticjob,elasticjob-api,security,0.08197710392222221
11_shardingsphere-elasticjob,elasticjob-api,microservices,0.047507309000000005
11_shardingsphere-elasticjob,elasticjob-api,blockchain,0.037551108222222226
