project_name,module,domain,sim_score
10_dolphinscheduler,dolphinscheduler-worker,automation,0.3871564925
10_dolphinscheduler,dolphinscheduler-worker,microservices,0.35071191749999997
10_dolphinscheduler,dolphinscheduler-worker,scheduler,0.34087182875
10_dolphinscheduler,dolphinscheduler-worker,synchronization,0.26360129
10_dolphinscheduler,dolphinscheduler-worker,website,0.259045389375
10_dolphinscheduler,dolphinscheduler-worker,analytics,0.24612307125000002
10_dolphinscheduler,dolphinscheduler-worker,client,0.24052049749999999
10_dolphinscheduler,dolphinscheduler-worker,security,0.23479357874999998
10_dolphinscheduler,dolphinscheduler-worker,server,0.20464450750000002
10_dolphinscheduler,dolphinscheduler-worker,logging,0.15748307375
10_dolphinscheduler,dolphinscheduler-worker,search,0.15633705124999997
10_dolphinscheduler,dolphinscheduler-worker,database,0.1509055925
10_dolphinscheduler,dolphinscheduler-worker,statistics,0.13293423999999998
10_dolphinscheduler,dolphinscheduler-worker,benchmark,0.036144619625
