project_name,module,domain,sim_score
12_shenyu,shenyu-common,client,0.4952403675
12_shenyu,shenyu-common,server,0.43727142250000006
12_shenyu,shenyu-common,data,0.39942567500000004
12_shenyu,shenyu-common,middleware,0.39798350000000005
12_shenyu,shenyu-common,email,0.3918056675
12_shenyu,shenyu-common,database,0.386114545
12_shenyu,shenyu-common,authentication,0.37681811749999994
12_shenyu,shenyu-common,animation,0.30900516499999997
12_shenyu,shenyu-common,validator,0.3035292275
12_shenyu,shenyu-common,security,0.2859553425
12_shenyu,shenyu-common,website,0.2803307225
12_shenyu,shenyu-common,search,0.2626196675
12_shenyu,shenyu-common,scheduler,0.255902655
12_shenyu,shenyu-common,kernel,0.2463700425
12_shenyu,shenyu-common,logging,0.2108272675
12_shenyu,shenyu-common,analytics,0.20875859
12_shenyu,shenyu-common,synchronization,0.2043473675
12_shenyu,shenyu-common,translation,0.195719935
12_shenyu,shenyu-common,compiler,0.18104059249999999
12_shenyu,shenyu-common,algorithm,0.15223349249999998
12_shenyu,shenyu-common,backup,0.149060375
12_shenyu,shenyu-common,blockchain,0.13073967749999998
12_shenyu,shenyu-common,encryption,0.12767409125
12_shenyu,shenyu-common,interpreter,0.1181149725
12_shenyu,shenyu-common,serialization,0.11307806000000001
12_shenyu,shenyu-common,microservices,0.10575222649999999
12_shenyu,shenyu-common,malware,0.102412108
12_shenyu,shenyu-common,cryptography,0.04530050325
