project_name,module,domain,sim_score
12_shenyu,shenyu-loadbalancer,client,0.4952403675
12_shenyu,shenyu-loadbalancer,server,0.43727142250000006
12_shenyu,shenyu-loadbalancer,data,0.39942567500000004
12_shenyu,shenyu-loadbalancer,middleware,0.39798350000000005
12_shenyu,shenyu-loadbalancer,database,0.386114545
12_shenyu,shenyu-loadbalancer,security,0.2859553425
12_shenyu,shenyu-loadbalancer,website,0.2803307225
12_shenyu,shenyu-loadbalancer,search,0.2626196675
12_shenyu,shenyu-loadbalancer,scheduler,0.255902655
12_shenyu,shenyu-loadbalancer,analytics,0.20875859
12_shenyu,shenyu-loadbalancer,algorithm,0.15223349249999998
12_shenyu,shenyu-loadbalancer,blockchain,0.13073967749999998
12_shenyu,shenyu-loadbalancer,encryption,0.12767409125
12_shenyu,shenyu-loadbalancer,microservices,0.10575222649999999
