project_name,module,domain,sim_score
12_shenyu,shenyu-web,client,0.4952403675
12_shenyu,shenyu-web,server,0.43727142250000006
12_shenyu,shenyu-web,data,0.39942567500000004
12_shenyu,shenyu-web,database,0.386114545
12_shenyu,shenyu-web,validator,0.3035292275
12_shenyu,shenyu-web,security,0.2859553425
12_shenyu,shenyu-web,website,0.2803307225
12_shenyu,shenyu-web,search,0.2626196675
12_shenyu,shenyu-web,logging,0.2108272675
12_shenyu,shenyu-web,analytics,0.20875859
12_shenyu,shenyu-web,blockchain,0.13073967749999998
12_shenyu,shenyu-web,microservices,0.10575222649999999
