project_name,module,domain,sim_score
15_zeppelin,zeppelin-jupyter,server,0.34358477666666665
15_zeppelin,zeppelin-jupyter,client,0.3326005677777778
15_zeppelin,zeppelin-jupyter,website,0.30321432555555555
15_zeppelin,zeppelin-jupyter,database,0.2872549844444444
15_zeppelin,zeppelin-jupyter,email,0.2722456955555556
15_zeppelin,zeppelin-jupyter,interpreter,0.25077097
15_zeppelin,zeppelin-jupyter,blockchain,0.24673291333333333
15_zeppelin,zeppelin-jupyter,security,0.23820677222222222
15_zeppelin,zeppelin-jupyter,automation,0.2085886422222222
15_zeppelin,zeppelin-jupyter,data,0.19338808222222223
15_zeppelin,zeppelin-jupyter,logging,0.167591592
15_zeppelin,zeppelin-jupyter,compiler,0.16653369855555555
15_zeppelin,zeppelin-jupyter,analytics,0.1543912688888889
15_zeppelin,zeppelin-jupyter,serialization,0.0827043388888889
