project_name,module,concept,domain,sim_score
01_dubbo,dubbo-cluster,,,
01_dubbo,dubbo-common,,,
01_dubbo,dubbo-compatible,,,
01_dubbo,dubbo-config,,,
01_dubbo,dubbo-configcenter,,,
01_dubbo,dubbo-container,,,
01_dubbo,dubbo-filter,,,
01_dubbo,dubbo-kubernetes,,,
01_dubbo,dubbo-metadata,,,
01_dubbo,dubbo-metrics,,,
01_dubbo,dubbo-monitor,,,
01_dubbo,dubbo-plugin,,,
01_dubbo,dubbo-registry,,,
01_dubbo,dubbo-remoting,,,
01_dubbo,dubbo-rpc,,,
01_dubbo,dubbo-spring-boot,,,
01_dubbo,dubbo-xds,,,
02_skywalking,apm-protocol,,,
02_skywalking,oap-server,,,
03_flink,flink-annotations,,,
03_flink,flink-clients,,,
03_flink,flink-connectors,,,
03_flink,flink-container,,,
03_flink,flink-contrib,,,
03_flink,flink-core,,,
03_flink,flink-dstl,,,
03_flink,flink-external-resources,,,
03_flink,flink-filesystems,,,
03_flink,flink-formats,,,
03_flink,flink-java,,,
03_flink,flink-kubernetes,,,
03_flink,flink-libraries,,,
03_flink,flink-metrics,,,
03_flink,flink-optimizer,,,
03_flink,flink-queryable-state,,,
03_flink,flink-rpc,,,
03_flink,flink-runtime,,,
03_flink,flink-runtime-web,,,
03_flink,flink-scala,,,
03_flink,flink-state-backends,,,
03_flink,flink-streaming-java,,,
03_flink,flink-streaming-scala,,,
03_flink,flink-table,,,
03_flink,flink-yarn,,,
04_rocketmq,acl,,,
04_rocketmq,broker,,,
04_rocketmq,client,,,
04_rocketmq,client,,,
04_rocketmq,common,,,
04_rocketmq,common,,,
22_sedona,common,,,
22_sedona,common,,,
04_rocketmq,container,,,
04_rocketmq,controller,,,
04_rocketmq,filter,,,
04_rocketmq,namesrv,,,
04_rocketmq,openmessaging,,,
04_rocketmq,proxy,,,
04_rocketmq,proxy,,,
05_shardingsphere,proxy,,,
05_shardingsphere,proxy,,,
04_rocketmq,remoting,,,
04_rocketmq,srvutil,,,
04_rocketmq,store,,,
04_rocketmq,tieredstore,,,
04_rocketmq,tools,,,
04_rocketmq,tools,,,
04_rocketmq,tools,,,
04_rocketmq,tools,,,
17_shiro,tools,,,
17_shiro,tools,,,
17_shiro,tools,,,
17_shiro,tools,,,
05_shardingsphere,db-protocol,,,
05_shardingsphere,dialect-exception,,,
05_shardingsphere,distsql,,,
05_shardingsphere,features,,,
05_shardingsphere,infra,,,
05_shardingsphere,jdbc,,,
05_shardingsphere,jdbc,,,
05_shardingsphere,kernel,,,
05_shardingsphere,mode,,,
05_shardingsphere,sql-parser,,,
06_hadoop,hadoop-cloud-storage-project,,,
06_hadoop,hadoop-common-project,,,
