project_name,module,domain,diff_sim
01_dubbo,dubbo-kubernetes,regular expression,3.257916666671301e-05
01_dubbo,dubbo-kubernetes,benchmark,0.002800715000000009
01_dubbo,dubbo-kubernetes,continuous integration,0.005410586250000016
01_dubbo,dubbo-kubernetes,anomaly detection,0.005494661666666623
01_dubbo,dubbo-kubernetes,web browser,0.006156722499999989
01_dubbo,dubbo-kubernetes,streaming media,0.006637822499999946
01_dubbo,dubbo-kubernetes,File Transfer Protocol,0.008589294583333296
01_dubbo,dubbo-kubernetes,web browser engine,0.009392349583333404
01_dubbo,dubbo-kubernetes,information processing,0.009539735416666695
01_dubbo,dubbo-kubernetes,application performance management,0.01168185333333327
01_dubbo,dubbo-kubernetes,dependency injection,0.011971289166666677
01_dubbo,dubbo-kubernetes,web crawler,0.012159177083333361
01_dubbo,dubbo-kubernetes,deep neural network,0.014136020416666673
01_dubbo,dubbo-kubernetes,automation,0.015363945833333392
01_dubbo,dubbo-kubernetes,digital audio,0.016139858333333312
01_dubbo,dubbo-kubernetes,routing,0.016205117499999977
01_dubbo,dubbo-kubernetes,web server,0.016691432500000047
01_dubbo,dubbo-kubernetes,smart contract,0.01786716750000006
01_dubbo,dubbo-kubernetes,analytics,0.0179784379166667
01_dubbo,dubbo-kubernetes,user interface,0.019838939583333326
01_dubbo,dubbo-kubernetes,computer configuration,0.020204394166666584
01_dubbo,dubbo-kubernetes,data binding,0.02073140625000003
01_dubbo,dubbo-kubernetes,big data,0.021004437083333327
01_dubbo,dubbo-kubernetes,cloud computing,0.02269363291666665
01_dubbo,dubbo-kubernetes,object detection,0.02293834208333345
01_dubbo,dubbo-kubernetes,digital image processing,0.02395694875000004
01_dubbo,dubbo-kubernetes,server,0.024060804166666727
01_dubbo,dubbo-kubernetes,command-line interface,0.02516377750000004
01_dubbo,dubbo-kubernetes,word embedding,0.02533923791666659
01_dubbo,dubbo-kubernetes,microservices,0.02591292208333329
01_dubbo,dubbo-kubernetes,graphical user interface,0.02839250083333339
01_dubbo,dubbo-kubernetes,logging,0.03108650083333342
01_dubbo,dubbo-kubernetes,telecommunications network,0.03138031749999998
01_dubbo,dubbo-kubernetes,database,0.03141343000000002
01_dubbo,dubbo-kubernetes,instant messaging,0.03150899125000001
01_dubbo,dubbo-kubernetes,HTTP server,0.03179061374999992
01_dubbo,dubbo-kubernetes,embedded system,0.03219814249999997
01_dubbo,dubbo-kubernetes,security,0.03367892791666666
01_dubbo,dubbo-kubernetes,text classification,0.0341126175
01_dubbo,dubbo-kubernetes,distributed computing,0.03481141458333337
01_dubbo,dubbo-kubernetes,test automation,0.035989755833333414
01_dubbo,dubbo-kubernetes,distributed database,0.03759124916666662
01_dubbo,dubbo-kubernetes,penetration test,0.037702951666666595
01_dubbo,dubbo-kubernetes,router,0.03822088583333344
01_dubbo,dubbo-kubernetes,data structure,0.0386955187500001
01_dubbo,dubbo-kubernetes,Web Components,0.03940303833333331
01_dubbo,dubbo-kubernetes,pattern matching,0.040587752500000074
01_dubbo,dubbo-kubernetes,middleware,0.04116111166666647
01_dubbo,dubbo-kubernetes,World Wide Web,0.042326295833333416
01_dubbo,dubbo-kubernetes,web application security,0.0443934612500001
01_dubbo,dubbo-kubernetes,text processing,0.0453378166666667
01_dubbo,dubbo-kubernetes,web application,0.04564437874999999
01_dubbo,dubbo-kubernetes,digital security,0.047626540000000106
01_dubbo,dubbo-kubernetes,password manager,0.050045157916666694
01_dubbo,dubbo-kubernetes,data,0.050822764166666756
01_dubbo,dubbo-kubernetes,client,0.05114345958333322
01_dubbo,dubbo-kubernetes,HTTP client,0.05121997916666665
01_dubbo,dubbo-kubernetes,website,0.05299149333333342
01_dubbo,dubbo-kubernetes,scheduler,0.053454837500000074
01_dubbo,dubbo-kubernetes,web service,0.0539766616666667
01_dubbo,dubbo-kubernetes,software architecture,0.05487736666666665
01_dubbo,dubbo-kubernetes,encryption,0.06463294374999995
01_dubbo,dubbo-kubernetes,package management system,0.06517714791666673
01_dubbo,dubbo-kubernetes,software testing,0.06556309416666672
01_dubbo,dubbo-kubernetes,back end,0.06836896333333342
01_dubbo,dubbo-kubernetes,backup,0.069921385
01_dubbo,dubbo-kubernetes,file system,0.0716495958333333
01_dubbo,dubbo-kubernetes,design,0.07478157416666659
01_dubbo,dubbo-kubernetes,web development,0.12154945833333336
