project_name,module,domain,diff_sim
05_shardingsphere,dialect-exception,serialization,0.003809128285714336
05_shardingsphere,dialect-exception,schema migration,0.005235498571428687
05_shardingsphere,dialect-exception,optical character recognition,0.00544009571428572
05_shardingsphere,dialect-exception,authentication,0.007583582857142779
05_shardingsphere,dialect-exception,regular expression,0.008862973428571397
05_shardingsphere,dialect-exception,compiler,0.009539203428571508
05_shardingsphere,dialect-exception,penetration test,0.017797660857142794
05_shardingsphere,dialect-exception,password manager,0.018157665714285787
05_shardingsphere,dialect-exception,translation,0.01973150371428567
05_shardingsphere,dialect-exception,dependency injection,0.02147636314285717
05_shardingsphere,dialect-exception,Parser combinator,0.024407609142857056
05_shardingsphere,dialect-exception,validator,0.025457005428571378
05_shardingsphere,dialect-exception,object–relational mapping,0.028030134571428444
05_shardingsphere,dialect-exception,debugging,0.028103113142857183
05_shardingsphere,dialect-exception,data binding,0.02829779999999993
05_shardingsphere,dialect-exception,smart contract,0.031157537142857072
05_shardingsphere,dialect-exception,security,0.031280033428571385
05_shardingsphere,dialect-exception,logging,0.03506057857142858
05_shardingsphere,dialect-exception,unit testing,0.03566372171428578
05_shardingsphere,dialect-exception,convolutional neural network,0.03654596885714273
05_shardingsphere,dialect-exception,language model,0.037370569428571365
05_shardingsphere,dialect-exception,client,0.03789587142857154
05_shardingsphere,dialect-exception,cryptocurrency,0.03823900914285716
05_shardingsphere,dialect-exception,test automation,0.03917742771428567
05_shardingsphere,dialect-exception,object detection,0.04356927399999999
05_shardingsphere,dialect-exception,artificial neural network,0.04370515714285722
05_shardingsphere,dialect-exception,search,0.04413439742857156
05_shardingsphere,dialect-exception,information processing,0.04421551457142869
05_shardingsphere,dialect-exception,software testing,0.0461319157142856
05_shardingsphere,dialect-exception,server,0.04771547057142855
05_shardingsphere,dialect-exception,data,0.04813699199999999
05_shardingsphere,dialect-exception,analytics,0.051350368571428606
05_shardingsphere,dialect-exception,web application security,0.05177168628571416
05_shardingsphere,dialect-exception,static program analysis tool,0.05254590114285723
05_shardingsphere,dialect-exception,data analysis,0.05401687114285719
05_shardingsphere,dialect-exception,digital image processing,0.05543416828571429
05_shardingsphere,dialect-exception,digital security,0.060343403714285704
05_shardingsphere,dialect-exception,HTTP server,0.06280841542857146
05_shardingsphere,dialect-exception,user interface,0.0638287782857142
05_shardingsphere,dialect-exception,data compression,0.06481582485714288
05_shardingsphere,dialect-exception,data structure,0.06542429771428576
05_shardingsphere,dialect-exception,web service,0.06715052057142884
05_shardingsphere,dialect-exception,blockchain,0.06949217599999996
05_shardingsphere,dialect-exception,instant messaging,0.07025763400000007
05_shardingsphere,dialect-exception,static site generator,0.07123098000000005
05_shardingsphere,dialect-exception,computer configuration,0.07181877314285717
05_shardingsphere,dialect-exception,command-line interface,0.07192194314285705
05_shardingsphere,dialect-exception,synchronization,0.07203870685714286
05_shardingsphere,dialect-exception,continuous integration,0.07229275542857144
05_shardingsphere,dialect-exception,big data,0.07374485685714288
05_shardingsphere,dialect-exception,database,0.07387593028571438
05_shardingsphere,dialect-exception,embedded system,0.0744943517142857
05_shardingsphere,dialect-exception,database management,0.0752726914285714
05_shardingsphere,dialect-exception,software development,0.07683257828571433
05_shardingsphere,dialect-exception,design,0.07951340457142875
05_shardingsphere,dialect-exception,graphical user interface,0.07994125400000002
05_shardingsphere,dialect-exception,file system,0.08276236200000009
05_shardingsphere,dialect-exception,operating system,0.0829691982857142
05_shardingsphere,dialect-exception,word embedding,0.08761496885714282
05_shardingsphere,dialect-exception,web server,0.09245181028571431
05_shardingsphere,dialect-exception,backup,0.09305931714285726
05_shardingsphere,dialect-exception,distributed computing,0.09387924285714289
05_shardingsphere,dialect-exception,package management system,0.0945679751428572
05_shardingsphere,dialect-exception,distributed database,0.09612116800000003
05_shardingsphere,dialect-exception,File Transfer Protocol,0.1032833442857144
05_shardingsphere,dialect-exception,website,0.10950988114285709
05_shardingsphere,dialect-exception,network monitoring,0.10982384571428572
05_shardingsphere,dialect-exception,back end,0.11472005600000007
05_shardingsphere,dialect-exception,World Wide Web,0.11482375542857137
05_shardingsphere,dialect-exception,digital audio,0.15137937114285716
