project_name,module,domain,diff_sim
07_druid,core,Malware Analysis,0.00010391666666670352
07_druid,core,object-oriented programming,0.00021923888888897292
07_druid,core,statistics,0.0005493298611111141
07_druid,core,code generation,0.0005910529166666123
07_druid,core,test automation,0.0006316886111110698
07_druid,core,machine learning,0.0007092761111111012
07_druid,core,Q-learning,0.0007205980555554659
07_druid,core,lexical analysis,0.0008823277777779137
07_druid,core,random forest,0.0014672669444443787
07_druid,core,web server,0.0020776104166667086
07_druid,core,classification,0.0021639402777777206
07_druid,core,cryptography,0.0022783722222222136
07_druid,core,password manager,0.0025288481944444885
07_druid,core,stock market,0.0029606987499998794
07_druid,core,natural language,0.00297607402777772
07_druid,core,web browser engine,0.0030086669444445713
07_druid,core,streaming media,0.003290385833333298
07_druid,core,speech synthesis,0.003453205138888915
07_druid,core,image classification,0.003856797638888909
07_druid,core,software design pattern,0.004013758472222184
07_druid,core,image recognition,0.00424015347222223
07_druid,core,unit testing,0.004386310277777694
07_druid,core,electronic trading platform,0.0044986704166666835
07_druid,core,computer data storage,0.004532858055555589
07_druid,core,game server,0.004561549166666623
07_druid,core,"extract, transform, load",0.00457780236111105
07_druid,core,penetration test,0.004735139444444425
07_druid,core,debugger,0.00478956458333335
07_druid,core,distributed system,0.0047955309722222395
07_druid,core,language model,0.004919119166666652
07_druid,core,network analysis,0.005159837638888887
07_druid,core,telecommunications network,0.005247365694444395
07_druid,core,object detection,0.005314123888888855
07_druid,core,sentiment analysis,0.005401956388888907
07_druid,core,data science,0.005885193055555571
07_druid,core,mathematical optimization,0.006147106250000034
07_druid,core,distributed computing,0.006332167361111085
07_druid,core,information extraction,0.006343581388889019
07_druid,core,natural language processing,0.006485010555555504
07_druid,core,embedded system,0.006524829305555646
07_druid,core,HTTP server,0.006562670138888893
07_druid,core,static program analysis tool,0.0065732905555556664
07_druid,core,Naive Bayes classifier,0.006691705555555594
07_druid,core,artificial intelligence,0.006737100694444387
07_druid,core,data analysis,0.007188266111111119
07_druid,core,synchronization,0.0072921572222223174
07_druid,core,cluster analysis,0.00831404888888887
07_druid,core,static program analysis,0.009148155277777792
07_druid,core,algorithm,0.00922282194444446
07_druid,core,HTTP client,0.009704359444444477
07_druid,core,web crawler,0.0106545551388888
07_druid,core,validator,0.010903212777777893
07_druid,core,digital image processing,0.011367411944444461
07_druid,core,reinforcement learning,0.011455678055555474
07_druid,core,optical character recognition,0.012155775416666681
07_druid,core,mathematical finance,0.012160109166666655
07_druid,core,distributed multimedia communications platform,0.012319421388888863
07_druid,core,convolutional neural network,0.012484633611111129
07_druid,core,computational science,0.012495251666666707
07_druid,core,game engine,0.012732438749999964
07_druid,core,genomics,0.01284826444444448
07_druid,core,benchmark,0.01295893777777779
07_druid,core,server,0.0132632602777778
07_druid,core,object–relational mapping,0.013287640694444436
07_druid,core,data mining,0.013299197777777771
07_druid,core,big data,0.01361193472222233
07_druid,core,Image analysis,0.013637670000000046
07_druid,core,deep learning,0.014142138888888822
07_druid,core,web application security,0.014283525694444466
07_druid,core,microservices,0.014695897500000166
07_druid,core,automation,0.014846301944444473
07_druid,core,image segmentation,0.014909675277777812
07_druid,core,front end,0.01586839180555555
07_druid,core,text classification,0.016810693749999883
07_druid,core,computer science,0.017219729305555542
07_druid,core,banking industry,0.01799982055555549
07_druid,core,mathematics,0.01823638222222229
07_druid,core,animation,0.018448180138888992
07_druid,core,face detection,0.018455682361111114
07_druid,core,analytics,0.01847524236111109
07_druid,core,linear algebra,0.01853887513888891
07_druid,core,kernel,0.018807761111111154
07_druid,core,web service,0.01894690111111108
07_druid,core,internet bot,0.018976911250000006
07_druid,core,regular expression,0.019761998888888854
07_druid,core,dependency injection,0.02033763027777763
07_druid,core,web scraping,0.020747266111110996
07_druid,core,Containerization,0.021637444999999977
07_druid,core,image,0.021733874861111058
07_druid,core,internet of things,0.02256752555555558
07_druid,core,question answering,0.022813218333333274
07_druid,core,text processing,0.02387041597222217
07_druid,core,facial recognition system,0.02411368472222225
07_druid,core,support vector machine,0.02440899597222218
07_druid,core,interpreter,0.024972696388888882
07_druid,core,distributed database,0.02509426736111131
07_druid,core,information retrieval,0.026074950138888886
07_druid,core,graph algorithm,0.026264345138888867
