project_name,module,domain,diff_sim
07_druid,hll,regular expression,0.002908439999999901
07_druid,hll,server,0.00413800249999996
07_druid,hll,machine learning,0.004806444999999937
07_druid,hll,HTTP server,0.004968353035714301
07_druid,hll,streaming media,0.005176333928571308
07_druid,hll,Malware Analysis,0.005248441428571393
07_druid,hll,virtual machine,0.005542977321428499
07_druid,hll,code generation,0.006394558035714315
07_druid,hll,instant messaging,0.007131029821428492
07_druid,hll,cryptocurrency,0.007202751428571519
07_druid,hll,support vector machine,0.010878836607142783
07_druid,hll,penetration test,0.010938460714285725
07_druid,hll,compiler,0.011192159107142774
07_druid,hll,text processing,0.01295947946428555
07_druid,hll,data analysis,0.013468143571428559
07_druid,hll,time series,0.0142663989285714
07_druid,hll,file system,0.014387945357142828
07_druid,hll,stock market,0.016953611607142816
07_druid,hll,telecommunications network,0.01753560982142849
07_druid,hll,object detection,0.017725257857142795
07_druid,hll,computer science,0.018162406250000096
07_druid,hll,security,0.020714514642857063
07_druid,hll,long short-term memory,0.02087630482142866
07_druid,hll,analytics,0.020882804107142883
07_druid,hll,blockchain,0.022708296785714288
07_druid,hll,cloud computing,0.023771283035714297
07_druid,hll,electronic trading platform,0.02471304803571428
07_druid,hll,password manager,0.027282487678571332
07_druid,hll,unit testing,0.029677543214285784
07_druid,hll,information processing,0.030780476785714217
07_druid,hll,static program analysis,0.031581953214285696
07_druid,hll,back end,0.03162909839285721
07_druid,hll,encryption,0.03366431625000005
07_druid,hll,benchmark,0.03392367857142853
07_druid,hll,algorithm,0.03565703607142856
07_druid,hll,deep learning,0.03626349428571429
07_druid,hll,big data,0.03864467821428569
07_druid,hll,smart contract,0.03894406089285707
07_druid,hll,malware,0.03910301839285729
07_druid,hll,search,0.039594695535714375
07_druid,hll,software testing,0.04296992875000005
07_druid,hll,game engine,0.04697567589285717
07_druid,hll,data binding,0.052123459821428575
07_druid,hll,information retrieval,0.052413076964285654
07_druid,hll,cryptography,0.053444405714285714
07_druid,hll,data structure,0.054997577857142876
07_druid,hll,File Transfer Protocol,0.057831686964285756
07_druid,hll,front end,0.058277099107142905
07_druid,hll,pattern matching,0.058741413035714285
07_druid,hll,data,0.05955209589285704
07_druid,hll,algorithmic trading,0.06263520035714282
07_druid,hll,data compression,0.07005538982142845
07_druid,hll,database,0.07051164732142867
07_druid,hll,object–relational mapping,0.07206478053571425
07_druid,hll,computer data storage,0.07775381464285713
07_druid,hll,dependency injection,0.0797035482142856
07_druid,hll,sorting algorithm,0.08740919196428582
07_druid,hll,stream processing,0.08936911357142857
07_druid,hll,static site generator,0.09104652910714289
07_druid,hll,graphical user interface,0.09141922982142858
07_druid,hll,search engine,0.0977204278571428
07_druid,hll,translation,0.10352891303571438
07_druid,hll,user interface,0.10955645571428574
07_druid,hll,World Wide Web,0.11492422624999998
07_druid,hll,website,0.11917582892857148
